"Client","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","ChromeOS , URL: /wiki/ChromeOS
"
"AbsoluteTelnet , URL: /wiki/AbsoluteTelnet
","Yes","No","No","No","No","No","No"
"ALFTP , URL: /wiki/ALFTP
","Yes","No","No","No","No","No","No"
"Beyond Compare , URL: /wiki/Beyond_Compare
","Yes","Yes","Yes","No","No","No","No"
"Classic FTP , URL: /wiki/Classic_FTP
","Yes","Yes","No","No","No","No","No"
"Codeanywhere , URL: /wiki/Codeanywhere
","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Commander One , URL: /wiki/Commander_One
","No","Yes","No","No","No","No","No"
"Core FTP , URL: /wiki/Core_FTP
","Yes","No","No","No","No","No","No"
"CrossFTP , URL: /wiki/CrossFTP
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"cURL , URL: /wiki/CURL
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"CuteFTP , URL: /wiki/CuteFTP
","Yes","Yes","No","No","No","No","No"
"Cyberduck , URL: /wiki/Cyberduck
","Yes","Yes","No","No","No","No","No"
"Directory Opus , URL: /wiki/Directory_Opus
","Yes","No","No","No","No","Yes","No"
"ExpanDrive , URL: /wiki/ExpanDrive
","Yes","Yes","No","No","No","No","No"
"Far Manager , URL: /wiki/Far_Manager
","Yes","No","No","No","No","No","No"
"Fetch , URL: /wiki/Fetch_(FTP_client)
","No","Yes","No","No","No","No","No"
"FileZilla , URL: /wiki/FileZilla
","Yes","Yes","Yes","Yes","Yes","No","No"
"FireFTP , URL: /wiki/FireFTP
","Yes","Yes","Yes","Yes","Yes","No","No"
"FlashFXP , URL: /wiki/FlashFXP
","Yes","No","No","No","No","No","No"
"Fling FTP , URL: /wiki/Fling_FTP
","Yes","No","No","No","No","No","No"
"ForkLift , URL: /wiki/ForkLift_(file_manager)
","No","Yes","No","No","No","No","No"
"FTP Client , URL: /wiki/FTP_Client
","No","Yes","No","No","No","No","No"
"FTP Commander , URL: /wiki/FTP_Commander
","Yes","No","No","No","No","No","No"
"FTP Explorer , URL: /wiki/FTP_Explorer
","Yes","No","No","No","No","No","No"
"FTP Voyager , URL: /wiki/FTP_Voyager
","Yes","No","No","No","No","No","No"
"Fugu , URL: /wiki/Fugu_(software)
","No","Yes","No","No","No","No","No"
"gFTP , URL: /wiki/GFTP
","No","Yes","Yes","Yes","Yes","No","No"
"Interarchy , URL: /wiki/Interarchy
","No","Yes","No","No","No","No","No"
"LeechFTP , URL: /wiki/LeechFTP
","Yes","No","No","No","No","No","No"
"lftp , URL: /wiki/Lftp
","cygwin , URL: /wiki/Cygwin
","Yes","Yes","Yes","Yes","No","No"
"Macfusion , URL: /wiki/Macfusion
","No","Yes","No","No","No","No","No"
"Mosaic , URL: /wiki/Mosaic_(web_browser)
","Yes","Yes","No","No","Yes","Yes","No"
"NcFTP , URL: /wiki/NcFTP
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"net2ftp , URL: /wiki/Net2ftp
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"PuTTY , URL: /wiki/PuTTY
","Yes","No","Yes","Yes","Yes","No","No"
"Rclone , URL: /wiki/Rclone
","Yes","Yes","Yes","Yes","Yes","No","No"
"Secure FTP , URL: /wiki/Secure_FTP_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SmartFTP , URL: /wiki/SmartFTP
","Yes","No","No","No","No","No","No"
"Steed , URL: /wiki/Steed_(FTP_client)
","Yes","No","No","No","No","No","No"
"Sysax FTP Automation , URL: /wiki/Sysax_FTP_Automation
","Yes","No","No","No","No","No","No"
"Total Commander , URL: /wiki/Total_Commander
","Yes","No","No","No","No","No","No"
"tnftp , URL: /wiki/Tnftp
","cygwin , URL: /wiki/Cygwin
","Yes","Yes","Yes","Yes","No","Yes"
"Transmit , URL: /wiki/Transmit_(FTP_client)
","No","Yes","No","No","No","No","No"
"WebDrive , URL: /wiki/WebDrive
","Yes","Yes","No","No","No","No","No"
"WinSCP , URL: /wiki/WinSCP
","Yes","No","No","No","No","No","No"
"WISE-FTP , URL: /wiki/WISE-FTP
","Yes","No","No","No","No","No","No"
"WS_FTP , URL: /wiki/WS_FTP
","Yes","No","No","No","No","No","No"
"Yummy FTP , URL: /wiki/Yummy_FTP
","No","Yes","No","No","No","No","No"
"Client","Windows , URL: /wiki/Microsoft_Windows
","Mac OS X , URL: /wiki/Mac_OS_X
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Unix , URL: /wiki/Unix
","AmigaOS , URL: /wiki/AmigaOS
","ChromeOS , URL: /wiki/ChromeOS
"
