"v t e Romanian language","v t e Romanian language","v t e Romanian language"
"Subdialects , URL: /wiki/Romanian_dialects
","Argots and speech forms","Gumuțeasca Păsăreasca Totoiana"
"Dialects/related languages","Daco-Romanian (Romanian itself) Aromanian Megleno-Romanian Istro-Romanian","Daco-Romanian (Romanian itself) Aromanian Megleno-Romanian Istro-Romanian"
"Linguistics","Grammar nouns verbs numbers Ă Â Î Ș Ț Former: D̦ Ŭ Lexis and vocabulary longest Romanian word traditional month names profanities Phonology Diachronic phonology from Latin","Grammar nouns verbs numbers Ă Â Î Ș Ț Former: D̦ Ŭ Lexis and vocabulary longest Romanian word traditional month names profanities Phonology Diachronic phonology from Latin"
"historic evolution , URL: /wiki/History_of_the_Romanian_language
","Classical Latin → Vulgar Latin → Common Romanian → Old Romanian → Modern Romanian","Classical Latin → Vulgar Latin → Common Romanian → Old Romanian → Modern Romanian"
"Written form","Modern alphabet Romanian transitional alphabet Moldovan Cyrillic alphabet Romanian Cyrillic alphabet Romanian Braille","Modern alphabet Romanian transitional alphabet Moldovan Cyrillic alphabet Romanian Cyrillic alphabet Romanian Braille"
"Institutions and movements","Transylvanian School Junimea Romanian Academy Dicționarul explicativ al limbii române Dicționarul Limbii Române Dicționar moldovenesc-românesc Academy of Sciences of Moldova","Transylvanian School Junimea Romanian Academy Dicționarul explicativ al limbii române Dicționarul Limbii Române Dicționar moldovenesc-românesc Academy of Sciences of Moldova"
"Language contact","Substrata Balkan sprachbund Relationship with Albanian Slavic superstratum and adstratum Re-latinization","Substrata Balkan sprachbund Relationship with Albanian Slavic superstratum and adstratum Re-latinization"
"Speech communities","Romanians origin diaspora Moldovans Vlachs","Romanians origin diaspora Moldovans Vlachs"
"Others","Romanian Language Day Romanian language in Serbia Romanian-language schools in Transnistria","Romanian Language Day Romanian language in Serbia Romanian-language schools in Transnistria"
"Category","Category","Category"
