"null","null"
"Wallachia Oltenia Dobruja Moldavia Bukovina Republic of Moldova Banat Transylvania Crișana Maramureș Argots and speech forms Gumuțeasca Păsăreasca Totoiana","Gumuțeasca Păsăreasca Totoiana"
"Gumuțeasca Păsăreasca Totoiana","null"
"Daco-Romanian (Romanian itself) Aromanian Megleno-Romanian Istro-Romanian","null"
"Grammar nouns verbs numbers Ă Â Î Ș Ț Former: D̦ Ŭ Lexis and vocabulary longest Romanian word traditional month names profanities Phonology Diachronic phonology from Latin","null"
"Classical Latin → Vulgar Latin → Common Romanian → Old Romanian → Modern Romanian","null"
"Modern alphabet Romanian transitional alphabet Moldovan Cyrillic alphabet Romanian Cyrillic alphabet Romanian Braille","null"
"Transylvanian School Junimea Romanian Academy Dicționarul explicativ al limbii române Dicționarul Limbii Române Dicționar moldovenesc-românesc Academy of Sciences of Moldova","null"
"Substrata Balkan sprachbund Relationship with Albanian Slavic superstratum and adstratum Re-latinization","null"
"Romanians origin diaspora Moldovans Vlachs","null"
"Romanian Language Day Romanian language in Serbia Romanian-language schools in Transnistria","null"
"Category","null"
