"Asian lunar exploration probes","Asian lunar exploration probes","Asian lunar exploration probes","Asian lunar exploration probes","Asian lunar exploration probes","Asian lunar exploration probes"
"Mission name","Type","Year","Vehicle","Outcome",""
"Hiten , URL: /wiki/Hiten
","Flyby/Orbiter","1990","Mu-3S-II , URL: /wiki/Mu-3S-II
","Success",""
"Hagoromo , URL: /wiki/Hiten
","Orbiter","1990","Mu-3S-II , URL: /wiki/Mu-3S-II
","Failure",""
"Lunar-A , URL: /wiki/Lunar-A
","Orbiter","2004 (intended) Never launched","M5 , URL: /wiki/M-5_rocket
","Luna-Glob , URL: /wiki/Luna-Glob
",""
"SELENE , URL: /wiki/SELENE
","Orbiter","2007","H-IIA 202 , URL: /wiki/H-IIA
","Success",""
"Chang'e 1 , URL: /wiki/Chang%27e_1
","Orbiter","2007","Long March 3A , URL: /wiki/Long_March_3A
","Success",""
"Chandrayaan-1 , URL: /wiki/Chandrayaan-1
","Orbiter","2008","PSLV-XL , URL: /wiki/Polar_Satellite_Launch_Vehicle
","Success",""
"Chang'e 2 , URL: /wiki/Chang%27e_2
","Orbiter","2010","Long March 3C , URL: /wiki/Long_March_3C
","Success",""
"Chang'e 3 , URL: /wiki/Chang%27e_3
","Lander Rover","2013","Long March 3B , URL: /wiki/Long_March_3B
","Success",""
"Chang'e 5-T1 , URL: /wiki/Chang%27e_5-T1
","Flyby","2014","Long March 3C , URL: /wiki/Long_March_3C
","Success",""
"Queqiao , URL: /wiki/Queqiao
","Flyby (L2 Orbiter)","2018","Long March 4C , URL: /wiki/Long_March_4C
","Success",""
"Chang'e 4 , URL: /wiki/Chang%27e_4
","Lander Rover","2019","Long March 3B , URL: /wiki/Long_March_3B
","Success",""
"Chandrayaan-2 , URL: /wiki/Chandrayaan-2
","Orbiter Lander Rover","2019","GSLV MkIII , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
","Partial success",""
"Chang'e 5 , URL: /wiki/Chang%27e_5
","Sample return","2020","Long March 5 , URL: /wiki/Long_March_5
","Success",""
"Chandrayaan-3 , URL: /wiki/Chandrayaan-3
","Lander Rover","Q2 2021","GSLV MkIII , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
","Planned",""
"SLIM , URL: /wiki/Smart_Lander_for_Investigating_Moon
","Lander","January 2022","H-IIA 202 , URL: /wiki/H-IIA
","Planned",""
"Korea Pathfinder Lunar Orbiter , URL: /wiki/Korea_Pathfinder_Lunar_Orbiter
","Orbiter","August 2022","Falcon 9 , URL: /wiki/Falcon_9
","Planned",""
"DESTINY+ , URL: /wiki/DESTINY%2B
","Flyby","2022","Epsilon , URL: /wiki/Epsilon_(rocket)
","Planned",""
"Chang'e 6 , URL: /wiki/Chang%27e_6
","Sample return","2023–24","Long March 5 , URL: /wiki/Long_March_5
","Planned",""
"Chang'e 7 , URL: /wiki/Chang%27e_7
","Orbiter Lander Rover Hopper","2023","Long March 5 , URL: /wiki/Long_March_5
","Planned",""
"Lunar Polar Exploration Mission , URL: /wiki/Lunar_Polar_Exploration_Mission
","Orbiter Lander Rover","2024","H3 , URL: /wiki/H3_(rocket)
","Proposed",""
"Chang'e 8 , URL: /w/index.php?title=Chang%27e_8&action=edit&redlink=1
","TBD","2026","TBD","Proposed",""
"North Korean mission to Moon , URL: /wiki/National_Aerospace_Development_Administration#North_Korea's_Deep_Space_Exploration_Program
","TBD","2026","Unha-20 , URL: /w/index.php?title=Unha-20&action=edit&redlink=1
","Proposed",""
