"Software","PowerMAN , URL: /wiki/PowerMAN_(Software)
","EMCO Software , URL: /w/index.php?title=EMCO_Software&action=edit&redlink=1
","Energy Star , URL: /wiki/Energy_Star
","Faronics , URL: /wiki/Faronics
","Verdiem , URL: /wiki/Verdiem
"
"License","Proprietary , URL: /wiki/Proprietary_software
","Proprietary , URL: /wiki/Proprietary_software
","Free","Proprietary , URL: /wiki/Proprietary_software
","Proprietary , URL: /wiki/Proprietary_software
"
"64-bit Support","Yes","No","No","Yes","Yes"
"Active Directory , URL: /wiki/Active_Directory
","Yes","No","No","Yes","Yes"
"Group Policy , URL: /wiki/Group_Policy
","Yes","No","Yes","No","No"
"Per-user Policy","Yes","No","No","Yes","Yes"
"Per-machine Policy","Yes","No","Yes","Yes","Yes"
"Anti-insomnia","Yes","Yes","No","Yes","Yes"
"Sleep , URL: /wiki/Sleep_mode
","Yes","Yes","Yes","Yes","Yes"
"Hibernate , URL: /wiki/Hibernation_(computing)
","Yes","Yes","Yes","Yes","Yes"
"Power-off on idle","Yes","Yes","No","Yes","Yes"
"Logout , URL: /wiki/Login
","Yes","Yes","No","Yes","No"
"Standby display on idle","Yes","No","Yes","Yes","No"
"Scheduled Sleep/Hibernate","Yes","Yes","No","Yes","Yes"
"Scheduled power-off","Yes","Yes","No","Yes","Yes"
"Scheduled Reboot","Yes","No","No","Yes","Yes"
"WoL , URL: /wiki/Wake_on_lan
","Yes","No","No","Yes","Yes"
"WoL , URL: /wiki/Wake_on_lan
","Yes","No","No","Yes","Yes"
