"Name","Frequency","Credit bureau(s)","Full SSN required?","Scoring model"
"AnnualCreditReport.com , URL: /wiki/AnnualCreditReport.com
","Annual full official report (one from each agency)[3]","Equifax , URL: /wiki/Equifax
Experian , URL: /wiki/Experian
TransUnion , URL: /wiki/TransUnion
","Yes[3]","No score provided"
"Bankrate , URL: /wiki/Bankrate
","Monthly full report[4]","TransUnion[4]","Last 4 digits only","VantageScore 3.0[4]"
"Capital One , URL: /wiki/Capital_One
","Weekly full report[5]","TransUnion[5]","Yes[5]","VantageScore 3.0[5]"
"Experian , URL: /wiki/Experian
","Monthly full report[6]","Experian","Yes[6]","FICO 8[6]"
"Chase , URL: /wiki/Chase_Bank
","Weekly summary[7]","TransUnion[7]","Yes[7]","VantageScore 3.0[7]"
"Credit Karma , URL: /wiki/Credit_Karma
","Daily TransUnion & Weekly Equifax full reports[8]","TransUnion, Equifax[8]","Sometimes[9]","VantageScore 3.0[10]"
"Discover , URL: /wiki/Discover_Financial
","Monthly summary[11]","Experian","Yes[11]","FICO 8[11]"
"Credit Sesame , URL: /wiki/Credit_Sesame
","Monthly summary[12]","TransUnion[12]","Last 4 digits only[12]","VantageScore 3.0[12]"
"Equifax , URL: /wiki/Equifax
","Monthly summary[13]","Equifax","Last 4 digits only[13]","VantageScore 3.0[13]"
"LendingTree , URL: /wiki/LendingTree
","Monthly summary[14]","TransUnion[14]","Last 4 digits only[14]","VantageScore 3.0[10]"
"Mint , URL: /wiki/Mint.com
Intuit , URL: /wiki/Intuit
","Monthly summary[15]","TransUnion[15]","Yes[15]","VantageScore 3.0[16]"
"Bankrate , URL: /wiki/Bankrate
","Monthly full report[17]","TransUnion[17]","Last 4 digits only","VantageScore 3.0[17]"
"American Express , URL: /wiki/American_Express
","Weekly full report[18]","TransUnion[18]","Last 4 digits only","VantageScore 3.0[18]"
"NerdWallet , URL: /wiki/NerdWallet
","Weekly full report[19]","TransUnion[19]","Last 4 digits only[19]","VantageScore 3.0[19]"
"Nav","Every 30 days","Dun & Bradstreet , URL: /wiki/Dun_%26_Bradstreet
","Yes","VantageScore 3.0[20]"
"TransUnion , URL: /wiki/TransUnion
","Monthly full report","TransUnion","Last 4 digits only","VantageScore 3.0[10]"
"WalletHub , URL: /wiki/WalletHub
","Daily full report[21]","TransUnion[21]","Last 4 digits only[21]","VantageScore 3.0[10]"
