"IDE , URL: /wiki/Integrated_development_environment
","Developer , URL: /wiki/Software_developer
","release , URL: /wiki/Software_release
","Platform , URL: /wiki/Platform_(computing)
","License , URL: /wiki/Software_license
","Written in , URL: /wiki/Programming_language
"
"Anjuta , URL: /wiki/Anjuta
","Anjuta Team","3.28.0 / March 11, 2018","Unix-like , URL: /wiki/Unix-like
","GPL , URL: /wiki/GNU_General_Public_License
","C , URL: /wiki/C_(programming_language)
"
"Atom , URL: /wiki/Atom_(text_editor)
","GitHub , URL: /wiki/GitHub
Microsoft , URL: /wiki/Microsoft
","1.33.1 / December 19, 2018","Cross-platform , URL: /wiki/Cross-platform
","MIT License , URL: /wiki/MIT_License
","JavaScript , URL: /wiki/JavaScript
"
"Brackets , URL: /wiki/Brackets_(text_editor)
","Adobe , URL: /wiki/Adobe_Systems
","September 2017","Cross-platform , URL: /wiki/Cross-platform
","MIT License , URL: /wiki/MIT_License
","JavaScript , URL: /wiki/JavaScript
HTML , URL: /wiki/HTML
CSS , URL: /wiki/Cascading_Style_Sheets
"
"Aptana Studio , URL: /wiki/Aptana
","Aptana, Inc. , URL: /wiki/Aptana
","December 2013","Cross-platform , URL: /wiki/Cross-platform
","GPL , URL: /wiki/GNU_General_Public_License
","Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
"
"Codeanywhere , URL: /wiki/Codeanywhere
","Codeanywhere, Inc.","August 2015","Cloud IDE , URL: /wiki/Cloud_IDE
","Proprietary , URL: /wiki/Proprietary_software
","JavaScript , URL: /wiki/JavaScript
"
"CodeLite , URL: /wiki/CodeLite
","CodeLite , URL: /wiki/CodeLite
","October 2015","Cross-platform , URL: /wiki/Cross-platform
","GPL , URL: /wiki/GNU_General_Public_License
","C++ , URL: /wiki/C%2B%2B
"
"Eclipse , URL: /wiki/Eclipse_(software)
","Eclipse Foundation , URL: /wiki/Eclipse_Foundation
","","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
macOS , URL: /wiki/MacOS
FreeBSD , URL: /wiki/FreeBSD
JVM , URL: /wiki/Java_Virtual_Machine
Solaris , URL: /wiki/Solaris_(operating_system)
","EPL , URL: /wiki/Eclipse_Public_License
","C , URL: /wiki/C_(programming_language)
Java , URL: /wiki/Java_(programming_language)
"
"Komodo IDE / Edit , URL: /wiki/ActiveState_Komodo
","ActiveState , URL: /wiki/ActiveState
","November 19, 2013","Cross-platform , URL: /wiki/Cross-platform
","Proprietary , URL: /wiki/Proprietary_software
MPL , URL: /wiki/Mozilla_Public_License
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
JavaScript , URL: /wiki/JavaScript
Perl , URL: /wiki/Perl
Python , URL: /wiki/Python_(programming_language)
Tcl , URL: /wiki/Tcl
XUL , URL: /wiki/XUL
"
"NetBeans , URL: /wiki/NetBeans
","Oracle , URL: /wiki/Oracle_Corporation
","
URL: https://www.wikidata.org/wiki/Q264456?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","Cross-platform , URL: /wiki/Cross-platform
","Apache License , URL: /wiki/Apache_License
","Java , URL: /wiki/Java_(programming_language)
"
"Nodeclipse , URL: /wiki/Nodeclipse
","Nodeclipse , URL: /wiki/Nodeclipse
","March 31, 2014","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
macOS , URL: /wiki/MacOS
FreeBSD , URL: /wiki/FreeBSD
JVM , URL: /wiki/Java_Virtual_Machine
Solaris , URL: /wiki/Solaris_(operating_system)
","EPL , URL: /wiki/Eclipse_Public_License
","Java , URL: /wiki/Java_(programming_language)
"
"NuSphere PhpED , URL: /w/index.php?title=PHPEd&action=edit&redlink=1
","NuSphere","June 2011","Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","N/A"
"Oracle JDeveloper , URL: /wiki/Oracle_JDeveloper
","Oracle Corporation , URL: /wiki/Oracle_Corporation
","July 2013","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
macOS , URL: /wiki/MacOS
","Proprietary , URL: /wiki/Proprietary_software
","Java , URL: /wiki/Java_(programming_language)
"
"Servoy , URL: /wiki/Servoy
","Servoy Developer Team","June 2011","Cross-platform , URL: /wiki/Cross-platform
","Servoy License","Java , URL: /wiki/Java_(programming_language)
"
