"Card","Write protection switch [33]","DRM , URL: /wiki/Digital_rights_management
"
"CompactFlash , URL: /wiki/CompactFlash
","No","No"
"SmartMedia , URL: /wiki/SmartMedia
","Partial, sticker","Partial (optional)"
"MMC , URL: /wiki/Multimedia_Card
","No","No"
"MMCMobile","No","Yes, secureMMC"
"SD , URL: /wiki/Secure_Digital
","Yes [34][35]","CPRM , URL: /wiki/CPRM
"
"miniSD , URL: /wiki/MiniSD
","No","CPRM , URL: /wiki/CPRM
"
"microSD , URL: /wiki/MicroSD
","No","CPRM , URL: /wiki/CPRM
"
"Memory Stick , URL: /wiki/Memory_Stick
","Yes","MagicGate , URL: /wiki/MagicGate
"
"Memory Stick , URL: /wiki/Memory_Stick
","No","MagicGate , URL: /wiki/MagicGate
"
"Memory Stick , URL: /wiki/Memory_Stick
","No","MagicGate , URL: /wiki/MagicGate
"
"Memory Stick , URL: /wiki/Memory_Stick
","No","MagicGate , URL: /wiki/MagicGate
"
"PS Vita , URL: /wiki/PS_Vita
","No","Yes, Proprietary"
"xD , URL: /wiki/XD-Picture_Card
","No","Partial [36]"
"USB , URL: /wiki/USB_flash_drive
","Sometimes","No"
