"Name","FAT","FAT","FAT","FAT","Minix , URL: /wiki/Minix
","ext2 , URL: /wiki/Ext2
","btrfs , URL: /wiki/Btrfs
","HFS , URL: /wiki/Hierarchical_File_System
","APFS , URL: /wiki/APFS
","AFFS , URL: /wiki/Amiga_Fast_File_System
","F2FS , URL: /wiki/F2FS
","ZFS , URL: /wiki/ZFS
","NILFS , URL: /wiki/NILFS
","YAFFS , URL: /wiki/YAFFS
","YAFFS , URL: /wiki/YAFFS
"
"Name","FAT12 , URL: /wiki/FAT12
","FAT16 , URL: /wiki/FAT16
","FAT32 , URL: /wiki/FAT32
","exFAT , URL: /wiki/ExFAT
","Minix , URL: /wiki/Minix
","ext2 , URL: /wiki/Ext2
","btrfs , URL: /wiki/Btrfs
","HFS , URL: /wiki/Hierarchical_File_System
","APFS , URL: /wiki/APFS
","AFFS , URL: /wiki/Amiga_Fast_File_System
","F2FS , URL: /wiki/F2FS
","ZFS , URL: /wiki/ZFS
","NILFS , URL: /wiki/NILFS
","",""
"Acronis OS Selector , URL: /wiki/Acronis_Disk_Director_Suite
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AiR-BOOT","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"AKernelLoader","?","?","Yes","?","?","Yes","?","?","?","?","?","?","?","?","?"
"Barebox , URL: /wiki/Barebox
","Yes","Yes","Yes","?","No","Yes","No","No","No","No","No","No","No","?","?"
"BOOTBOOT","No","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?"
"BootIt Bare Metal","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootKey","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"bootload","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootManager , URL: /wiki/BootManager
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX (Apple) , URL: /wiki/BootX_(Apple)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BootX (Linux) , URL: /wiki/BootX_(Linux)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Clover","?","?","Yes","Yes","?","?","?","?","Yes","?","?","?","?","?","?"
"Darwin Boot Loader","?","?","Yes","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"Das U-Boot , URL: /wiki/Das_U-Boot
","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","?","?","?","?"
"extipl","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ReactOS , URL: /wiki/ReactOS
","Yes","Yes","Yes","?","?","Yes","Yes","?","?","?","?","?","?","?","?"
"GAG","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GNU GRUB 2 , URL: /wiki/GNU_GRUB
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","?","?"
"GRUB Legacy , URL: /wiki/GNU_GRUB
","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Grub2Win , URL: /wiki/GNU_GRUB#Variants
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GRUB4DOS , URL: /wiki/GNU_GRUB#Variants
","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","?","?"
"Gujin","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"systemd-boot / Gummiboot , URL: /wiki/Gummiboot_(software)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"iBoot , URL: /wiki/IBoot
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"LILO , URL: /wiki/LILO_(boot_loader)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Limine","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No"
"FreeBSD , URL: /wiki/FreeBSD
","Yes","Yes","Yes","?","?","Yes","?","?","?","?","?","Yes","?","?","?"
"loadlin , URL: /wiki/Loadlin
","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"LOLO","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","Yes","Yes"
"MasterBooter","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Multiple Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NTLDR , URL: /wiki/NTLDR
","?","Yes","Yes","?","?","No","No","No","No","No","No","No","No","?","?"
"OpenCore","?","Yes","Yes","Yes","?","?","?","Yes","Yes","?","?","?","?","?","?"
"OSL2000 Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"PLoP Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RedBoot , URL: /wiki/RedBoot
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"rEFInd , URL: /wiki/REFInd
","Yes[a]","Yes[a]","Yes[a]","?","?","Yes[b]","Yes[b]","?","?","?","?","?","?","?","?"
"rEFIt , URL: /wiki/REFIt
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Smart Boot Manager","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SPFdisk","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Syslinux , URL: /wiki/Syslinux
","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","?","?"
"Tianocore EDK II","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
"Windows Boot Manager , URL: /wiki/Windows_Boot_Manager
","?","?","Yes","Yes","?","?","?","No","No","?","?","?","?","?","?"
"XOSL , URL: /wiki/XOSL
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"yaboot , URL: /wiki/Yaboot
","?","?","?","?","?","Yes","?","Yes","?","?","?","?","?","?","?"
