"Name","Creator-maintainer","Based on","Standardized?[definition needed]","Specification , URL: /wiki/Specification
","Binary , URL: /wiki/Binary_format
","Human-readable , URL: /wiki/Human-readable
","references , URL: /wiki/Reference_(computer_science)
","IDL , URL: /wiki/Interface_description_language
","APIs , URL: /wiki/API
","zero-copy , URL: /wiki/Zero-copy
"
"Apache Avro , URL: /wiki/Apache_Avro
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","N/A","No","Apache Avro™ Specification , URL: https://avro.apache.org/docs/current/spec.html
","Yes","Partialg","N/A","Built-in","C, C#, C++, Java, PHP, Python, Ruby","N/A"
"Apache Parquet , URL: /wiki/Apache_Parquet
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","N/A","No","Apache Parquet , URL: https://parquet.apache.org
","Yes","No","No","N/A","Java, Python, C++","No"
"ASN.1 , URL: /wiki/ASN.1
","ISO , URL: /wiki/International_Organization_for_Standardization
IEC , URL: /wiki/International_Electrotechnical_Commission
ITU-T , URL: /wiki/ITU-T
","N/A","Yes","ISO/IEC 8824 / ITU-T X.680 (syntax) and ISO/IEC 8825 / ITU-T X.690 (encoding rules) series. X.680, X.681, and X.683 define syntax and semantics.","BER , URL: /wiki/Basic_Encoding_Rules
DER , URL: /wiki/Distinguished_Encoding_Rules
PER , URL: /wiki/Packed_Encoding_Rules
OER , URL: /wiki/Octet_encoding_rules
ECN , URL: /wiki/Encoding_Control_Notation
","XER , URL: /wiki/XML_Encoding_Rules
JER , URL: /wiki/JSON_encoding_rules
GSER , URL: /wiki/Generic_String_Encoding_Rules
ECN , URL: /wiki/Encoding_Control_Notation
","Yesf","Built-in","N/A","OER , URL: /wiki/Octet_encoding_rules
"
"Bencode , URL: /wiki/Bencode
","Bram Cohen , URL: /wiki/Bram_Cohen
BitTorrent, Inc. , URL: /wiki/BitTorrent,_Inc.
","N/A","De facto as BEP","BitTorrent protocol specification , URL: http://bittorrent.org/beps/bep_0003.html
","Except numbers and delimiters, being ASCII","No","No","No","No","No"
"Binn , URL: /wiki/Binn_(serialization_format)
","Bernardo Ramos","JSON , URL: /wiki/JSON
","No","Binn Specification , URL: https://github.com/liteserver/binn/blob/master/spec.md
","Yes","No","No","No","No","Yes"
"BSON , URL: /wiki/BSON
","MongoDB , URL: /wiki/MongoDB
","JSON , URL: /wiki/JSON
","No","BSON Specification , URL: http://bsonspec.org
","Yes","No","No","No","No","No"
"CBOR , URL: /wiki/CBOR
","P. Hoffman , URL: /wiki/Paul_Hoffman_(engineer)
","JSON , URL: /wiki/JSON
","Yes","RFC 8949","Yes","No","Yes, through tagging","CDDL , URL: https://tools.ietf.org/html/rfc8610
","No","No"
"Comma-separated values , URL: /wiki/Comma-separated_values
","RFC author: Yakov Shafranovich","N/A","A myriad of informal variants","RFC 4180 (among others)","No","Yes","No","No","No","No"
"Common Data Representation , URL: /wiki/Common_Data_Representation
","Object Management Group , URL: /wiki/Object_Management_Group
","N/A","Yes","General Inter-ORB Protocol , URL: /wiki/General_Inter-ORB_Protocol
","Yes","No","Yes","Yes","Ada, C, C++, Java, Cobol, Lisp, Python, Ruby, Smalltalk","N/A"
"D-Bus , URL: /wiki/D-Bus
","freedesktop.org , URL: /wiki/Freedesktop.org
","N/A","Yes","D-Bus Specification , URL: https://dbus.freedesktop.org/doc/dbus-specification.html#message-protocol
","Yes","No","No","Partial (Signature strings)","Yes , URL: /wiki/D-Bus
","N/A"
