"Name","Producer","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold mixed with","Sold in","Sold in","Sold in","D/C*"
"Name","Producer","Cola , URL: /wiki/Cola
","Ginger Ale , URL: /wiki/Ginger_Ale
","Lemonade , URL: /wiki/Lemonade
","Citrus , URL: /wiki/Citrus
","Milk , URL: /wiki/Milk
","Stimulant , URL: /wiki/Stimulant
","US","Australia","UK","D/C*"
"Hooper's Hooch , URL: /wiki/Hooper%27s_Hooch
","Bass Brewery , URL: /wiki/Bass_Brewery
","No","No","Yes","Yes","No","No","Yes","No","Yes","No"
"Kiss Mix , URL: /w/index.php?title=Kiss_Mix&action=edit&redlink=1
","Kiss Mix Drinks Company , URL: /w/index.php?title=Kiss_Mix_Drinks_Company&action=edit&redlink=1
","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Lemon Ruski","Stolichnaya , URL: /wiki/Stolichnaya
","No","No","No","Yes","No","No","No","Yes","No","No"
"Mike's Hard Lemonade","Mike's Hard Lemonade Co. , URL: /wiki/Mike%27s_Hard_Lemonade_Co.
","No","No","Yes","Yes","No","No","Yes","Yes","No","No"
"Pulse","Independent Distillers","No","No","Yes","No","No","Yes","No","Yes","?","No"
"Red Square","Halewood International","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No"
"Rev , URL: /wiki/Rev_(drink)
","Bacardi , URL: /wiki/Bacardi
","Yes","No","No","No","No","Yes","No","No","No","No"
"Smirnoff Ice","Diageo , URL: /wiki/Diageo
","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Vodka Cruiser , URL: /wiki/Vodka_Cruiser
","Asahi Breweries , URL: /wiki/Asahi_Breweries
","No","No","No","Yes","No","No","No","Yes","?","No"
"Vodka Kick","Global Brands","No","No","No","Yes","No","Yes","No","No","Yes","No"
"Vodka Mudshake","Independent Distillers","No","No","No","No","Yes","No","No","Yes","Yes","No"
"TVX","ICB Brands","No","No","No","Yes","No","No","No","No","Yes","No"
"Woody's","Beverage Brands","No","No","No","Yes","No","No","Yes","No","Yes","No"
