"Version","CPU","RAM","RAM","Free disk space","Video adapter and monitor"
"Version","CPU","Minimum","Recommended","Free disk space","Video adapter and monitor"
"Windows NT 3.51 Workstation , URL: /wiki/Windows_NT_3.51_Workstation
","386, 25 MHz","8 MB","16 MB","90 MB","VGA (640x480)"
"Windows NT 4.0 Workstation , URL: /wiki/Windows_NT_4.0_Workstation
","486, 33 MHz","12 MB","?","110 MB","VGA (640x480)"
"Windows 2000 Professional , URL: /wiki/Windows_2000_Professional
","133 MHz","32 MB","128 MB","650 MB","VGA (640x480)"
"Windows XP , URL: /wiki/Windows_XP
","233 MHz","64 MB","128 MB","GB , URL: /wiki/Gibibyte
","Super VGA (800x600)"
"Windows Fundamentals for Legacy PCs , URL: /wiki/Windows_Fundamentals_for_Legacy_PCs
","233 MHz","64 MB","128 MB","","Super VGA (800x600)"
"Windows XP 64-Bit Edition , URL: /wiki/Windows_XP_64-Bit_Edition
","Itanium , URL: /wiki/Itanium
","1 GB[7]","?","6 GB[7]","Super VGA (800x600)"
"Windows Server 2003 , URL: /wiki/Windows_Server_2003
","GHz , URL: /wiki/Hertz
x86 , URL: /wiki/X86
x64 , URL: /wiki/X86-64
","128 MB","256 MB","2 GB (x86) 4 GB (x64)","Super VGA (800x600)"
"Windows Vista , URL: /wiki/Windows_Vista
","800 MHz","384 MB (Starter) 512 MB (others) [8]","2 GB","15 GB (~6.5 GB for OS)","Super VGA (800x600) WDDM & DirectX 9 for Aero"
"Windows Server 2008 , URL: /wiki/Windows_Server_2008
","GHz , URL: /wiki/Hertz
x86 , URL: /wiki/X86
x64 , URL: /wiki/X86-64
","384 MB (Starter) 512 MB (others) [8]","2 GB","10 GB","Super VGA (800x600) WDDM & DirectX 9 for Aero"
"Windows 7 , URL: /wiki/Windows_7
","1 GHz","1 GB (x86) 2 GB (x64)","4 GB","16 GB (x86) 20 GB (x64) (~6.5 GB for OS)","Super VGA (800x600) WDDM & DirectX 9 for Aero"
"Windows Server 2012 , URL: /wiki/Windows_Server_2012
","1.4 GHz (x86-64)","512 MB","1 GB","10 GB","Super VGA (800x600), 32-bit color"
"Windows 8 , URL: /wiki/Windows_8
","1 GHz","1 GB (x86) 2 GB (x64)","4 GB","16 GB (x86) 20 GB (x64) (~6.5 GB for OS)","Super VGA (800x600), 32-bit color 1024 x 768 for Windows Store apps 1366 x 768 to snap apps"
"Windows 10 , URL: /wiki/Windows_10
","1 GHz or faster processor or SoC","1 GB (x86) 2 GB (x64)","4 GB","16 GB (x86) 20 GB (x64)","Super VGA (800x600), 32-bit color"
"Windows Server 2016 , URL: /wiki/Windows_Server_2016
","1.4 GHz 64-bit processor","512 MB ECC 2 GB with Desktop Experience installed[9]","depends on role","32 GB (~10 GB for OS)","XGA (1024 x768)"
"Windows Server 2019 , URL: /wiki/Windows_Server_2019
","1.4 GHz 64-bit processor","512 MB ECC 2 GB with Desktop Experience installed[10]","depends on role","32 GB","XGA (1024 x768)"
"Windows 11 , URL: /wiki/Windows_11
","64-bit 1 GHz or faster processor or SoC with two or more cores","4 GB","N/A","64 GB (~10 GB for OS)","720p greater than 9” diagonally, 32-bit color"
