"Name","Unicode Support","Single parent family","Same sex marriage","Witness to events","Name variants","Conflicting evidence","Source surety","Adoption & foster parent","non-standard calendar in date fields"
"Agelong Tree","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes"
"Ahnenblatt , URL: /wiki/Ahnenblatt
","Yes","Yes","Yes","Partial christening and marriage only","Yes","?","Yes","Yes","Yes"
"Ancestral Quest , URL: /wiki/Ancestral_Quest
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?"
"Ancestris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No[a]"
"Brother's Keeper , URL: /wiki/Brother%27s_Keeper_(software)
","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Family Historian , URL: /wiki/Family_Historian
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Family Tree Builder , URL: /wiki/MyHeritage#Family_Tree_Builder
","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes"
"Family Tree Maker , URL: /wiki/Family_Tree_Maker
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"GEDitCOM II , URL: /wiki/GEDitCOM
","Yes","?","Yes","?","?","?","?","?","?"
"Genbox Family History , URL: /wiki/Genbox_Family_History
","Yes","?","?","?","?","?","?","?","?"
"GenealogyJ , URL: /wiki/GenealogyJ
","Yes","?","Partial One partner's gender mislabelled","No","Yes","Yes","?","Yes","?"
"GenoPro , URL: /wiki/GenoPro
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gramps , URL: /wiki/Gramps_(software)
","Yes","Yes","Partial One partner's gender mislabelled[4]","Yes","Yes","?","Yes","Yes","Yes[a]"
"Heredis , URL: /w/index.php?title=Heredis&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Legacy Family Tree , URL: /wiki/Legacy_Family_Tree
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"LifeLines , URL: /wiki/LifeLines
","Yes","?","No","?","?","?","?","?","?"
"MacFamilyTree , URL: /wiki/MacFamilyTree
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Personal Ancestral File , URL: /wiki/Personal_Ancestral_File
","Yes","?","No","?","?","?","?","?","?"
"Reunion , URL: /wiki/Reunion_(genealogy_software)
","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"RootsMagic , URL: /wiki/RootsMagic
","Yes","?","Yes","Yes (paid version)","Yes","Yes","Yes","Yes","Yes"
"The Master Genealogist , URL: /wiki/The_Master_Genealogist
","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
