"Server","Developed by","Software license , URL: /wiki/Software_license
","Last stable version","Latest release date"
"AOLserver , URL: /wiki/AOLserver
","NaviSoft , URL: /wiki/NaviSoft
","Mozilla , URL: /wiki/Mozilla_Public_License
","4.5.2","2012-09-19 (discontinued)"
"Apache HTTP Server , URL: /wiki/Apache_HTTP_Server
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","Apache , URL: /wiki/Apache_License
","2.4.49","2021-09-15"
"Apache Tomcat , URL: /wiki/Apache_Tomcat
","Apache Software Foundation","Apache , URL: /wiki/Apache_License
","10.0.11","2021-09-11"
"Boa , URL: /wiki/Boa_(web_server)
","Jon Nelson and Larry Doolittle","GNU GPL","0.94.13","2002-07-30 (discontinued)"
"BusyBox httpd , URL: /wiki/BusyBox
","Glenn Engel, Vladimir Oleynik, BusyBox Team","GNU GPL","1.34.0","2020-08-19"
"Caddy , URL: /wiki/Caddy_(web_server)
","Matt Holt","Apache , URL: /wiki/Apache_License
","2.4.2","2021-06-17"
"Caudium , URL: /wiki/Caudium_(web_server)
","The Caudium Group","GNU GPL","1.4.18","2012-02-24"
"Cherokee HTTP Server , URL: /wiki/Cherokee_(Webserver)
","Álvaro López Ortega","GNU GPL","1.2.103","2013-04-21"
"GlassFish , URL: /wiki/GlassFish
","Sun Microsystems , URL: /wiki/Sun_Microsystems
Oracle Corporation , URL: /wiki/Oracle_Corporation
Eclipse Foundation , URL: /wiki/Eclipse_Foundation
","Eclipse Public License , URL: /wiki/Eclipse_Public_License
GNU General Public License , URL: /wiki/GNU_General_Public_License
","6.2.1","2021-08-27"
"Hiawatha , URL: /wiki/Hiawatha_(web_server)
","Hugo Leisink","GNU GPLv2","10.12","2021-03-25"
"HFS , URL: /wiki/HTTP_File_Server
","Rejetto","GNU GPL","2.3m","2018-08-16"
"IBM HTTP Server , URL: /wiki/IBM_HTTP_Server
","IBM , URL: /wiki/IBM
","proprietary , URL: /wiki/Proprietary_software
","9.0.5.4","2020-06-12[1]"
"Internet Information Services , URL: /wiki/Internet_Information_Services
","Microsoft , URL: /wiki/Microsoft
","Non-free proprietary","10.0.17763.1","2018-10-02"
"Jetty , URL: /wiki/Jetty_(web_server)
","Eclipse Foundation , URL: /wiki/Eclipse_Foundation
","Apache , URL: /wiki/Apache_License
","11.0.6x","2021-03-29"
"Jexus , URL: /wiki/Jexus
","Bing Liu","Non-free proprietary","6.2.x","2020"
"lighttpd , URL: /wiki/Lighttpd
","Jan Kneschke (Incremental)","BSD , URL: /wiki/BSD_licenses
","1.4.64","2022-01-19"
