"","Manufacturer , URL: /wiki/Console_manufacturer
","First public release date","Product line","USD , URL: /wiki/United_States_dollar
","Units sold , URL: /wiki/List_of_best-selling_game_consoles
"
"Atari Lynx , URL: /wiki/Atari_Lynx
","Atari , URL: /wiki/Atari
","11 October 1989[1]","Atari Lynx","$189[1]","3,000,000"
"Atari Lynx II , URL: /wiki/Atari_Lynx#Lynx_II
","Atari","1991","Atari Lynx","$179","500,000[1]"
"Dingoo A320 , URL: /wiki/Dingoo_A320
","Dingoo Digital Technology , URL: /w/index.php?title=Dingoo_Digital_Technology&action=edit&redlink=1
","2009","Dingoo","$82.80","1,000,000"
"Epoch Game Pocket Computer , URL: /wiki/Epoch_Game_Pocket_Computer
","Epoch Co. , URL: /wiki/Epoch_Co.
","1984","Epoch Game Pocket Computer","",""
"Gamate , URL: /wiki/Gamate
","Bit Corporation , URL: /wiki/Bit_Corporation
","1990","Gamate","",""
"GameKing , URL: /wiki/GameKing
","Timetop","2003","GameKing","$10–20 (depending on retailer's subsidies and special offers)",""
"GameKing , URL: /wiki/GameKing
","Timetop","2004","GameKing","$15–30 (depending on retailer's subsidies and special offers)",""
"Game Boy , URL: /wiki/Game_Boy
","Nintendo , URL: /wiki/Nintendo
","21 April 1989","Game Boy line , URL: /wiki/Game_Boy_line
","$89.99 [2]","70,000,000[citation needed]"
"Game Boy Advance , URL: /wiki/Game_Boy_Advance
","Nintendo","21 March 2001","Game Boy line","$100","37,700,000[3]"
"Game Boy Advance SP , URL: /wiki/Game_Boy_Advance_SP
","Nintendo","14 February 2003","Game Boy line","$99.99","43,020,000[3]"
"Game Boy Advance SP , URL: /wiki/Game_Boy_Advance_SP
","Nintendo","13 September 2005","Game Boy line","$79",""
"Game Boy Color , URL: /wiki/Game_Boy_Color
","Nintendo","21 October 1998","Game Boy line","$69.99[2]","48,600,000[citation needed]"
"Game Boy Light , URL: /wiki/Game_Boy#Game_Boy_Light
","Nintendo","1997 (Japan only)","Game Boy line","",""
"Game Boy Micro , URL: /wiki/Game_Boy_Micro
","Nintendo","13 September 2005","Game Boy line","$99","2,500,000[1]"
"Game Boy Pocket , URL: /wiki/Game_Boy#Game_Boy_Pocket
","Nintendo","1996","Game Boy line","$59[2][failed verification]",""
"Game.com , URL: /wiki/Game.com
","Tiger Electronics , URL: /wiki/Tiger_Electronics
","September 1997[1]","Game.com","$59–69[4]","300,000[1]"
"GCW Zero , URL: /wiki/GCW_Zero
","Game Consoles Worldwide , URL: /w/index.php?title=Game_Consoles_Worldwide&action=edit&redlink=1
","March 2013","GCW","$150",""
"Gizmondo , URL: /wiki/Gizmondo
","Tiger Telematics , URL: /wiki/Tiger_Telematics
","2005[1]","Gizmondo","$229–400 (depending on advertising subsidies)[1]","25,000[1]"
"GP2X , URL: /wiki/GP2X
","GamePark Holdings , URL: /wiki/GamePark_Holdings
","9 November 2005","GP2X","$185","60,000[5] (inc. GP2X F200 sales)"
"GP2X F200 , URL: /wiki/GP2X#History
","GamePark Holdings , URL: /wiki/GamePark_Holdings
","30 October 2007[6]","GP2X","$169[5]","60,000[5] (inc. original GP2X sales)"
"GP2X Wiz , URL: /wiki/GP2X_Wiz
","GamePark Holdings , URL: /wiki/GamePark_Holdings
","13 May 2009","GP2X","$179",""
"GP2X Caanoo , URL: /wiki/CAANOO
","GamePark Holdings , URL: /wiki/GamePark_Holdings
","16 August 2010[7]","GP2X","$150",""
"GP32 , URL: /wiki/GP32
","Game Park , URL: /wiki/Game_Park
","23 November 2001","GP32","$239","30,000[8]"
"GPD Win , URL: /wiki/GPD_Win
","GamePad Digital","October 2016","GPD Win","$350–400[9]",""
"GPD Win 2 , URL: /wiki/GPD_Win_2
","GamePad Digital","May 2018","GPD Win","$649-899 (pre-order, and tentative release prices)",""
"GPD Win Max , URL: /wiki/GPD_Win_Max
","GamePad Digital","2020","GPD Win","",""
"GPD Win 3 , URL: /wiki/GPD_Win_3
","GamePad Digital","2021","GPD Win","$799-$899",""
"GPD XD , URL: /wiki/GPD_XD
","Gamepad Digital","2015","GPD XD","$194",""
"GPD XD Plus","Gamepad Digital","2018","GPD XD","$207",""
"Mega Duck/Cougar Boy , URL: /wiki/Mega_Duck
","Creatonic, Videojet, and Timlex","1993","Mega Duck/Cougar Boy","$50",""
"Microvision , URL: /wiki/Microvision
","Milton Bradley Company , URL: /wiki/Milton_Bradley_Company
","October 1979","Microvision","$49.99",""
"Mi2 , URL: /wiki/Mi2_(console)
","Planet interactive","October 2009","Pocket Dream Console , URL: /wiki/Pocket_Dream_Console
","€70",""
"Neo Geo Pocket , URL: /wiki/Neo_Geo_Pocket
","SNK Playmore , URL: /wiki/SNK_Playmore
","1998[1]","Neo Geo , URL: /wiki/Neo_Geo_(system)
","$69[1][10]",""
"Neo Geo Pocket Color , URL: /wiki/Neo_Geo_Pocket_Color
","SNK Playmore","16 March 1999[1]","Neo Geo","$69[10][failed verification]",""
"Neo Geo X , URL: /wiki/Neo_Geo_X
","SNK Playmore","18 December 2012[1]","Neo Geo","$199",""
"Nintendo DS , URL: /wiki/Nintendo_DS
","Nintendo","21 November 2004","Nintendo DS","$149.99","18,820,000[3]"
"Nintendo DS Lite , URL: /wiki/Nintendo_DS_Lite
","Nintendo","2 March 2006","Nintendo DS","$129.99","84,490,000[3]"
"Nintendo DSi , URL: /wiki/Nintendo_DSi
","Nintendo","1 November 2008[11]","Nintendo DS","$169[12]","16,430,000[13]"
