"Research Networking Tool","Data Source / Infeed Functionality","Auto Ingest?","Linked Open Data , URL: /wiki/Linked_Open_Data
","Data Export Types"
"Academic Room","Manual entry of data by users. May be some auto-ingest of PubMed citation data","Unknown","Unknown","Unknown"
"AcademicLabs","Pubmed, ORCID, funded projects from a.o. NIH, NSF, France, Flanders, Clinical Trials from WHO, ClinicalTrials.gov, EU Clinical Trial Register, Patents from USPTO and EPO, national and regional public repositories, websites, direct input by researchers.","Yes","Unknown","XLS, CSV, JSON"
"Activity Insight","PeopleSoft , URL: /wiki/PeopleSoft
","Yes","Yes","RTF, XLS, CSV, PDF, HTML, XML"
"C-IKNOW","Network Surveys, automated upload for any kind of network data including archival, scientometric, webometric and computer log data. Also import data in GraphML, RDF, and DL (used by UCINET)","Yes(for defined data)","Yes","RDF, XML/RDF"
"PROFILES by Mentis (formerly Collaborative Partnership / Profile System)","Automated or on-demand import from PubMed, Google Scholar, Web of Science, Scopus, Banner, PeopleSoft, Web Services, Flat files and Manual Entry. Can be easily configured with any institutional subscription or database.","Yes","Yes","RTF, XLS, CSV, PDF, HTML, XML, JSON"
"Community Academic Profiles - CAP","CAP automatically generates a profile for all faculty, physicians, students, postdocs and staff (both academic and administrative) in the School of Medicine. Data flows automatically from a variety of source systems.","Yes","Unknown","Unknown"
"Converis","Clarivate Analytics , URL: /wiki/Clarivate_Analytics
Web of Science , URL: /wiki/Web_of_Science
","Yes—can be pre-populated and alerts recommend new data","Yes—can be used to power VIVO","Excel (.xlsx), EndNote (.ciw), BibTex (.bib), XML, JSON, PDF, RTF"
"Curvita Profile Manager","Information collected from university systems","Yes","Unknown","Unknown"
"CUSP - Columbia University Scientific Profiles","Databases for employees and grants; PubMed for publications","Yes","Unknown","Unknown"
"Digital Vita","PubMed , URL: /wiki/PubMed
","Yes (Some)","Yes","PDF, RTF"
"Elsevier's Pure (now integrated with SciVal Experts)","Sources include Scopus, Web of Science, PubMed, Embase, Mendeley, arXiv, Worldcat, CrossRef, Journal TOC, CAB Abstracts, SAO/NASA Astrophysics Data System and SciVal Funding opportunities; Data from institutions' internal systems, including HR data, grants, publications, patents, core facilities/resources, etc. Researchers or proxy users can enter additional content into the profiles, including research statements, research interest keywords, publications, grants, patents, books, creative works, education, researcher datasets, press clippings, awards and honors; free text can also be imported. Integration with all major institutional repositories.","Yes","Yes","XML, RDF, SPARQL, CSV, CERIF XML, MS Word, Excel, PDF, ATOM/XML web services, EndNote/Reference Manager, BibTex, various government assessment submission formats"
"Elsevier's SciVal","Scopus and ScienceDirect usage data","Yes","No","CSV, PDF, PNG, JPEG"
"Epernicus Solutions & Epernicus Network","Data entered by applicant","No","Unknown","Unknown"
"ERIM Member Profile System (ERIM MIS)","ERIM MIS database, Erasmus Publication Repository, Oracle portal","Yes","Unknown","Unknown"
"Esploro","Information is imported from ProQuest‘s Summon Service and from the following sources: PubMed, ORCID, BiBTeX, a RESTful web services API, CSV Data Imports, etc. Also supports methods of manual entry.","Yes","Yes","RTF, XLS, CSV, PDF, HTML, XML"
"EUREKA! Enhancing Student Research","Information about faculty research interests","No","Unknown","Unknown"
"Expertise @ Maryland","Central university faculty database","Yes","Unknown","Unknown"
"Faculty Profile System","Manually entered data about the faculty (faculty can enter, a proxy can enter, or designated staff work on maintaining profiles)","No (Faculty status verified by comparison with UC Irvine HR's Academic Personnel system)","Unknown","Unknown"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","FSP Database (2007–2008)","Yes","Unknown","Unknown"
"GENIUS","InfoEd proprietary grant funding databases","Yes (But only of InfoEd database data. Faculty profile information must be entered manually.)","Unknown","Unknown"
"Google","Institution's directory, news releases, and other institutional websites","Yes","Yes","Many types, depending on the format of the file retrieved."
"HUBzero","Comprehensive portal to support virtual research organizations including modular Web 2.0 tools, modeling and simulation tools, computational integration, identity management, workflow, personal profile management, data management, education","Yes","Yes","Unknown"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","PubMed","Yes","Unknown","Unknown"
"i2iConnect","Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features","Yes","Unknown","Unknown"
"InCites","Clarivate Analytics , URL: /wiki/Clarivate_Analytics
Web of Science , URL: /wiki/Web_of_Science
","No","No","XML, .mbb, XLS"
"INDURE (Indiana Database for University Research Expertise)","Faculty-entered information about research, faculty home pages","Yes? (Partial?)","Unknown","Unknown"
"Lattes Database","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","PubMed , URL: /wiki/PubMed
","Yes","Yes","Microsoft Word, Excel, PDF"
"LinkedIn","Information entered manually by user","No","Unknown","Unknown"
"Life Science Network","PubMed / Information entered manually by user.","No","Yes","CSV (for some modules)."
"Loki","Local Medline, PubMed, local NSF award database, local NIH RePORTER database, campus directory services","Yes (Partial)","Unknown","Unknown"
"Lyterati","PubMed, Google Scholar, BibTex, Ellucian, PeopleSoft, Workday, RESTful APIs, Template Driven Imports, CSV, Excel, Manual Entry Using Webpages, Faculty CVs","Yes","Unknown","PDF, MS Word, Excel, CSV, Web Services"
"McCormick Collaboration Visualization Tool","Clarivate Analytics Web of Science","Yes","Unknown","Unknown"
"MizzouLinks","Information collected from interviews and imported from a few institutional systems","No","Unknown","Unknown"
"MyScienceWork","Information input by user","No","Unknown","Unknown"
"OSU:pro","OSU systems","Yes","Unknown","Unknown"
"Pivot","Combines editorially created data on funding opportunities and profiles. Profile data sources from publicly available university organization and faculty member/researcher information, user-generated data, PubMed, Agricola, ERIC, and ProQuest citation databases, indexed faculty/researcher webpages.","Yes (for all citation data from sources listed in DataSource. Profiles editorially created, but user-generated profiles also included)","No","Unknown"
"Portfolio & Showroom","ORCID , URL: /wiki/ORCID
GND , URL: /wiki/Integrated_Authority_File
VIAF , URL: /wiki/Virtual_International_Authority_File
","No","Yes","BibTex, CSV, PDF"
"Profiles Research Networking Software","HR systems, PubMed, NIH RePORTER, commercial sources of publication data, institution-provided and user managed data","Yes","Yes","XML, RDF, SPARQL"
"REACH NC Life Science Experts Visualization Tool","SciVal Experts, RAMSES","Yes","Yes","RSI, CSV, Web-service API"
"Research Accelerator","Information entered by individual members","No","Unknown","Unknown"
"ResearcherID","Manually entered biographical and bibliographical information. Members can search Web of Science, Web of Knowledge, and other online collections, or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.","Yes (Partial; profiles created by administrators are pre-populated for individuals to review.)","No","None"
"SciENcv","curriculum vitae , URL: /wiki/Curriculum_vitae
","Yes","Unknown","Uses open data exchange standards"
"Symplectic Elements","ORCID integration , URL: http://symplectic.co.uk/elements-updates/elements-integrates-with-orcid/
","Yes Through integrated portals like VIVO and Profiles RNS","Yes Source for linked data","CSV, CERIF XML, MS Word, Excel, PDF (APA6), ATOM/XML web services, EndNote/Reference Manager, BibTex, RDF (Linked Data), various government assessment submission formats"
"UNIWeb","Users can enter their CV or bibliographic data manually, or import from the Canadian Common CV, PubMed, Google Scholar, Scopus, Web of Science, Bibtek, Endnote.","Unknown","Unknown","XML, MS Word, Excel"
"VIVO","PubMed, NIH RePORTER, PeopleSoft, internal HR & administrative databases, Scopus (with institutional license), Web of Science (with institutional license); emphasis on verified data sources, many many others being ingested at various institutions.","Yes (manual data entry possible, too)","Yes","RDF, GraphXML, CSV file"
"Yaffle","Memorial University systems","Yes","Unknown","Unknown"
