"v t e Word processors","v t e Word processors","v t e Word processors"
"List Comparison of early word processors","List Comparison of early word processors","List Comparison of early word processors"
"Open-source","AbiWord Bean (up to v. 2.x) Calligra Words GNU TeXmacs KWord LyX Ted Writer OpenOffice NeoOffice LibreOffice Collabora Online","AbiWord Bean (up to v. 2.x) Calligra Words GNU TeXmacs KWord LyX Ted Writer OpenOffice NeoOffice LibreOffice Collabora Online"
"Freeware","Adobe Buzzword Atlantis Nova Bean (since v. 3.x) Google Docs Jarte (standard) TextMaker (2008)","Adobe Buzzword Atlantis Nova Bean (since v. 3.x) Google Docs Jarte (standard) TextMaker (2008)"
"Commercial","Cross-platform","Adobe InCopy Corel WordPerfect (up to v. 9.0) Hangul Ichitaro Kingsoft Writer Microsoft Word Scrivener TextMaker"
"Commercial","Classic Mac OS only (and Classic Environment)","Nisus Writer"
"Commercial","MacOS only","Apple Pages Mellel Nisus Writer Express"
"Commercial","Windows-only","Atlantis Word Processor Corel WordPerfect (since v. 10.0) IBM Lotus Word Pro Jarte (enhanced) Microsoft Works Nota Bene MobiSystems OfficeSuite PolyEdit Scientific WorkPlace WordPad XyWrite"
"Discontinued","1st Word Apple Writer AppleWorks AtariWriter Bank Street Writer Cut & Paste The First XLEnt Word Processor IBM Lotus Symphony PaperClip SpeedScript Sprint Writer StarOffice OpenOffice.org Go-oo","1st Word Apple Writer AppleWorks AtariWriter Bank Street Writer Cut & Paste The First XLEnt Word Processor IBM Lotus Symphony PaperClip SpeedScript Sprint Writer StarOffice OpenOffice.org Go-oo"
"Hardware","AlphaSmart CPT Corporation Friden Flexowriter IBM Displaywriter System IBM MT/ST Wang","AlphaSmart CPT Corporation Friden Flexowriter IBM Displaywriter System IBM MT/ST Wang"
"Category:Word processors","Category:Word processors","Category:Word processors"
