"John McCain","John McCain","Barack Obama","Barack Obama"
"At a town hall meeting January 6, 2008 McCain was reported to have answered a question on the Armenian genocide by noting that he recognizes the Armenian genocide, but opposes the Armenian Genocide Resolution due to the Turkish government's sensitivities and the importance of their continued contribution to the war on terror.[123] On September 29, 2008, in an open letter to the Armenian-American Community of the United States he stated, that "it is fair to say that one of the greatest tragedies of the 20th century, the brutal murder of as many as one and a half million Armenians under the rule of the Ottoman Empire, has also been one of the most neglected" and that "it is our responsibility to recognize those tragic events".[124]","At a town hall meeting January 6, 2008 McCain was reported to have answered a question on the Armenian genocide by noting that he recognizes the Armenian genocide, but opposes the Armenian Genocide Resolution due to the Turkish government's sensitivities and the importance of their continued contribution to the war on terror.[123] On September 29, 2008, in an open letter to the Armenian-American Community of the United States he stated, that "it is fair to say that one of the greatest tragedies of the 20th century, the brutal murder of as many as one and a half million Armenians under the rule of the Ottoman Empire, has also been one of the most neglected" and that "it is our responsibility to recognize those tragic events".[124]","Armenian American , URL: /wiki/Armenian_American
Armenian genocide , URL: /wiki/Armenian_genocide
recognition , URL: /wiki/Recognition_of_the_Armenian_genocide
Condoleezza Rice , URL: /wiki/Condoleezza_Rice
United States Ambassador to Armenia , URL: /wiki/United_States_Ambassador_to_Armenia
John Evans , URL: /wiki/John_Marshall_Evans
Armenians , URL: /wiki/Armenian_people
ANCA , URL: /wiki/Armenian_National_Committee_of_America
Ken Hachikian , URL: /wiki/Ken_Hachikian
House Resolution 106 , URL: /wiki/United_States_resolution_on_Armenian_genocide
","Armenian American , URL: /wiki/Armenian_American
Armenian genocide , URL: /wiki/Armenian_genocide
recognition , URL: /wiki/Recognition_of_the_Armenian_genocide
Condoleezza Rice , URL: /wiki/Condoleezza_Rice
United States Ambassador to Armenia , URL: /wiki/United_States_Ambassador_to_Armenia
John Evans , URL: /wiki/John_Marshall_Evans
Armenians , URL: /wiki/Armenian_people
ANCA , URL: /wiki/Armenian_National_Committee_of_America
Ken Hachikian , URL: /wiki/Ken_Hachikian
House Resolution 106 , URL: /wiki/United_States_resolution_on_Armenian_genocide
"
"Chuck Baldwin","Bob Barr","Cynthia McKinney","Ralph Nader"
"","","",""
