"Product","Theme","Day-night mode","Brightness control","Adjust to display size","Indent paragraph","Trim extra blank spaces","Enable-disable CSS","Customize text alignment","Customize font scale","Customize line space","Customize color","Customize transparent","Fading edge","Simulate real page flip","Image view with zoom/pan"
"Aldiko Book Reader , URL: /wiki/Aldiko
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"AlReader , URL: /w/index.php?title=AlReader&action=edit&redlink=1
","?","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","?","?","Yes","?"
"Bookari , URL: /w/index.php?title=Bookari_Ebook_Reader_Premium&action=edit&redlink=1
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?"
"Cool Reader , URL: /wiki/CoolReader
","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?"
"EBookDroid , URL: /w/index.php?title=EBookDroid&action=edit&redlink=1
","?","Yes","?","?","?","Yes","?","?","?","?","?","?","?","?","?"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","Yes (PDF only)"
"eReader Prestigio , URL: /w/index.php?title=EReader_Prestigio&action=edit&redlink=1
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FBReader , URL: /wiki/FBReader
","Yes","Yes","Yes","Yes","Yes","Yes","No enable/disable CCS » YES","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Google Play Books , URL: /wiki/Google_Play_Books
","?","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","?","?","Yes","?","?"
"iReader , URL: /w/index.php?title=IReader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","Yes","?","?","Yes","No"
"Kindle , URL: /wiki/Amazon_Kindle
","?","Yes","Yes","?","?","?","?","?","Yes","Yes","?","?","?","?","?"
"Kobo Books","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","?"
"KOReader","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","?","?","Yes"
"Lektz eBook Reader , URL: /wiki/Lektz
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","?"
"Librera , URL: /w/index.php?title=Librera&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Moon+ reader , URL: /w/index.php?title=Moon%2B_reader&action=edit&redlink=1
","10+","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MReader , URL: /w/index.php?title=MReader&action=edit&redlink=1
","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"OverDrive Media Console , URL: /wiki/OverDrive_Media_Console
","Yes","Yes","Yes","Yes","?","?","?","?","Yes","Yes","Yes","?","?","No","Yes"
"PocketBook , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","?","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","?","Yes","Yes"
"Snapplify","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Socio eReader , URL: /w/index.php?title=Socio_eReader&action=edit&redlink=1
","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","?"
"Product","Theme","Day-night mode","Brightness control","Adjust to display size","Indent paragraph","Trim extra blank spaces","Enable-disable CSS","Customize text alignment","Customize font scale","Customize line space","Customize color","Customize transparent","Fading edge","Simulate real page flip","Image view with zoom/pan"
