"v t e Nintendo video game hardware","v t e Nintendo video game hardware","v t e Nintendo video game hardware","v t e Nintendo video game hardware"
"Consoles , URL: 
","Home","Famicom/NES Famicom Titler Twin Famicom NES-101 Sharp Nintendo Television Classic Edition accessories Super Famicom/Super NES New-Style SF Naizou TV SF1 Classic Edition accessories Nintendo 64 iQue Player accessories GameCube Panasonic Q accessories Wii Family Edition Mini Wii U Switch",""
"Consoles , URL: 
","Handheld","Game Boy accessories Game Boy Color accessories Virtual Boy Game Boy Advance SP Micro Dockable Entertainment accessories Pokémon Mini Nintendo DS Lite DSi accessories Nintendo 3DS 2DS New 3DS New 2DS XL Switch Switch Lite",""
"Consoles , URL: 
","Dedicated","Home
Color TV-Game NES Classic Edition Super NES Classic Edition

Handheld
Game & Watch Mini Classics Nelsonic Game Watch Pokémon Pikachu

Arcade
VS. System PlayChoice-10 Super Famicom Box Nintendo Super System Ultra 64 Aleck 64 Triforce


",""
"Peripherals","Add-ons","3D System Data Recorder Disk System Satellaview Super NES CD-ROM (unreleased) Super Game Boy 2 Game Boy Camera Game Boy Printer 64DD Rumble Pak e-Reader Game Boy Player",""
"Peripherals","Connectivity","NES Four Score NES Satellite Super Multitap Game Link Cable Transfer Pak GCN-GBA Link Cable iQue Player Multiplayer Box",""
"Peripherals","Controllers , URL: /wiki/List_of_Nintendo_controllers
","NES Controller Family BASIC Keyboard NES Advantage NES Max NES Zapper Power Glove Power Pad R.O.B. Speedboard U-Force SNES Controller Super Advantage Score Master SNES Mouse Super Scope Justifier Virtual Boy Controller Nintendo 64 controller VRU GameCube controller WaveBird Wireless DK Bongos Action Pad iQue Player Multiplayer Controller Wii Balance Board Wii Remote Classic Controller MotionPlus Wii Zapper Third-party accessories Wii Speak Wii U GamePad Wii U Pro Controller Joy-Con Nintendo Switch Pro Controller",""
"Peripherals","Networking","Family Computer Network System Teleplay Modem XBAND Satellaview NTT Data Communication Modem NDM24 Morita Shogi 64 N64 Modem Randnet Mobile Adapter GB GameCube Modem Adapter GameCube Broadband Adapter Nintendo Wi-Fi USB Connector",""
"Peripherals","Other","Nintendo Power iQue Depot Amiibo",""
"Technology","Media","NES Game Pak Compact Cassette Disk Card Turbo File II Twin GB Advance Game Boy Game Pak SNES Game Pak Barcode Satellaview Memory Cartridge Satellaview ROM Cartridge Virtual Boy Game Pak SF Memory Cassette GB Memory Cartridge N64 Game Pak Controller Pak Game Boy Color Game Pak 64DD Disk SmartMedia Game Boy Advance Game Pak e-Reader Card Game Boy Advance Video Nintendo Optical Disc Memory Card 59, 251, 1019 iQue Card Nintendo Game Card RFID",""
"Technology","Processors","NES 2A03 PPU Game Boy LR35902 SNES 5A22 GSU Virtual Boy V810 N64 VR4300 RCP Game Boy Advance ARM7TDMI LR35902 GameCube Gekko Flipper DS ARM946E-S ARM7TDMI Wii Broadway Hollywood ARM9 3DS ARM11 MPCore PICA200 Wii U Espresso Latte Switch Erista NES/SNES Classic Edition Allwinner R16",""
"List of products","List of products","List of products","List of products"
