"Client","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","Solaris , URL: /wiki/Solaris_(operating_system)
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
","Other"
"Akregator , URL: /wiki/Akregator
","No","?","Yes","Yes","Yes","No","No","No"
"Amarok , URL: /wiki/Amarok_(software)
","Yes","Yes","Yes","Yes","Yes","No","No","No"
"AOL Explorer , URL: /wiki/AOL_Explorer
","Yes","No","No","No","No","No","No","No"
"Avant , URL: /wiki/Avant_Browser
","Yes","No","No","No","No","No","No","No"
"Awasu , URL: /wiki/Awasu
","Yes","No","No","No","No","No","No","No"
"BlogBridge , URL: /wiki/BlogBridge
","Yes","Yes","Yes","No","No","No","No","No"
"Canto , URL: /wiki/Canto_(news_aggregator)
","No","No","Yes","No","No","No","No","No"
"Claws Mail , URL: /wiki/Claws_Mail
","Yes","Yes","Yes","Yes","Yes","No","No","Maemo , URL: /wiki/Maemo
"
"CommaFeed , URL: /wiki/CommaFeed
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java , URL: /wiki/Java_(software_platform)
"
"Cooliris , URL: /wiki/Cooliris_(plugin)
","Yes","Yes","No","No","No","No","No","No"
"Feed Viewer , URL: /wiki/Feed_Viewer
","Yes","No","No","No","No","No","Yes","Windows Phone , URL: /wiki/Windows_Phone
"
"FeedDemon , URL: /wiki/FeedDemon
","Yes","No","No","No","No","No","No","No"
"Feedreader , URL: /wiki/Feedreader_(Windows_Application)
","Yes","No","No","No","No","No","No","No"
"Flock , URL: /wiki/Flock_(web_browser)
","Yes","Yes","Yes","Yes","No","No","No","No"
"Gnus , URL: /wiki/Gnus
","Yes","Yes","Yes","Yes","Yes","Yes","No","DOS , URL: /wiki/DOS
"
"IBM Lotus Notes , URL: /wiki/IBM_Lotus_Notes
","Yes","Yes","Yes","No","No","No","No","No"
