"Format","Languages"
"std.string.join(array_of_strings, separator)","D , URL: /wiki/D_(programming_language)
"
"string:join(list_of_strings, separator)","Erlang , URL: /wiki/Erlang_(programming_language)
"
"join(separator, list_of_strings)","Perl , URL: /wiki/Perl
PHP , URL: /wiki/PHP
Raku , URL: /wiki/Raku_(programming_language)
"
"implode(separator, array_of_strings)","PHP , URL: /wiki/PHP
"
"separator.join(sequence_of_strings)","Python , URL: /wiki/Python_(programming_language)
Swift , URL: /wiki/Swift_(programming_language)
"
"array_of_strings.join(separator)","Ruby , URL: /wiki/Ruby_(programming_language)
JavaScript , URL: /wiki/JavaScript
Raku , URL: /wiki/Raku_(programming_language)
Rust , URL: /wiki/Rust_(programming_language)
"
"(string-join array_of_strings separator)","Scheme , URL: /wiki/Scheme_(programming_language)
"
"(format nil "~{~a~^separator~}" array_of_strings)","Common Lisp , URL: /wiki/Common_Lisp
"
"(clojure.string/join separator list_of_strings) (apply str (interpose separator list_of_strings))","Clojure , URL: /wiki/Clojure
"
"strings.Join(array_of_strings, separator)","Go , URL: /wiki/Go_(programming_language)
"
"join(array_of_strings, separator)","Seed7 , URL: /wiki/Seed7
"
"String.concat separator list_of_strings","OCaml , URL: /wiki/OCaml
"
"String.concatWith separator list_of_strings","Standard ML , URL: /wiki/Standard_ML
"
"Data.List.intercalate separator list_of_strings","Haskell , URL: /wiki/Haskell_(programming_language)
"
"Join(array_of_strings, separator)","VB , URL: /wiki/Visual_Basic_(classic)
"
"String.Join(separator, array_of_strings)","VB .NET , URL: /wiki/Visual_Basic_.NET
C# , URL: /wiki/C_Sharp_(programming_language)
F# , URL: /wiki/F_Sharp_(programming_language)
"
"String.join(separator, array_of_strings)","Java , URL: /wiki/Java_(programming_language)
"
"&{$OFS=$separator; "$array_of_strings"}, or array_of_strings -join separator","Windows PowerShell , URL: /wiki/Windows_PowerShell
"
"[array_of_strings componentsJoinedByString:separator]","Objective-C , URL: /wiki/Objective-C
"
"table.concat(table_of_strings, separator)","Lua , URL: /wiki/Lua_(programming_language)
"
"{|String streamContents: [ :stream | collectionOfAnything asStringOn: stream delimiter: separator ] collectionOfAnything joinUsing: separator","Smalltalk , URL: /wiki/Smalltalk
Squeak , URL: /wiki/Squeak
Pharo , URL: /wiki/Pharo
"
"array_of_strings.join(separator«, final_separator»)","Cobra , URL: /wiki/Cobra_(programming_language)
"
"sequence_of_strings.joinWithSeparator(separator)","Swift , URL: /wiki/Swift_(programming_language)
"
"1↓∊separator,¨list_of_strings","APL , URL: /wiki/APL_(programming_language)
"
