"Name","Hard drive , URL: /wiki/Hard_drive
","File systems , URL: /wiki/File_system
","Native support: floppy capacities 3.5"","Native support: floppy capacities 5.25"","Native support: floppy capacities 8.0"","Integrated disk compression utility","Native support: long file names"
"86-DOS 0.42 , URL: /wiki/86-DOS_0.42
1.00 , URL: /wiki/86-DOS_1.00
","n/a","FAT12 , URL: /wiki/FAT12
CP/M 2 , URL: /wiki/CP/M-80
","n/a","NorthStar , URL: /wiki/North_Star_Computers
Cromemco , URL: /wiki/Cromemco
","Tarbell , URL: /wiki/Tarbell_Electronics
","No","No"
"MS-DOS 1.25 , URL: /wiki/MS-DOS_1.25
","n/a","FAT12","n/a","160 KB; 320 KB","250.25 KB[9]","No","No"
"MS-DOS 2.0 , URL: /wiki/MS-DOS_2.0
2.11 , URL: /wiki/MS-DOS_2.11
","16 MB (32 MB with third-party FORMAT)[10]","FAT12","n/a","160 KB; 180 KB; 320 KB; 360 KB","250.25 KB;[9][11][12] 500.5 KB;[9][11][12] 616 KB;[11][12] 1232 KB[9][11]</ref>[12]","No","No"
"MS-DOS 3.0 , URL: /wiki/MS-DOS_3.0
","32 MB","FAT16 , URL: /wiki/FAT16
","n/a","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 3.1 , URL: /wiki/MS-DOS_3.1
","32 MB","FAT12, FAT16","n/a","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 3.2 , URL: /wiki/MS-DOS_3.2
","32 MB","FAT12, FAT16","720 KB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 3.3 , URL: /wiki/MS-DOS_3.3
","32 MB","FAT12, FAT16","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 3.31 , URL: /wiki/MS-DOS_3.31
","512 MB","FAT16B , URL: /wiki/FAT16B
","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 4.0 , URL: /wiki/MS-DOS_4.0
","2 GB","FAT16B , URL: /wiki/FAT16B
","720 KB; 1.44 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 5.0 , URL: /wiki/MS-DOS_5.0
","2 GB","FAT12, FAT16, FAT16B","720 KB, 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 6.0 , URL: /wiki/MS-DOS_6.0
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","DoubleSpace , URL: /wiki/DoubleSpace
","No"
"MS-DOS 6.20 , URL: /wiki/MS-DOS_6.20
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","DoubleSpace","No"
"MS-DOS 6.21 , URL: /wiki/MS-DOS_6.21
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","No","No"
"MS-DOS 6.22 , URL: /wiki/MS-DOS_6.22
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","DriveSpace , URL: /wiki/DriveSpace
","No"
"MS-DOS 7.0 , URL: /wiki/MS-DOS_7.0
Windows 95 , URL: /wiki/Windows_95
","2 GB","FAT12, FAT16, FAT16B","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","DriveSpace","No"
"MS-DOS 7.1 , URL: /wiki/MS-DOS_7.1
Windows 98 , URL: /wiki/Windows_98
Windows 98SE , URL: /wiki/Windows_98_SE
","124.55 GB with FAT32[13]","FAT32 , URL: /wiki/FAT32
","720 KB; 1.44 MB, 2.88 MB","160 KB; 180 KB; 320 KB; 360 KB; 1.2 MB","n/a","DriveSpace for Windows 95, none for Windows 98","No"
