"File system","Hard links , URL: /wiki/Hard_link
","Symbolic links , URL: /wiki/Symbolic_link
","Block journaling , URL: /wiki/Journaling_file_system
","Metadata-only journaling , URL: /wiki/Journaling_file_system
","Case-sensitive , URL: /wiki/Case-sensitive
","Case-preserving , URL: /wiki/Case-preserving
","File Change Log , URL: /wiki/File_Change_Log
","XIP , URL: /wiki/Execute_in_place
"
"DECtape , URL: /wiki/DECtape
","No","No","No","No","No","No","No","No"
"BeeGFS , URL: /wiki/BeeGFS
","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Level-D","No","No","No","No","No","No","No","No"
"RT-11 , URL: /wiki/RT-11
","No","No","No","No","No","No","No","No"
"APFS , URL: /wiki/APFS
","Yes","Yes","?","?","Partial","Yes","?","?"
"Version 6 Unix file system (V6FS)","Yes","No","No","No","Yes","Yes","No","No"
"Version 7 Unix file system (V7FS)","Yes","No[bc]","No","No","Yes","Yes","No","No"
"exFAT , URL: /wiki/ExFAT
","No","No","No","TexFAT , URL: /wiki/Transaction-Safe_FAT_File_System
","No","Yes","No","No"
"FAT12 , URL: /wiki/FAT12
","No","No","No","TFAT12 , URL: /wiki/TFAT12
","No","VFAT , URL: /wiki/VFAT
","No","No"
"FAT16 , URL: /wiki/FAT16
FAT16B , URL: /wiki/FAT16B
FAT16X , URL: /wiki/FAT16X
","No","No","No","TFAT16 , URL: /wiki/TFAT16
","No","VFAT , URL: /wiki/VFAT
","No","No"
"FAT32 , URL: /wiki/FAT32
FAT32X , URL: /wiki/FAT32X
","No","No","No?","TFAT32 , URL: /wiki/TFAT32
","No","VFAT , URL: /wiki/VFAT
","No","No"
"GFS , URL: /wiki/Global_File_System
","Yes","Yes[bd]","Yes","Yes[be]","Yes","Yes","No","No"
"HPFS , URL: /wiki/High_Performance_File_System
","No","No","No","No","No","Yes","No","No"
"NTFS , URL: /wiki/NTFS
","Yes","Yes[bf]","No[bg]","Yes[bg] (2000)","Yes[bh]","Yes","Yes","?"
"HFS Plus , URL: /wiki/HFS_Plus
","Yes[40]","Yes","No","Yes[bi]","Partial[bj]","Yes","Yes[bk]","No"
"FFS , URL: /wiki/Berkeley_Fast_File_System
","Yes","Yes","No","No","Yes","Yes","No","No"
"UFS1 , URL: /wiki/UFS1_(file_system)
","Yes","Yes","No","No","Yes","Yes","No","No"
"UFS2 , URL: /wiki/UFS2_(file_system)
","Yes","Yes","No","Yes[bl] [45] [bm]","Yes","Yes","No","?"
"HAMMER , URL: /wiki/HAMMER_(file_system)
","Yes","Yes","Yes","Yes","Yes","Yes","?","No"
"LFS , URL: /wiki/Log-structured_File_System_(BSD)
","Yes","Yes","Yes[bn]","No","Yes","Yes","No","No"
"ext , URL: /wiki/Extended_file_system
","Yes","Yes","No","No","Yes","Yes","No","No"
"Xiafs , URL: /wiki/Xiafs
","Yes","Yes","No","No","Yes","Yes","No","No"
"ext2 , URL: /wiki/Ext2
","Yes","Yes","No","No","Yes","Yes","No","Yes[bo]"
"ext3 , URL: /wiki/Ext3
","Yes","Yes","Yes (2001) [bp]","Yes (2001)","Yes","Yes","No","Yes"
"ext4 , URL: /wiki/Ext4
","Yes","Yes","Yes[bp]","Yes","Yes, optional [48]","Yes","No","Yes"
"NOVA , URL: /wiki/NOVA_(filesystem)
","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"F2FS , URL: /wiki/F2FS
","Yes","Yes","Yes[bn]","No","Yes","Yes","No","No"
"Lustre , URL: /wiki/Lustre_(file_system)
","Yes","Yes","Yes[bp]","Yes","Yes","Yes","Yes","No"
"NILFS , URL: /wiki/NILFS
","Yes","Yes","Yes[bn]","No","Yes","Yes","No","No"
"ReiserFS , URL: /wiki/ReiserFS
","Yes","Yes","Yes[bq]","Yes","Yes","Yes","No","?"
"Reiser4 , URL: /wiki/Reiser4
","Yes","Yes","Yes","No","Yes","Yes","No","?"
"OCFS , URL: /wiki/OCFS
","No","Yes","No","No","Yes","Yes","No","No"
"OCFS2 , URL: /wiki/OCFS2
","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"XFS , URL: /wiki/XFS
","Yes","Yes","Yes","Yes","Yes[br]","Yes","Yes","?"
"JFS , URL: /wiki/JFS_file_system
","Yes","Yes","Yes","Yes (1990)","Yes[bs]","Yes","No","?"
"QFS , URL: /wiki/QFS
","Yes","Yes","No","Yes","Yes","Yes","No","No"
"BFS , URL: /wiki/Be_File_System
","Yes","Yes","No","Yes","Yes","Yes","?","No"
"NSS , URL: /wiki/Novell_Storage_Services
","Yes","Yes","?","Yes","Yes[bt]","Yes[bt]","Yes[bu]","No"
