"","Version","Operating systems","Office suite , URL: /wiki/Office_suite
","Developer","License , URL: /wiki/Software_license
","ECMA-376","ISO/IEC 29500:2008","Notes"
"Collabora Office , URL: /wiki/Collabora_Online
","All versions","Windows, macOS, Linux, Android, iOS, iPadOS, Chrome OS Chromebooks","Collabora Office , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","MPL , URL: /wiki/Mozilla_Public_License
","Yes","Yes",""
"Collabora Online , URL: /wiki/Collabora_Online
","All versions","Web application , URL: /wiki/Web_application
","Collabora Online , URL: /wiki/Collabora_Online
","Collabora , URL: /wiki/Collabora
","MPL , URL: /wiki/Mozilla_Public_License
","Yes","Yes",""
"DataViz , URL: /wiki/DataViz
Sheet To Go , URL: /wiki/Documents_To_Go
","11.000[12]","Palm OS , URL: /wiki/Palm_OS
Windows Mobile , URL: /wiki/Windows_Mobile
Symbian , URL: /wiki/Symbian
UIQ , URL: /wiki/UIQ
S80 , URL: /wiki/Series_80_(software_platform)
","Documents To Go , URL: /wiki/Documents_To_Go
","DataViz , URL: /wiki/DataViz
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"EIOffice , URL: /wiki/EIOffice
","2009, 5.0.1272.101[13]","Windows , URL: /wiki/Microsoft_Windows
Linux , URL: /wiki/Linux
","EIOffice , URL: /wiki/EIOffice
","Evermore Software , URL: /w/index.php?title=Evermore_Software&action=edit&redlink=1
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only[13]"
"Gnumeric , URL: /wiki/Gnumeric
","1.8[35]","Unix , URL: /wiki/Unix
","","GNOME , URL: /wiki/GNOME
","GPL , URL: /wiki/GPL
","Yes","","Incomplete support"
"Go-oo , URL: /wiki/Go-oo
","3.0.0[14]","Windows, Linux, Unix, Mac OS X","Go-oo , URL: /wiki/Go-oo
","Free software community , URL: /wiki/Free_software_community
","LGPL , URL: /wiki/LGPL
CDDL , URL: /wiki/CDDL
","Yes","","Import only"
"Google Docs , URL: /wiki/Google_Docs
","(current)[15]","Web application , URL: /wiki/Web_application
","Google Docs , URL: /wiki/Google_Docs
","Google , URL: /wiki/Google
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","1.3[16]","Windows, Mac OS X, Linux","IBM Lotus Symphony , URL: /wiki/IBM_Lotus_Symphony
","IBM , URL: /wiki/IBM
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only"
"Kingsoft Office , URL: /wiki/Kingsoft_Office
","2009,[22] 6.3.0.1733","Windows","Kingsoft Office , URL: /wiki/Kingsoft_Office
","Kingsoft , URL: /wiki/Kingsoft
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only beta support"
"LibreOffice , URL: /wiki/LibreOffice
","All versions","Windows, macOS, Linux, Unix","LibreOffice , URL: /wiki/LibreOffice
","The Document Foundation , URL: /wiki/The_Document_Foundation
","MPL , URL: /wiki/Mozilla_Public_License
","Yes","Yes",""
"Microsoft Office Excel , URL: /wiki/Microsoft_Office_Excel
","2011 for Mac , URL: /wiki/Microsoft_Office_2011_for_Mac
","Windows, Mac OS X","Microsoft Office , URL: /wiki/Microsoft_Office
","Microsoft , URL: /wiki/Microsoft
","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes",""
"Microsoft Office Mobile , URL: /wiki/Microsoft_Office_Mobile
","6.1[23]","Windows Mobile","Microsoft Office Mobile , URL: /wiki/Microsoft_Office_Mobile
","Microsoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"Microsoft Works , URL: /wiki/Microsoft_Works
","9[24]","Windows","Microsoft Works , URL: /wiki/Microsoft_Works
","Microsoft","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes",""
"NeoOffice , URL: /wiki/NeoOffice
","2.2.5[36]","Mac OS X","NeoOffice , URL: /wiki/NeoOffice
","Patrick Luby and Edward Peterlin","GPL , URL: /wiki/GPL
","Yes","",""
"Numbers , URL: /wiki/Numbers_(software)
","'08[37]","Mac OS X","iWork , URL: /wiki/IWork
","Apple Inc. , URL: /wiki/Apple_Inc.
","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"ONLYOFFICE , URL: /wiki/OnlyOffice
","5.2[27]","Web application , URL: /wiki/Web_application
","ONLYOFFICE , URL: /wiki/OnlyOffice
","Ascensio System SIA","Proprietary , URL: /wiki/Proprietary_software
AGPL , URL: /wiki/GNU_Affero_General_Public_License
","Yes","",""
"OpenOffice.org Calc , URL: /wiki/OpenOffice.org_Calc
","3.0","Windows, Linux, Unix, Mac OS X","OpenOffice.org , URL: /wiki/OpenOffice.org
","OpenOffice.org","LGPL , URL: /wiki/LGPL
","Yes","","Import only"
"Quattro Pro , URL: /wiki/Quattro_Pro
","X4 (2008)[34]","Windows","WordPerfect Office , URL: /wiki/WordPerfect_Office
","Corel , URL: /wiki/Corel
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only"
"StarOffice , URL: /wiki/StarOffice
","9[30]","Solaris , URL: /wiki/Solaris_(operating_system)
","StarOffice , URL: /wiki/StarOffice
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","Proprietary , URL: /wiki/Proprietary_software
","Yes","","Import only[31]"
"Thinkfree Office , URL: /wiki/Thinkfree_Office
","[33]","Windows, Mac OS X, Linux","Thinkfree Office , URL: /wiki/Thinkfree_Office
","ThinkFree Corp","Proprietary , URL: /wiki/Proprietary_software
","Yes","",""
"","Version","Operating systems","Office suite","Developer","License","ECMA-376","ISO/IEC 29500:2008","Notes"
