"Name","Interface","Type of Client","XOVER , URL: /wiki/XOVER
","PAR , URL: /wiki/Parchive
","NZB , URL: /wiki/NZB
","unZip or unRAR","Integrated Search Service (retention / $$$/yr)","IPv6 , URL: /wiki/IPv6
","SSL/TLS","Audio Video Streaming","Price","Platform , URL: /wiki/Computing_platform
","License","Other"
"Arachne , URL: /wiki/Arachne_(software)
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","","","","","Free","DOS , URL: /wiki/DOS
Unix-like , URL: /wiki/Unix-like
","GPL , URL: /wiki/GPL
",""
"BinTube , URL: /wiki/BinTube
","GUI , URL: /wiki/GUI
","Binary Grabber","No","Yes","Yes","Yes","Yes (3200 Days / Free)","Yes","Yes","Yes","$59.95 / Free with subscription","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Streams media while downloading; Free with Usenet Service"
"Claws Mail , URL: /wiki/Claws_Mail
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes [1]","No","No","No","No","Yes","","No","Free","Cross-platform , URL: /wiki/Cross-platform
","GPL , URL: /wiki/GPL
",""
"Forté Agent , URL: /wiki/Fort%C3%A9_Agent
","GUI , URL: /wiki/GUI
","Combination","Yes","Yes","Yes","Yes","","","Yes","","$29","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Includes 3 month newsgroup service trial; Shareware"
"Gnus , URL: /wiki/Gnus
","Text-based , URL: /wiki/Text-based
","Traditional Newsreader","Yes","No","No","No","No","Yes","Yes","No","Free","Cross-platform , URL: /wiki/Cross-platform
","GPL , URL: /wiki/GPL
","Emacs , URL: /wiki/Emacs
Email , URL: /wiki/Email
"
"GrabIt , URL: /wiki/GrabIt
","GUI , URL: /wiki/GUI
","Binary Grabber","Yes","Yes","Yes","Yes","Yes ( 30 days / $24.99/yr )","No","Yes","","Free (searching extra)","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Usenet Search Service"
"GroupWise , URL: /wiki/GroupWise
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","","","","","Varies","Microsoft Windows , URL: /wiki/Microsoft_Windows
Unix-like , URL: /wiki/Unix-like
","Proprietary , URL: /wiki/Proprietary_software
",""
"KNode , URL: /wiki/KNode
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","","Yes","Yes","","Free","Unix-like , URL: /wiki/Unix-like
","GPL , URL: /wiki/GPL
","KDE"
"Lotus Notes , URL: /wiki/Lotus_Notes
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","","","","","Varies","Microsoft Windows , URL: /wiki/Microsoft_Windows
Unix-like , URL: /wiki/Unix-like
Mac OS X , URL: /wiki/Mac_OS_X
","Proprietary , URL: /wiki/Proprietary_software
",""
"Name","Interface","Type of Client","XOVER , URL: /wiki/XOVER
","PAR , URL: /wiki/Parchive
","NZB , URL: /wiki/NZB
","unZip unRAR","Integrated Search Service (retention / $$$/yr)","IPv6 , URL: /wiki/IPv6
","SSL/TLS","Audio Video Streaming","Price","Platform , URL: /wiki/Platform_(computing)
","License","Other"
"Lynx , URL: /wiki/Lynx_(web_browser)
","Text-based","Traditional Newsreader","Yes","No","No","","","Yes","Yes","","Free","Cross-platform","GPL , URL: /wiki/GPL
","Limited USENET support"
"Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","No","No","","","","Free","Cross-platform , URL: /wiki/Cross-platform
","MPL , URL: /wiki/Mozilla_Public_License
GPL , URL: /wiki/GPL
LGPL , URL: /wiki/LGPL
","SeaMonkey Mail & Newsgroups , URL: /wiki/SeaMonkey
"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","No","No","Yes","Yes","","Free","Cross-platform , URL: /wiki/Cross-platform
","MPL , URL: /wiki/Mozilla_Public_License
","Plugin support"
"Newsbin Pro , URL: /wiki/NewsBin
","GUI , URL: /wiki/GUI
","Binary Grabber","Yes","Yes","Yes","Yes","Yes ( $10/yr )","Yes","Yes","","$20","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Shareware"
"NewsLeecher , URL: /wiki/NewsLeecher
","GUI , URL: /wiki/GUI
","Combination","Yes","Yes","Yes","Yes","Yes Optional extra Add $10 per year","No","Yes","","Varies","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Shareware"
"Opera Mail , URL: /wiki/Opera_Mail
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","","No","Yes","Yes","","Free","Cross-platform , URL: /wiki/Cross-platform
","Proprietary , URL: /wiki/Proprietary_software
","Opera , URL: /wiki/Opera_(web_browser)
"
"Outlook Express , URL: /wiki/Outlook_Express
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","No","No","Yes","Yes","","","Microsoft Windows , URL: /wiki/Microsoft_Windows
","Proprietary , URL: /wiki/Proprietary_software
","Microsoft Windows , URL: /wiki/Microsoft_Windows
Windows Server 2003 , URL: /wiki/Windows_Server_2003
"
"Pan , URL: /wiki/Pan_(newsreader)
","GUI , URL: /wiki/GUI
","Combination","Yes","No","Yes","No","","Yes","Yes","","Free","Unix-like , URL: /wiki/Unix-like
Microsoft Windows , URL: /wiki/Microsoft_Windows
","GPL , URL: /wiki/GPL
","Gtk+"
"Name","Interface","Type of Client","XOVER , URL: /wiki/XOVER
","PAR , URL: /wiki/Parchive
","NZB , URL: /wiki/NZB
","unZip & unRAR","Integrated Search Service (retention / $$$/yr)","IPv6 , URL: /wiki/IPv6
","SSL/TLS","Audio Video Streaming","Price","Platform , URL: /wiki/Platform_(computing)
","License","Other"
"Seamonkey Mail & Newsgroups , URL: /wiki/SeaMonkey
","GUI , URL: /wiki/GUI
","Traditional Newsreader","Yes","No","No","No","No","Yes","Yes","","Free","Cross-platform , URL: /wiki/Cross-platform
","MPL , URL: /wiki/Mozilla_Public_License
","Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
"
