"Distribution","Working State","Aim","Creator","Producer","Base Distribution","Installed Size (MB)","Initial Release Date","Interface","Linux Kernel","Default File System","Architecture Support","Approximate Number of Pre-compiled Packages","Default Package Management Tools","Default Installer"
"Aurora","2009 Last Release, development stopped","Asus Eee PC , URL: /wiki/Asus_Eee_PC
","Eeebuntu community","","Ubuntu , URL: /wiki/Ubuntu_(operating_system)
","","2009-05-15","Gnome , URL: /wiki/GNOME
Gnome , URL: /wiki/GNOME
","Array kernel (modified kernel)[2]","","","","APT , URL: /wiki/Advanced_Packaging_Tool
",""
"CrunchBang Linux 11-20130119","2015-02-06 Development Stopped","Limited hardware machines","Philip Newborough","","Debian , URL: /wiki/Debian
","","2013-01-19","Openbox , URL: /wiki/Openbox
","3.2.35","","x86 + x86_64","","APT , URL: /wiki/Advanced_Packaging_Tool
",""
"Debian Eee PC","","Asus Eee PC","","","Debian","","","","","","","","",""
"Debian Wheezy","","","","","Written from scratch","","","","","","i386, AMD64, PowerPC, SPARC, ARM, MIPS, S390, armhf, s390x. Loongson[3]","","",""
"EasyPeasy 1.6","2012 Last Release, development stopped","All netbooks","EasyPeasy Community","Jon Ramvi , URL: /wiki/Jon_Ramvi
","Ubuntu , URL: /wiki/Ubuntu_(operating_system)
","","2010-04-24","Gnome , URL: /wiki/GNOME
","2.6.32","ext4","x86","","APT , URL: /wiki/Advanced_Packaging_Tool
","Ubiquity , URL: /wiki/Ubiquity_(software)
"
"Eeedora[4]","","Asus Eee PC , URL: /wiki/Asus_Eee_PC
","Martin Andrews","","Fedora , URL: /wiki/Fedora_(operating_system)
","","","Xfce , URL: /wiki/Xfce
","","","","","RPM , URL: /wiki/RPM_Package_Manager
",""
"Firefly Linux 1.0 Beta 1","2009 Last Release, development stopped","","Firefly Linux community","","Arch Linux , URL: /wiki/Arch_Linux
","","","LXDE , URL: /wiki/LXDE
","2.6.29.4","","x86","","Pacman , URL: /wiki/Pacman_(package_manager)
",""
"Fuduntu , URL: /wiki/Fuduntu
","2013-04-14 Last Release, development stopped","All netbooks[5]","Andrew Wyatt "Fewt"","Fuduntu.org[5]","Fedora , URL: /wiki/Fedora_(operating_system)
","","2012-10-01","Gnome , URL: /wiki/GNOME
","3.6.9","ext4","x86[6] + x86_64[7]","","RPM , URL: /wiki/RPM_Package_Manager
YUM , URL: /wiki/Yellowdog_Updater,_Modified
",""
"gNewSense , URL: /wiki/GNewSense
","","Free software , URL: /wiki/Free_software
","Brian Brazil and Paul O'Malley","FSF , URL: /wiki/Free_Software_Foundation
","Debian","","","","Linux-libre , URL: /wiki/Linux-libre
","","Loongson , URL: /wiki/Loongson
x86 , URL: /wiki/X86
x86-64 , URL: /wiki/X86-64
","","APT , URL: /wiki/Advanced_Packaging_Tool
","Ubiquity (software) , URL: /wiki/Ubiquity_(software)
"
