"Grammatical form","Esperanto","Esperanto","Ido","English","English"
"Singular noun , URL: /wiki/Noun
","-o (libro)","-o (libro)","-o (libro)","book","book"
"Plural noun , URL: /wiki/Noun
","-oj (libroj)","-oj (libroj)","-i (libri)","books","books"
"Adjective , URL: /wiki/Adjective
","-a (varma)","-a (varma)","-a (varma)","warm","warm"
"Adverb , URL: /wiki/Adverb
","-e (varme)","-e (varme)","-e (varme)","warmly","warmly"
"Present tense infinitive , URL: /wiki/Infinitive
","-anti (iranti)","-i (iri)","-ar (irar)","to be going","to go"
"Past tense infinitive , URL: /wiki/Infinitive
","-inti (irinti)","-i (iri)","-ir (irir)","to have gone","to go"
"Future tense infinitive , URL: /wiki/Infinitive
","-onti (ironti)","-i (iri)","-or (iror)","to be going to go","to go"
"Present , URL: /wiki/Present_tense
","-as (iras)","-as (iras)","-as (iras)","go, goes","go, goes"
"Past , URL: /wiki/Past_tense
","-is (iris)","-is (iris)","-is (iris)","went","went"
"Future , URL: /wiki/Future_tense
","-os (iros)","-os (iros)","-os (iros)","will go","will go"
"Imperative , URL: /wiki/Imperative_mood
","-u (iru)","-u (iru)","-ez (irez)","go!","go!"
"Conditional , URL: /wiki/Conditional_mood
","-us (irus)","-us (irus)","-us (irus)","would go","would go"
