"v t e Unicode","v t e Unicode","v t e Unicode","v t e Unicode"
"Unicode","Unicode","Unicode Consortium ISO/IEC 10646 (Universal Character Set) Versions","Unicode Consortium ISO/IEC 10646 (Universal Character Set) Versions"
"Code points , URL: /wiki/Code_point
","Code points , URL: /wiki/Code_point
","Block List Universal Character Set Character charts Character property Plane Private Use Area","Block List Universal Character Set Character charts Character property Plane Private Use Area"
"Characters","Characters","Special purpose , URL: /wiki/Universal_Character_Set_characters#Special-purpose_characters
","BOM Combining grapheme joiner Left-to-right mark / Right-to-left mark Soft hyphen Variant form Word joiner Zero-width joiner Zero-width non-joiner Zero-width space"
"Characters","Characters","Lists","Characters CJK Unified Ideographs Combining character Duplicate characters Numerals Scripts Spaces Symbols Halfwidth and fullwidth Alias names and abbreviations"
"Processing","Processing","Algorithms","Bidirectional text Collation ISO/IEC 14651 Equivalence Variation sequences International Ideographs Core"
"Processing","Processing","Comparison , URL: 
","BOCU-1 CESU-8 Punycode SCSU UTF-1 UTF-7 UTF-8 UTF-16/UCS-2 UTF-32/UCS-4 UTF-EBCDIC"
"On pairs of code points","On pairs of code points","Combining character Compatibility characters Duplicate characters Equivalence Homoglyph Precomposed character list Z-variant Variation sequences Regional indicator symbol Emoji skin color","Combining character Compatibility characters Duplicate characters Equivalence Homoglyph Precomposed character list Z-variant Variation sequences Regional indicator symbol Emoji skin color"
"Usage","Usage","Domain names (IDN) Email Fonts HTML entity references numeric references Input International Ideographs Core","Domain names (IDN) Email Fonts HTML entity references numeric references Input International Ideographs Core"
"Related standards","Related standards","Common Locale Data Repository (CLDR) GB 18030 ISO/IEC 8859 ISO 15924","Common Locale Data Repository (CLDR) GB 18030 ISO/IEC 8859 ISO 15924"
"Related topics","Related topics","Anomalies ConScript Unicode Registry Ideographic Research Group International Components for Unicode People involved with Unicode Han unification","Anomalies ConScript Unicode Registry Ideographic Research Group International Components for Unicode People involved with Unicode Han unification"
"Scripts and symbols in Unicode","Scripts and symbols in Unicode","Scripts and symbols in Unicode","Scripts and symbols in Unicode"
"Common and inherited scripts , URL: /wiki/Script_(Unicode)#Common_and_inherited_scripts
","Combining marks Diacritics Punctuation Space Numbers","Common and inherited scripts , URL: /wiki/Script_(Unicode)#Common_and_inherited_scripts
","Combining marks Diacritics Punctuation Space Numbers"
"Modern scripts","Adlam Arabic Armenian Balinese Bamum Batak Bengali Bopomofo Braille Buhid Burmese Canadian Aboriginal Chakma Cham Cherokee CJK Unified Ideographs (Han) Cyrillic Deseret Devanagari Geʽez Georgian Greek Gujarati Gunjala Gondi Gurmukhi Hangul Hanifi Rohingya Hanja Hanunuoo Hebrew Hiragana Javanese Kanji Kannada Katakana Kayah Li Khmer Lao Latin Lepcha Limbu Lisu (Fraser) Lontara Malayalam Masaram Gondi Mende Kikakui Medefaidrin Miao (Pollard) Mongolian Mru N'Ko New Tai Lue Nüshu Nyiakeng Puachue Hmong Odia Ol Chiki Osage Osmanya Pahawh Hmong Pau Cin Hau Pracalit (Newa) Ranjana Rejang Samaritan Saurashtra Shavian Sinhala Sorang Sompeng Sundanese Syriac Tagbanwa Tai Le Tai Tham Tai Viet Tamil Tangsa Telugu Thaana Thai Tibetan Tifinagh Tirhuta Toto Vai Wancho Warang Citi Yi","Modern scripts","Adlam Arabic Armenian Balinese Bamum Batak Bengali Bopomofo Braille Buhid Burmese Canadian Aboriginal Chakma Cham Cherokee CJK Unified Ideographs (Han) Cyrillic Deseret Devanagari Geʽez Georgian Greek Gujarati Gunjala Gondi Gurmukhi Hangul Hanifi Rohingya Hanja Hanunuoo Hebrew Hiragana Javanese Kanji Kannada Katakana Kayah Li Khmer Lao Latin Lepcha Limbu Lisu (Fraser) Lontara Malayalam Masaram Gondi Mende Kikakui Medefaidrin Miao (Pollard) Mongolian Mru N'Ko New Tai Lue Nüshu Nyiakeng Puachue Hmong Odia Ol Chiki Osage Osmanya Pahawh Hmong Pau Cin Hau Pracalit (Newa) Ranjana Rejang Samaritan Saurashtra Shavian Sinhala Sorang Sompeng Sundanese Syriac Tagbanwa Tai Le Tai Tham Tai Viet Tamil Tangsa Telugu Thaana Thai Tibetan Tifinagh Tirhuta Toto Vai Wancho Warang Citi Yi"
