"Licence","Author","Latest version","Publication date","Linking","Distribution","Modification","Patent grant","Private use","Sublicensing","TM grant"
"Academic Free License , URL: /wiki/Academic_Free_License
","Lawrence E. Rosen , URL: /wiki/Lawrence_E._Rosen
","3.0","2002","Permissive , URL: /wiki/Permissive_free_software_licence
","Permissive","Permissive","Yes","Yes","Permissive","No"
"Affero General Public License , URL: /wiki/Affero_General_Public_License
","Affero Inc","2.0","2007","Copylefted , URL: /wiki/Copyleft
","GNU AGPL , URL: /wiki/GNU_AGPL
","Copyleft[12]","?","Yes[12]","?","?"
"Apache License , URL: /wiki/Apache_License
","Apache Software Foundation , URL: /wiki/Apache_Software_Foundation
","2.0","2004","Permissive[13]","Permissive[13]","Permissive[13]","Yes[13]","Yes[13]","Permissive[13]","No[13]"
"Apple Public Source License , URL: /wiki/Apple_Public_Source_License
","Apple Computer , URL: /wiki/Apple_Computer
","2.0","2003August 6, 2003","Permissive","?","Limited","?","?","?","?"
"Artistic License , URL: /wiki/Artistic_License
","Larry Wall , URL: /wiki/Larry_Wall
","2.0","2000","With restrictions","With restrictions","With restrictions","No","Permissive","With restrictions","No"
"Beerware , URL: /wiki/Beerware
","Poul-Henning Kamp , URL: /wiki/Poul-Henning_Kamp
","42","1987","Permissive","Permissive","Permissive","No","Permissive","Permissive","No"
"BSD License , URL: /wiki/BSD_License
","Regents of the University of California , URL: /wiki/Regents_of_the_University_of_California
","3.0","?","Permissive[14]","Permissive[14]","Permissive[14]","Manually[14]","Yes[14]","Permissive[14]","Manually[14]"
"Boost Software License , URL: /wiki/Boost_Software_License
","?","1.0","2003August 17, 2003","Permissive","?","Permissive","?","?","?","?"
"Creative Commons Zero , URL: /wiki/Creative_Commons_Zero
","Creative Commons , URL: /wiki/Creative_Commons
","1.0","2009","Public Domain[15][16]","Public Domain","Public Domain","No","Public Domain","Public Domain","No"
"CC BY , URL: /wiki/CC-BY
","Creative Commons , URL: /wiki/Creative_Commons
","4.0","2002","Permissive[17]","Permissive","Permissive","No","Yes","Permissive","No"
"CC BY-SA , URL: /wiki/CC-BY-SA
","Creative Commons , URL: /wiki/Creative_Commons
","4.0","2002","Copylefted[17]","Copylefted","Copylefted","No","Yes","Copylefted[18]","No"
"CeCILL , URL: /wiki/CeCILL
","CEA , URL: /wiki/Commissariat_%C3%A0_l%27%C3%A9nergie_atomique_et_aux_%C3%A9nergies_alternatives
CNRS , URL: /wiki/CNRS
INRIA , URL: /wiki/INRIA
","2.1","2005June 21, 2013","Permissive","Permissive","Permissive","No","Permissive","With restrictions","No"
"Common Development and Distribution License , URL: /wiki/Common_Development_and_Distribution_License
","Sun Microsystems , URL: /wiki/Sun_Microsystems
","1.0","2004-12December 1, 2004","Permissive","?","Limited","?","?","?","?"
"Common Public License , URL: /wiki/Common_Public_License
","IBM , URL: /wiki/IBM
","1.0","2001May 2001","Permissive","?","Copylefted","?","?","?","?"
"Cryptix General License , URL: /wiki/Cryptix_General_License
","Cryptix Foundation","N/A","1995","Permissive","Permissive","Permissive","Manually","Yes","?","Manually"
"Eclipse Public License , URL: /wiki/Eclipse_Public_License
","Eclipse Foundation , URL: /wiki/Eclipse_Foundation
","2.0","August 24, 2017","Permissive[19]","Copylefted[19][20]","Copylefted[19]","Yes[19]","Yes[19]","Copylefted[19]","No[19]"
"Educational Community License , URL: /wiki/Educational_Community_License
","Indiana University , URL: /wiki/Indiana_University
","1.0","2007","Permissive","?","Permissive","?","?","?","?"
"European Union Public Licence , URL: /wiki/European_Union_Public_Licence
","European Commission , URL: /wiki/European_Commission
","1.2","2009May 2017","Permissive, according to EU law (Recitals 10 & 15 Directive 2009/24/EC)","Copylefted, with an explicit compatibility list[22]","Copylefted, with an explicit compatibility list[22]","Yes[23]","Yes[23]","Copylefted, with an explicit compatibility list[22]","No[23]"
"FreeBSD , URL: /wiki/FreeBSD
","FreeBSD , URL: /wiki/FreeBSD
","N/A","1999April 1999","Permissive[24]","Permissive[24]","Permissive[24]","Manually[24]","Permissive[24]","Permissive[24]","Manually[24]"
"GNU Affero General Public License , URL: /wiki/GNU_Affero_General_Public_License
","Free Software Foundation , URL: /wiki/Free_Software_Foundation
","3.0","2007","GNU GPLv3 only[25]","Copylefted[26]","Copylefted[26]","Yes[27]","No network usage[27]","Copylefted[26]","Yes[27]"
"GNU General Public License , URL: /wiki/GNU_General_Public_License
","Free Software Foundation","3.0","2007June 2007","GPLv3 compatible only[28][29]","Copylefted[26]","Copylefted[26]","Yes[30]","Yes[30]","Copylefted[26]","Yes[30]"
"GNU Lesser General Public License , URL: /wiki/GNU_Lesser_General_Public_License
","Free Software Foundation","3.0","2007June 2007","With restrictions[31]","Copylefted[26]","Copylefted[26]","Yes[32]","Yes","Copylefted[26]","Yes[32]"
"IBM Public License , URL: /wiki/IBM_Public_License
","IBM","1.0","1999August 1999","Copylefted","?","Copylefted","?","?","?","?"
"ISC license , URL: /wiki/ISC_license
","Internet Systems Consortium , URL: /wiki/Internet_Systems_Consortium
","N/A","2003June 2003","Permissive","Permissive","Permissive","Manually","Permissive","Permissive","Manually"
