"DDC , URL: /wiki/Dewey_Decimal_Classification
","LCC , URL: /wiki/Library_of_Congress_Classification
","Description"
"000","QA71-90","Computer science, knowledge and general works"
"001","A","knowledge"
"002","Z4-659","The book"
"003","","Systems"
"004","QA(subrange)","Data processing & computer science"
"005","QA(subrange)","Computer programming, programs & data"
"006","QA(subrange)","Special computer methods"
"010","Z1001–8999","Bibliography"
"020","Z665–718.8","Library & information sciences"
"030","AE","General encyclopedic works"
"050","AI","General serials & their indexes"
"060","AM111–160","General organization & museology"
"070","AN","News media"
"070","PN4699–5650","Journalism"
"070","Z278–549","Publishing"
"080","AC","General collections"
"090","Z105–115.5","Manuscripts"
"090","Z1019–1033","Rare books"
"100","B","Psychology , URL: /wiki/Psychology
Philosophy , URL: /wiki/Philosophy
"
"111","BD300–450","Ontology , URL: /wiki/Ontology
"
"115","BD493–701","Time , URL: /wiki/Time
"
"120","BD143–237","Epistemology , URL: /wiki/Epistemology
"
"120","BD?","Causation , URL: /wiki/Causality
"
"120","BD?","Humankind , URL: /wiki/Humankind
"
"124","BD493–701","Teleology , URL: /wiki/Teleology
"
"130","BF1404–2055","Paranormal phenomena , URL: /wiki/Paranormal_phenomena
"
"150","BF","Psychology , URL: /wiki/Psychology
"
"152","HM1041–1101","Perception , URL: /wiki/Perception
"
"152","QH?","Movement , URL: /wiki/Motion_(physics)
"
"152","BF511–593","Emotions , URL: /wiki/Emotions
"
"155","BF712–724","Developmental psychology , URL: /wiki/Developmental_psychology
"
"160","BC","Logic"
"170","BJ","Ethics , URL: /wiki/Ethics
"
"180","B108–708","philosophy , URL: /wiki/Philosophy
"
"181","B850–5739","Oriental philosophy , URL: /wiki/Oriental_philosophy
"
"182","B108–708","Ancient philosophy , URL: /wiki/Ancient_philosophy
"
"183","B108–708","Sophists , URL: /wiki/Sophists
Socratic , URL: /wiki/Socratic_method
"
"185","B108–708","Aristotelian philosophy , URL: /wiki/Aristotelian_philosophy
"
"186","B108–708","Skeptic , URL: /wiki/Skeptic
Neoplatonic , URL: /wiki/Neoplatonic
"
"187","B108–708","Epicurean , URL: /wiki/Epicurean
"
"188","B108–708","Stoic philosophy , URL: /wiki/Stoic_philosophy
"
"189","B720–765","Medieval Western philosophy , URL: /wiki/Medieval_philosophy
"
"190","B790–5802","Western philosophy , URL: /wiki/Western_philosophy
"
"200","BL","Religion , URL: /wiki/Religion
"
"210","BL175–265","Natural theology"
"212","BL205–216","Nature of God , URL: /wiki/Nature_of_God
"
"220","BS","Bible , URL: /wiki/Bible
"
"221","BS701–1830","Old Testament , URL: /wiki/Old_Testament
"
"225","BS1901–2970","New Testament , URL: /wiki/New_Testament
"
"226","BS2547–2970?","Gospels , URL: /wiki/Gospels
Acts of the Apostles , URL: /wiki/Acts_of_the_Apostles
"
"227","BS2640–2765.6","Epistles , URL: /wiki/Epistles
"
"228","BS2547–2970?","Revelation , URL: /wiki/Revelation
"
"229","BS2547–2970?","Apocrypha , URL: /wiki/Apocrypha
"
"230","BR","Christian theology , URL: /wiki/Christian_theology
"
"232","BT198–590","Jesus , URL: /wiki/Jesus
"
"236","BT819–891","Eschatology , URL: /wiki/Eschatology
"
"250","BR?","Christian orders , URL: /wiki/Christian_orders
"
"260","BR?","Christian social theology"
"270","BR140–1510","Christian church history"
"280","BX?","List of Christian denominations , URL: /wiki/List_of_Christian_denominations
"
"282","BX800–4795","Roman Catholic Church , URL: /wiki/Roman_Catholic_Church
"
"283","BX5001–6093","Anglican , URL: /wiki/Anglican
Episcopal , URL: /wiki/Anglican_Communion
"
"284","BX?","Protestants , URL: /wiki/Protestants
"
"286","BX6201–6495, BX7301–7343, BX6101–6193","Baptist , URL: /wiki/Baptist
Disciples of Christ , URL: /wiki/Disciples_of_Christ
Adventist , URL: /wiki/Adventism
"
"287","BX8201–8495","Methodist , URL: /wiki/Methodist
"
"289","BX7601–7795, BX7801–7843, BX8101–8144, BX 8799–8809, BX9751–9793, BX9998","Other denominations and sects"
"290","BL660–2680","Non-Christian religion"
"292","BL700–820","Greek mythology , URL: /wiki/Greek_mythology
Roman mythology , URL: /wiki/Roman_mythology
"
"295","BL1500–1590","Zoroastrianism , URL: /wiki/Zoroastrianism
"
"296","BM","Judaism , URL: /wiki/Judaism
"
"297","BP","Islam , URL: /wiki/Islam
Bábísm , URL: /wiki/B%C3%A1b%C3%ADs
Baháʼí Faith , URL: /wiki/Bah%C3%A1%CA%BC%C3%AD_Faith
"
"300","H","Social sciences , URL: /wiki/Social_sciences
"
"301","HM","Sociology , URL: /wiki/Sociology
"
"301","GN","Anthropology , URL: /wiki/Anthropology
"
"310","HA154–473","General statistics (of parts of the world)"
"320","J","Political science , URL: /wiki/Political_science
"
"327","JZ","International relations"
"330","HB","Economics , URL: /wiki/Economics
"
"331","HD4801–8943","Labor economics , URL: /wiki/Labor_economics
"
"332","HG","Financial economics , URL: /wiki/Financial_economics
"
"333","HD101–1399","Economics of land"
"333","HD9502","Economics of energy"
"336","HJ","Public finance , URL: /wiki/Public_finance
"
"339","HB?","Macroeconomics , URL: /wiki/Macroeconomics
"
"340","K , URL: /wiki/Library_of_Congress_Classification:Class_K_--_Law
","Law , URL: /wiki/Law
"
"341","KZ , URL: /wiki/Library_of_Congress_Classification:Class_K_--_Law
","International law , URL: /wiki/International_law
"
"345","K5000–5582 , URL: /wiki/Library_of_Congress_Classification:Class_K_--_Law
","Criminal law , URL: /wiki/Criminal_law
"
"346","KB479 , URL: /wiki/Library_of_Congress_Classification:Class_K_--_Law
","Private law , URL: /wiki/Private_law
"
"347","K2201–2385 , URL: /wiki/Library_of_Congress_Classification:Class_K_--_Law
","Civil procedure , URL: /wiki/Civil_procedure
"
"347","K2100–2385","Courts , URL: /wiki/Courts
"
"350","JF","Public administration , URL: /wiki/Public_administration
"
"352","JS","City government , URL: /wiki/City_government
"
"353","JK1–9593","U.S. federal government"
"353","JK2403–9593","U.S. state governments"
"355","U","Military Science , URL: /wiki/Military_Science
"
"360","H","Social services , URL: /wiki/Social_services
"
"361","HN","General social problems & services"
"362","HN","Social welfare problems & services"
"363","HN","Other social problems & services"
"364","HV6001–7220","Criminology"
"365","HV8301–9920","Penal & related institutions"
"366","HS","Association"
"367","HS","General clubs"
"368","K1960–1973","(Social) Insurance"
"370","L","Education , URL: /wiki/Education
"
"371","LB3011–3095","School management"
"371","LC3950–4806.5","Special education"
"372","LB1501–1602","Elementary education"
"373","LB1603–1699","Secondary education"
"374","LC5201–6661","Adult education"
"376","LC1401–2572","Education of women"
"377","LC321–951","Schools & religion"
"378","LB2300–2430","Higher education"
"380","HF","Commerce , URL: /wiki/Commerce
communications , URL: /wiki/Transport
transport , URL: /wiki/Transport
"
"382","HF1","International commerce , URL: /wiki/International_commerce
Foreign trade , URL: /wiki/Foreign_trade
"
"383","HE6000–7500","Postal , URL: /wiki/Mail
"
"384","HE","Communications , URL: /wiki/Communication
"
"384","HE7601–8700.9","Telecommunication , URL: /wiki/Telecommunication
"
"385","HE1001–5600","Railways , URL: /wiki/Railways
"
"386","HE380–560","Inland waterway , URL: /wiki/Canal
"
"386","HE5751–5870","Ferry , URL: /wiki/Ferry
transportation , URL: /wiki/Transport
"
"387","HE380–971","Water transportation"
"387","HE9761–9900","Air transportation"
"387","TL787–4050","Space transportation"
"388","HE","Transport , URL: /wiki/Transport
"
"390","GT","Customs"
"390","BJ1801–2195","Etiquette"
"390","GR","Folklore"
"391","GT500–2370","Costume , URL: /wiki/Costume
"
"392","GT2400–3390.5","Customs , URL: /wiki/Customs
life cycle , URL: /wiki/Rite_of_passage
private life , URL: /wiki/Private_sphere
"
"393","GT2400–3390.5","Death , URL: /wiki/Death
"
"395","BJ1801–2195","Etiquette , URL: /wiki/Etiquette
"
"398","GR","Folklore , URL: /wiki/Folklore
"
"400","P","Language , URL: /wiki/Language
"
