"Editor","JPEG , URL: /wiki/JPEG
","GIF , URL: /wiki/Graphics_Interchange_Format
","PNG , URL: /wiki/Portable_Network_Graphics
","TIFF , URL: /wiki/Tagged_Image_File_Format
","SVG , URL: /wiki/Scalable_Vector_Graphics
"
"Amaya , URL: /wiki/Amaya_(web_browser)
","Yes","Yes","Yes","Yes","Yes"
"Aptana , URL: /wiki/Aptana
","Yes","Yes","Yes","Yes","Depends"
"Arachnophilia , URL: /wiki/Arachnophilia
","?","?","?","?","?"
"Bluefish , URL: /wiki/Bluefish_(text_editor)
","Yes","Yes","Yes","Yes","Yes"
"BlueGriffon , URL: /wiki/BlueGriffon
","Yes","Yes","Yes","No","Yes"
"Brackets , URL: /wiki/Adobe_Brackets
","Yes","Yes","Yes","No","Yes (via extension)[18]"
"Claris Homepage , URL: /wiki/Claris_Homepage
","Yes","Yes","No","No","No"
"Codelobster , URL: /wiki/Codelobster
","Yes","Yes","Yes","No","No"
"CoffeeCup HTML Editor , URL: /wiki/CoffeeCup_HTML_Editor
","Yes","Yes","Yes","Yes","No"
"Dreamweaver , URL: /wiki/Dreamweaver
","Yes","Yes","Yes","Yes","Yes"
"Freeway , URL: /wiki/Freeway_(software)
","Yes","Yes","Yes","Yes","Yes"
"GoLive , URL: /wiki/Adobe_GoLive
","Yes","Yes","Yes","No","Yes"
"KompoZer , URL: /wiki/KompoZer
","Yes","Yes","Yes","No","No"
"Maqetta , URL: /wiki/Maqetta
","?","?","?","?","?"
"Microsoft Expression Web , URL: /wiki/Microsoft_Expression_Web
","Yes","Yes","Yes","Yes","No"
"Microsoft FrontPage , URL: /wiki/Microsoft_FrontPage
","Yes","Yes","Yes","?","Depends"
"Microsoft SharePoint Designer , URL: /wiki/Microsoft_SharePoint_Designer
","Yes","Yes","Yes","Yes","No"
"Microsoft Visual Web Developer , URL: /wiki/Microsoft_Visual_Web_Developer
","Yes","Yes","Yes","Yes","No"
"Mobirise , URL: /wiki/Mobirise
","Yes","Yes","Yes","Yes","Yes"
"Nvu , URL: /wiki/Nvu
","Yes","Yes","Yes","No","No"
"openElement , URL: /wiki/OpenElement
","Yes","Yes","Yes","No","No"
"OpenOffice.org , URL: /wiki/OpenOffice.org
","Yes","Yes","Yes","Yes","Yes"
"oXygenXML Editor , URL: /wiki/Oxygen_XML_Editor
","Yes","Yes","Yes","Yes","Yes"
"Quanta Plus , URL: /wiki/Quanta_Plus
","Yes","Yes","Yes","Yes","Yes"
"RocketCake , URL: /wiki/RocketCake
","Yes","Yes","Yes","No","No"
"SeaMonkey , URL: /wiki/SeaMonkey
","Yes","Yes","Yes","No","Yes"
"TOWeb , URL: /wiki/TOWeb
","Yes","Yes","Yes","No","No"
"Web Architect","Yes","Yes","Yes","Yes","Depends"
"WebStorm , URL: /wiki/WebStorm
","Yes","Yes","Yes","No","No"
"Editor","JPEG , URL: /wiki/JPEG
","GIF , URL: /wiki/Graphics_Interchange_Format
","PNG , URL: /wiki/Portable_Network_Graphics
","TIFF , URL: /wiki/Tagged_Image_File_Format
","SVG , URL: /wiki/Scalable_Vector_Graphics
"
