"Launch system","Launch system","Country of origin","Class and type","Payload capacity","Payload capacity","Payload capacity","Maiden flight","Manufacturer","Status","Ref"
"Launch system","Launch system","Country of origin","Class and type","LEO , URL: /wiki/Low_Earth_orbit
","GTO , URL: /wiki/Geostationary_Transfer_Orbit
","Other","Maiden flight","Manufacturer","Status","Ref"
"Al-Abid , URL: /wiki/Al-Abid
","Al-Abid , URL: /wiki/Al-Abid
","Iraq , URL: /wiki/Iraq
","Small lift , URL: /wiki/Small-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","100 kg (220 lb) to 300 kg (660 lb) (200 km (120 mi) to 500 km (310 mi)","N/A","","1989","Space Research Center, Baghdad","Abandoned","[100]"
"Augmented Satellite Launch Vehicle , URL: /wiki/Augmented_Satellite_Launch_Vehicle
","Augmented Satellite Launch Vehicle , URL: /wiki/Augmented_Satellite_Launch_Vehicle
","India , URL: /wiki/India
","Small lift , URL: /wiki/Small-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","150 kg (330 lb) (400 km (250 mi))","N/A","","1987","ISRO , URL: /wiki/ISRO
","Retired","[101]"
"Epsilon , URL: /wiki/Epsilon_(rocket)
","Epsilon , URL: /wiki/Epsilon_(rocket)
","Japan , URL: /wiki/Japan
","Small lift , URL: /wiki/Small-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","1,500 kg (3,300 lb) (250 km (160 mi)x500 km (310 mi)) 700 kg (1,500 lb) (500 km (310 mi))","","SSO , URL: /wiki/Sun-synchronous_orbit
","2013","JAXA , URL: /wiki/JAXA
IHI , URL: /wiki/IHI_Corporation
","In service","[102]"
"Feng Bao 1 , URL: /wiki/Feng_Bao_1
","Feng Bao 1 , URL: /wiki/Feng_Bao_1
","China , URL: /wiki/China
","Medium lift , URL: /wiki/Medium-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","2,500 kg (5,500 lb)","","","1972","Shanghai Bureau No.2 , URL: /wiki/Shanghai_Academy_of_Spaceflight_Technology
","Retired","[103]"
"Geosynchronous Satellite Launch Vehicle , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle
","GSLV Mk I","India , URL: /wiki/India
","Medium lift , URL: /wiki/Medium-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","5,000 kg (11,000 lb)","2,150 kg (4,740 lb)","","2001","ISRO , URL: /wiki/ISRO
","Retired","[104]"
"Geosynchronous Satellite Launch Vehicle , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle
","GSLV Mk II","India , URL: /wiki/India
","Medium lift , URL: /wiki/Medium-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","5,000 kg (11,000 lb)","2,700 kg (6,000 lb)","","2010","ISRO , URL: /wiki/ISRO
","In service","[104]"
"Geosynchronous Satellite Launch Vehicle Mark III , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
","Geosynchronous Satellite Launch Vehicle Mark III , URL: /wiki/Geosynchronous_Satellite_Launch_Vehicle_Mark_III
","India , URL: /wiki/India
","Medium lift , URL: /wiki/Medium-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","10,000 kg (22,000 lb)","4,000 kg (8,800 lb)","","2014 (Suborbital) 2017 (Orbital)","ISRO , URL: /wiki/ISRO
","In service","[105]"
"GX , URL: /wiki/GX_(rocket)
","GX , URL: /wiki/GX_(rocket)
","Japan , URL: /wiki/Japan
United States , URL: /wiki/United_States
","Medium lift , URL: /wiki/Medium-lift_launch_vehicle
expendable launch vehicle , URL: /wiki/Expendable_launch_system
","3,600 kg (7,900 lb)","","SSO , URL: /wiki/Sun-synchronous_orbit
","N/A","JAXA , URL: /wiki/JAXA
ULA , URL: /wiki/United_Launch_Alliance
IHI , URL: /wiki/IHI_Corporation
","Cancelled","[106]"
