"Name","English","Afrikaans","Danish","Dutch","French","German","Italian","Norwegian","Polish","Portuguese","Russian","Spanish","Swedish"
"Agelong Tree[a]","Yes","No[b]","No[b]","Yes","Yes","Yes","Yes","No[b]","Yes","?","Yes","Yes","No[b]"
"Ahnenblatt , URL: /wiki/Ahnenblatt
","Yes","No[b]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Ancestral Quest , URL: /wiki/Ancestral_Quest
","Yes","No[b]","Yes","No[b]","Yes","Yes","No[b]","Yes","Partial","?","No","Yes","Yes"
"Ancestris[e]","Yes","No[b]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No[b]","Yes","Yes"
"Brother's Keeper , URL: /wiki/Brother%27s_Keeper_(software)
","Yes","Yes","Yes","Yes","Yes","Yes","No[b]","Yes","Yes","?","Yes","No[b]","Yes"
"Family Historian , URL: /wiki/Family_Historian
","Yes","No","No","No","No","No","No","No","No","?","No","No","No"
"Family Tree Builder , URL: /wiki/MyHeritage#Family_Tree_Builder
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Family Tree Maker , URL: /wiki/Family_Tree_Maker
","Yes","No","Yes","No","No","No","No","No","No","?","No","No","No"
"Family Tree Maker , URL: /wiki/Family_Tree_Maker
","Yes","No","No","No","No","No","No","No","No","?","No","No","No"
"GEDitCOM II , URL: /wiki/GEDitCOM
","Yes","No","No","No","Yes","No","No","No","No","?","No","Yes","Yes"
"Genbox Family History , URL: /wiki/Genbox_Family_History
","Yes","No","Yes","Yes","Yes","Yes","Yes","Partial","Yes","?","Yes","Partial","Partial"
"GenealogyJ , URL: /wiki/GenealogyJ
","Yes","No","No","Yes","Yes","Yes","No","No","Yes","?","Yes","Yes","No"
"GenoPro , URL: /wiki/GenoPro
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Yes","Yes","Yes"
"Gramps , URL: /wiki/Gramps_(software)
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Heredis , URL: /w/index.php?title=Heredis&action=edit&redlink=1
","Yes","No","No","No","Yes","Yes","No","No","No","?","No","No","No"
"Legacy Family Tree , URL: /wiki/Legacy_Family_Tree
","Yes[j]","Yes","Yes","Yes","Yes","Yes","Yes","Yes[k]","No","?","No","public test","Yes"
"LifeLines , URL: /wiki/LifeLines
","Yes","No","Yes","No","Yes","Yes","No","No","No","?","No","No","Yes"
"MacFamilyTree , URL: /wiki/MacFamilyTree
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Personal Ancestral File , URL: /wiki/Personal_Ancestral_File
","(v4.x/5.x)","No","No","No","(v4.x)","(v4.x/5.x)","No","No","No","?","No","(v4.x)","(v5.x)"
"Reunion , URL: /wiki/Reunion_(genealogy_software)
","Yes","No","No","Yes[l]","Yes[l]","Yes[l]","No","Yes[l]","No","?","No","No","No"
"RootsMagic , URL: /wiki/RootsMagic
","Yes","No","No","No","No","No","No","No","No","?","No","No","No"
"The Master Genealogist , URL: /wiki/The_Master_Genealogist
","Yes[n]","Yes","Yes","Yes","Yes","Yes","Partial","Yes","No[g]","?","No","No[g]","Yes"
