"","Real","Complex","SPD","HPD","SY","HE","BND","TF","OF","EVP","SVD","GEVP","GSVD"
"ALGLIB , URL: /wiki/ALGLIB
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No"
"ATLAS , URL: /wiki/Automatically_Tuned_Linear_Algebra_Software
","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
"Dlib , URL: /wiki/Dlib
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"GNU Scientific Library , URL: /wiki/GNU_Scientific_Library
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"ILNumerics.Net , URL: /wiki/ILNumerics.Net
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"IMSL Numerical Libraries , URL: /wiki/IMSL_Numerical_Libraries
","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
"LAPACK , URL: /wiki/LAPACK
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MKL , URL: /wiki/Math_Kernel_Library
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NAG Numerical Library , URL: /wiki/NAG_Numerical_Library
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NMath , URL: /wiki/NMath
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"SciPy , URL: /wiki/SciPy
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No"
"Eigen , URL: /wiki/Eigen_(C%2B%2B_library)
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Armadillo , URL: /wiki/Armadillo_(C%2B%2B_library)
","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
