"Driver","802.11 , URL: /wiki/802.11
","Bus interface","WEP , URL: /wiki/Wired_Equivalent_Privacy
","WPA , URL: /wiki/Wi-Fi_Protected_Access
","WPA2 , URL: /wiki/Wi-Fi_Protected_Access
","Monitor mode , URL: /wiki/Monitor_mode
","Master mode","Ad-Hoc mode"
"acx , URL: https://man.openbsd.org/acx.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","No","No","Yes","Yes","Yes"
"an , URL: https://man.openbsd.org/an.4
","802.11b , URL: /wiki/802.11b
","PC Card , URL: /wiki/PC_Card
PCI , URL: /wiki/Peripheral_Component_Interconnect
ISA , URL: /wiki/Industry_Standard_Architecture
","Yes","No","No","Yes","No","Yes"
"ath , URL: https://man.openbsd.org/ath.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","Yes","Yes","Yes","Yes","Yes"
"athn , URL: https://man.openbsd.org/athn.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
802.11n , URL: /wiki/802.11n
","Cardbus , URL: /wiki/Cardbus
PCI-E , URL: /wiki/Peripheral_Component_Interconnect_Express
Mini PCIE , URL: /wiki/Mini_PCIE
","Yes","Yes","Yes","Yes","Yes","No"
"atu , URL: https://man.openbsd.org/atu.4
","802.11b , URL: /wiki/802.11b
","USB , URL: /wiki/USB
","Yes","No","No","No","No","Yes"
"atw , URL: https://man.openbsd.org/atw.4
","802.11b , URL: /wiki/802.11b
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
","No","No","No","No","No","Yes"
"bwi , URL: https://man.openbsd.org/bwi.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Cardbus , URL: /wiki/Cardbus
PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","Yes","Yes","Yes","No","No"
"cnw , URL: https://man.openbsd.org/OpenBSD-6.0/cnw.4
","N/A","PC Card , URL: /wiki/PC_Card
","No","No","No","No","No","No"
"ipw , URL: https://man.openbsd.org/ipw.4
","802.11b , URL: /wiki/802.11b
","PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","Yes","Yes","Yes","No","Yes"
"iwi , URL: https://man.openbsd.org/iwi.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","Yes","Yes","Yes","No","Yes"
"iwn , URL: https://man.openbsd.org/iwn.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
802.11n , URL: /wiki/802.11n
","PCI-E , URL: /wiki/Peripheral_Component_Interconnect_Express
Mini PCIE , URL: /wiki/Mini_PCIE
","Yes","Yes","Yes","Yes","No","No"
"iwm , URL: https://man.openbsd.org/iwm.4
","802.11a , URL: /wiki/802.11a
802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
802.11n , URL: /wiki/802.11n
","PCI-E , URL: /wiki/Peripheral_Component_Interconnect_Express
Mini PCIE , URL: /wiki/Mini_PCIE
","Yes","Yes","Yes","Yes","No","No"
"malo , URL: https://man.openbsd.org/malo.4
","802.11b , URL: /wiki/802.11b
802.11g , URL: /wiki/802.11g
","Cardbus , URL: /wiki/Cardbus
PC Card , URL: /wiki/PC_Card
PCI , URL: /wiki/Peripheral_Component_Interconnect
","Yes","Yes","Yes","Yes","No","No"
