"Client","Pop-up","Tray notification","Browser plugin","E-mail , URL: /wiki/E-mail
","""newspaper""-like","Media aggregator","Notes","Downloadable attachments"
"Akregator , URL: /wiki/Akregator
","Yes","Yes","konqueror , URL: /wiki/Konqueror
","Yes","?","Yes","KDE , URL: /wiki/KDE
","?"
"Amarok , URL: /wiki/Amarok_(software)
","?","?","?","?","?","Yes","KDE , URL: /wiki/KDE
","?"
"AOL Explorer , URL: /wiki/AOL_Explorer
","?","?","N/A","?","?","?","Internet Explorer 7 , URL: /wiki/Internet_Explorer_7
","?"
"Avant , URL: /wiki/Avant_Browser
","?","?","N/A","?","?","?","Feed support is available in Internet Explorer 7","?"
"Awasu , URL: /wiki/Awasu
","Yes","Yes","N/A","Yes","Yes","Yes","Supports user-written plugins.","Yes"
"BlogBridge , URL: /wiki/BlogBridge
","?","?","?","?","?","?","","?"
"Canto , URL: /wiki/Canto_(news_aggregator)
","?","?","?","?","?","?","Ncurses , URL: /wiki/Ncurses
","?"
"Claws Mail , URL: /wiki/Claws_Mail
","Yes","Yes","Yes","Yes","?","?","RSSyl plugin needed","?"
"CommaFeed , URL: /wiki/CommaFeed
","?","?","Yes","?","Yes","?","Web browser","?"
"Cooliris , URL: /wiki/Cooliris_(plugin)
","?","?","Yes","?","?","?","Web browser plugin","?"
"Feed Viewer , URL: /wiki/Feed_Viewer
","No","No","N/A","No","Yes","Yes","","No"
"FeedDemon , URL: /wiki/FeedDemon
","?","Yes","?","?","Yes","?","Discontinued","?"
"Feedreader , URL: /wiki/Feedreader_(Windows_Application)
","Yes","No","No","?","Yes","?","","?"
"Flock , URL: /wiki/Flock_(web_browser)
","?","?","N/A","?","?","Yes","Discontinued","?"
"Gnus , URL: /wiki/Gnus
","Add-on","?","?","Yes","?","?","Emacs , URL: /wiki/Emacs
","?"
"IBM Lotus Notes , URL: /wiki/IBM_Lotus_Notes
","?","?","?","?","?","?","IBM Lotus Notes , URL: /wiki/IBM_Lotus_Notes
","?"
"Internet Explorer , URL: /wiki/Internet_Explorer
","?","?","N/A","?","Yes","?","Internet Explorer 7 , URL: /wiki/Internet_Explorer_7
","?"
"iTunes , URL: /wiki/ITunes
","?","?","?","?","?","Yes","","?"
"Juice , URL: /wiki/Juice_(aggregator)
","?","?","?","?","?","Yes","Podcast , URL: /wiki/Podcast
","?"
"K-Meleon , URL: /wiki/K-Meleon
","?","?","?","?","?","?","Web browser","?"
"Kazehakase , URL: /wiki/Kazehakase
","?","?","N/A","?","?","?","Web browser","?"
"Liferea , URL: /wiki/Liferea
","Yes","Yes","?","?","?","?","","?"
"Mail (OS X) , URL: /wiki/Mail_(OS_X)
","?","?","?","Yes","?","?","","?"
"Maxthon , URL: /wiki/Maxthon
","?","?","N/A","?","?","?","Web browser","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","?","?","?","?","?","Yes","Media Player","?"
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","?","?","?","?","?","?","Microsoft Office Outlook 2007 , URL: /wiki/Microsoft_Office_2007#Microsoft_Office_Outlook
","?"
"Miro , URL: /wiki/Miro_(software)
","?","?","?","?","?","Yes","Media Player","?"
"Mozilla Firefox , URL: /wiki/Mozilla_Firefox
","Add-on","Add-on","N/A","?","?","?","Web Browser","?"
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","?","Add-on","?","Yes","No","?","Mail Client","?"
"NetNewsWire , URL: /wiki/NetNewsWire
","?","?","?","?","?","?","","?"
"Netscape Browser , URL: /wiki/Netscape_Browser
","?","?","N/A","?","?","?","Discontinued; Web browser","?"
"Netscape Navigator 9 , URL: /wiki/Netscape_Navigator_9
","Yes","?","N/A","?","?","?","Discontinued","?"
"NewsBlur , URL: /wiki/NewsBlur
","?","?","?","?","?","?","","?"
"NewsFire , URL: /wiki/NewsFire
","?","?","?","?","?","?","","?"
"OmniWeb , URL: /wiki/OmniWeb
","?","?","?","?","?","?","OmniWeb , URL: /wiki/OmniWeb
","?"
"Opera Mail , URL: /wiki/Opera_Mail
","Yes","Yes","No","Yes","No","?","","Yes"
"Pegasus Mail , URL: /wiki/Pegasus_Mail
","?","?","?","Yes","?","?","Pegasus Mail can convert RSS feeds to e-mails via free add-ons","?"
"Rhythmbox , URL: /wiki/Rhythmbox
","?","?","?","?","?","?","Media Player","?"
"RSS Bandit , URL: /wiki/RSS_Bandit
","?","?","?","?","?","?",".NET Framework , URL: /wiki/.NET_Framework
","?"
"RSS Guard , URL: /wiki/RSS_Guard
","No","Yes","No","Yes","Yes","Yes","Tiny Tiny RSS , URL: /wiki/Tiny_Tiny_RSS
Inoreader , URL: /wiki/Inoreader
","Yes"
"RSSOwl , URL: /wiki/RSSOwl
","Yes","Yes","No","No","Yes","Yes","no longer support for Google Reader synchronization since version 2.2.0","Yes"
"Safari , URL: /wiki/Safari_(web_browser)
","?","?","N/A","?","Yes","?","Web Browser","?"
"Sage , URL: /wiki/Sage_(Mozilla_Firefox_extension)
","?","?","?","?","Yes","?","Firefox extension , URL: /wiki/Firefox_extension
","?"
"SeaMonkey , URL: /wiki/SeaMonkey
","?","?","N/A","Yes","?","?","SeaMonkey , URL: /wiki/SeaMonkey
Internet suite , URL: /wiki/Internet_suite
","?"
"Songbird , URL: /wiki/Songbird_(software)
","?","?","?","?","?","Yes","Media Player","?"
"Shiira , URL: /wiki/Shiira
","?","?","N/A","?","?","?","Web browser","?"
"Sleipnir , URL: /wiki/Sleipnir_(web_browser)
","?","?","N/A","?","?","?","Internet Explorer 7 , URL: /wiki/Internet_Explorer_7
","?"
"The Bat! , URL: /wiki/The_Bat!
","?","?","?","Yes","No","No","Mail client; rss2mail or rss2pop3 plugin needed for versions prior to 6.4; newer versions support RSS natively","?"
"The Old Reader , URL: /wiki/The_Old_Reader
","?","?","Yes","?","?","?","","?"
"Winamp , URL: /wiki/Winamp
","No","?","No","No","No","Yes","Media Player","?"
"Windows Live Mail , URL: /wiki/Windows_Live_Mail
","?","?","?","Yes","?","?","","?"
"Zimbra , URL: /wiki/Zimbra
","?","?","?","?","?","?","Groupware , URL: /wiki/Groupware
","?"
"Zune , URL: /wiki/Zune#Zune_software
","?","?","?","?","?","Yes","Media player","?"
"Client","Pop-up","Tray notification","Browser plugin","E-mail , URL: /wiki/E-mail
","""newspaper""-like","Media aggregator","Notes","Downloadable attachments"
