"OLAP server","Issue Tracking System","Roadmap","Source code"
"Apache Druid , URL: /wiki/Apache_Druid
","Druid – Github Issues , URL: https://github.com/druid-io/druid/issues
","","Open"
"Apache Kylin , URL: /wiki/Apache_Kylin
","Jira , URL: https://issues.apache.org/jira/projects/KYLIN/issues
","Apache Kylin Roadmap , URL: http://kylin.apache.org/development/
","Open"
"Apache Pinot , URL: /wiki/Apache_Pinot
","Apache Pinot – Github Issues , URL: https://github.com/apache/incubator-pinot/issues
","","Open"
"ClickHouse , URL: /wiki/ClickHouse
","ClickHouse – Github Issues , URL: https://github.com/ClickHouse/ClickHouse/issues
","ClickHouse Roadmap , URL: https://clickhouse.tech/docs/en/whats-new/roadmap/
","Open"
"Essbase , URL: /wiki/Essbase
","myOracle Support , URL: http://support.oracle.com
","[6] , URL: https://web.archive.org/web/20100705081200/http://communities.ioug.org/Portals/2/Oracle_Essbase_Roadmap_Sep_09.pdf
","Closed"
"IBM Cognos TM1 , URL: /wiki/IBM_Cognos_TM1
","IBM Service Request , URL: http://ibm.com/support/servicerequest/
","","Closed"
"icCube , URL: /wiki/IcCube
","YouTrack , URL: http://issues.iccube.com/
","","Closed"
"Jedox OLAP Server , URL: /wiki/Jedox
","Mantis , URL: https://web.archive.org/web/20110812224712/http://bugs.palo.net/mantis/main_page.php
","Available upon request","Open"
"Kyvos , URL: /wiki/Kyvos
","Zendesk","Available upon request","Closed"
"Microsoft Analysis Services , URL: /wiki/Microsoft_Analysis_Services
","Connect , URL: https://connect.microsoft.com/SQLServer
","-","Closed"
"MicroStrategy Intelligence Server , URL: /wiki/MicroStrategy
","MicroStrategy Resource Center , URL: https://resource.microstrategy.com/Support/MainSearch.aspx
","-","Closed"
"Mondrian OLAP server , URL: /wiki/Mondrian_OLAP_server
","Jira , URL: http://jira.pentaho.com/browse/MONDRIAN
","[7] , URL: http://mondrian.pentaho.org/documentation/roadmap.php
","Open"
"Oracle Database OLAP Option , URL: /wiki/Oracle_OLAP
","myOracle Support , URL: http://support.oracle.com
","","Closed"
"SAP NetWeaver BW , URL: /wiki/SAP_NetWeaver_Business_Intelligence
","OSS , URL: http://service.sap.com/
","[8] , URL: https://web.archive.org/web/20110716004633/http://esworkplace.sap.com/socoview(bD1lbiZjPTAwMSZkPW1pbg==)/render.asp?id=2270EAD629814D05A7ECECECECC8D002&fragID=&packageid=DEE98D07DF9FA9F1B3C7001A64D3F462
","Closed"
"SAS OLAP Server , URL: /wiki/SAS_System
","Support , URL: http://support.sas.com/forums/index.jspa
","","Closed"
