"Format","Languages"
"string_in_string(string, loc int, substring)","ALGOL 68 , URL: /wiki/ALGOL_68
"
"ContainsStr(string, substring)","Object Pascal , URL: /wiki/Object_Pascal
Delphi , URL: /wiki/Delphi_(programming_language)
"
"strstr(string, substring) != NULL","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
"
"string.Contains(substring)","C# , URL: /wiki/C_Sharp_(programming_language)
VB .NET , URL: /wiki/Visual_Basic_.NET
Windows PowerShell , URL: /wiki/Windows_PowerShell
F# , URL: /wiki/F_Sharp_(programming_language)
"
"string.contains(substring)","Cobra , URL: /wiki/Cobra_(programming_language)
Java , URL: /wiki/Java_(programming_language)
Raku , URL: /wiki/Raku_(programming_language)
Rust , URL: /wiki/Rust_(programming_language)
C++ , URL: /wiki/C%2B%2B
C++23 , URL: /wiki/C%2B%2B23
"
"string.indexOf(substring) >= 0","JavaScript , URL: /wiki/JavaScript
"
"strpos(string, substring) !== false","PHP , URL: /wiki/PHP
"
"str_contains(string, substring)","PHP , URL: /wiki/PHP
"
"pos(string, substring) <> 0","Seed7 , URL: /wiki/Seed7
"
"substring in string","Cobra , URL: /wiki/Cobra_(programming_language)
Python , URL: /wiki/Python_(programming_language)
"
"string.find(string, substring) ~= nil","Lua , URL: /wiki/Lua_(programming_language)
"
"string.include?(substring)","Ruby , URL: /wiki/Ruby_(programming_language)
"
"Data.List.isInfixOf substring string","Haskell , URL: /wiki/Haskell_(programming_language)
"
"string includesSubstring: substring","Smalltalk , URL: /wiki/Smalltalk
Squeak , URL: /wiki/Squeak
Pharo , URL: /wiki/Pharo
Smalltalk/X , URL: /w/index.php?title=Smalltalk/X&action=edit&redlink=1
"
"String.isSubstring substring string","Standard ML , URL: /wiki/Standard_ML
"
"(search substring string)","Common Lisp , URL: /wiki/Common_Lisp
"
"(not (null (string-index substring string)))","ISLISP , URL: /wiki/ISLISP
"
"(substring? substring string)","Clojure , URL: /wiki/Clojure
"
"! StringFreeQ[string, substring]","Mathematica , URL: /wiki/Mathematica
"
"index(string, substring, startpos)>0","Fortran, PL/I , URL: /w/index.php?title=Fortran,_PL/I&action=edit&redlink=1
"
"index(string, substring, occurrence)>0","Pick Basic , URL: /wiki/Pick_Basic
"
"strings.Contains(string, substring)","Go , URL: /wiki/Go_(programming_language)
"
"string.find(substring) != string::npos","C++ , URL: /wiki/C%2B%2B
"
"[string containsString:substring]","Objective-C , URL: /wiki/Objective-C
"
"string.rangeOfString(substring) != nil","Swift , URL: /wiki/Swift_(programming_language)
"
"∨/substring⍷string","APL , URL: /wiki/APL_(programming_language)
"
