"","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","BSD , URL: /wiki/BSD
","UNIX , URL: /wiki/UNIX
","AmigaOS , URL: /wiki/AmigaOS
","z/OS , URL: /wiki/Z/OS
","iOS , URL: /wiki/IOS
","Android , URL: /wiki/Android_(operating_system)
","OpenVMS , URL: /wiki/OpenVMS
"
"4th Dimension , URL: /wiki/4th_Dimension_(Software)
","Yes","Yes","No","No","No","No","No","No","No","No"
"ADABAS , URL: /wiki/ADABAS
","Yes","No","Yes","No","Yes","No","Yes","No","No","No"
"Adaptive Server Enterprise , URL: /wiki/Adaptive_Server_Enterprise
","Yes","No","Yes","Yes","Yes","No","No","No","No","No"
"Advantage Database Server , URL: /wiki/Advantage_Database_Server
","Yes","No","Yes","No","No","No","No","No","No","No"
"Altibase , URL: /wiki/Altibase
","Yes","No","Yes","No","Yes","No","No","No","No","No"
"Apache Derby , URL: /wiki/Apache_Derby
","Yes","Yes","Yes","Yes","Yes","No","Yes","?","No","No"
"ClustrixDB , URL: /wiki/Clustrix
","No","No","Yes","No","Yes","No","No","No","No","No"
"CockroachDB , URL: /wiki/CockroachDB
","Yes","Yes","Yes","No","No","No","No","No","No","No"
"CUBRID , URL: /wiki/CUBRID
","Yes","Partial","Yes","No","No","No","No","No","No","No"
"DB2 , URL: /wiki/IBM_DB2
","Yes","Express C , URL: /wiki/IBM_DB2_Express-C
","Yes","No","Yes","No","Yes","Yes","No","No"
"Empress Embedded Database , URL: /wiki/Empress_database
","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No"
"EXASolution , URL: /wiki/EXASOL
","No","No","Yes","No","No","No","No","No","No","No"
"FileMaker , URL: /wiki/FileMaker
","Yes","Yes","Yes","No","No","No","No","Yes","No","No"
"Firebird , URL: /wiki/Firebird_(database_server)
","Yes","Yes","Yes","Yes","Yes","No","Maybe","No","Yes[42]","No"
"HSQLDB , URL: /wiki/HSQLDB
","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","No"
"H2 , URL: /wiki/H2_(DBMS)
","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Yes","No"
"Informix Dynamic Server , URL: /wiki/Informix_Dynamic_Server
","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Ingres , URL: /wiki/Ingres_(database)
","Yes","Yes","Yes","Yes","Yes","No","Partial","No","No","Yes[43]"
"InterBase , URL: /wiki/InterBase
","Yes","Yes","Yes","No","Solaris , URL: /wiki/Solaris_(operating_system)
","No","No","Yes","Yes","No"
"Linter SQL RDBMS , URL: /wiki/Linter_SQL_RDBMS
","Yes","Yes","Yes","Yes","Yes","No","Linux on IBM Z , URL: /wiki/Linux_on_IBM_Z
","Yes","Yes","Yes"
"LucidDB , URL: /wiki/LucidDB
","Yes","Yes","Yes","No","No","No","No","No","No","No"
"MariaDB , URL: /wiki/MariaDB
","Yes","Yes[44]","Yes","Yes","Yes","No","No","?","Yes[45]","No"
"MaxDB , URL: /wiki/MaxDB
","Yes","No","Yes","No","Yes","No","Maybe","No","No","No"
"Microsoft Access , URL: /wiki/Microsoft_Access
","Yes","No","No","No","No","No","No","No","No","No"
"Microsoft Visual Foxpro , URL: /wiki/Microsoft_Visual_Foxpro
","Yes","No","No","No","No","No","No","No","No","No"
"Microsoft SQL Server , URL: /wiki/Microsoft_SQL_Server
","Yes","No","Yes[46]","No","No","No","No","No","No","No"
"Microsoft SQL Server Compact (Embedded Database) , URL: /wiki/SQL_Server_Compact
","Yes","No","No","No","No","No","No","No","No","No"
