"Name","Operating system(s)","Source code language(s)","Programming (plugin) API language(s)","Other technical features"
"Bidule , URL: /wiki/Bidule
","Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
","C++ , URL: /wiki/C%2B%2B
","C++ , URL: /wiki/C%2B%2B
","ASIO , URL: /wiki/Audio_Stream_Input/Output
ReWire , URL: /wiki/ReWire
NDA , URL: /wiki/Non-disclosure_agreement
"
"ChucK , URL: /wiki/ChucK
","Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","C++ , URL: /wiki/C%2B%2B
","C++ , URL: /wiki/C%2B%2B
","command-line , URL: /wiki/Command-line
"
"Csound , URL: /wiki/Csound
","Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
","C , URL: /wiki/C_(programming_language)
Python , URL: /wiki/Python_(programming_language)
Java , URL: /wiki/Java_(programming_language)
Lisp , URL: /wiki/Lisp_(programming_language)
Lua , URL: /wiki/Lua_(programming_language)
Tcl , URL: /wiki/Tcl
C++ , URL: /wiki/C%2B%2B
","Python , URL: /wiki/Python_(programming_language)
LuaJIT , URL: /wiki/LuaJIT
algorithmic composition , URL: /wiki/Algorithmic_composition
"
"Impromptu , URL: /wiki/Impromptu_(programming_environment)
","Mac OS X , URL: /wiki/Mac_OS_X
","Lisp , URL: /wiki/Lisp_(programming_language)
Objective-C , URL: /wiki/Objective-C
Scheme , URL: /wiki/Scheme_(programming_language)
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Objective-C , URL: /wiki/Objective-C
Scheme , URL: /wiki/Scheme_(programming_language)
","Core Image , URL: /wiki/Core_Image
Quartz , URL: /wiki/Quartz_(graphics_layer)
QuickTime , URL: /wiki/QuickTime
OpenGL , URL: /wiki/OpenGL
"
"Kyma , URL: /wiki/Kyma_(sound_design_language)
","Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
","Smalltalk , URL: /wiki/Smalltalk
C , URL: /wiki/C_(programming_language)
Objective-C , URL: /wiki/Objective-C
","Smalltalk , URL: /wiki/Smalltalk
","sample-rate , URL: /wiki/Sample_rate
Frequency , URL: /wiki/Frequency
Hz , URL: /wiki/Hz
Frame , URL: /wiki/Window_function#Discrete-time_signals
"
"Max/MSP , URL: /wiki/Max/MSP
","Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
","C , URL: /wiki/C_(programming_language)
Objective-C , URL: /wiki/Objective-C
","C , URL: /wiki/C_(programming_language)
Java , URL: /wiki/Java_(programming_language)
JavaScript , URL: /wiki/JavaScript
Python , URL: /wiki/Python_(programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
",""
"Pure Data , URL: /wiki/Pure_Data
","Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
iPod , URL: /wiki/IPod
Android , URL: /wiki/Android_(operating_system)
","C , URL: /wiki/C_(programming_language)
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
FAUST , URL: /wiki/FAUST_(programming_language)
Haskell , URL: /wiki/Haskell_(programming_language)
Java , URL: /wiki/Java_(programming_language)
Lua , URL: /wiki/Lua_(programming_language)
Python , URL: /wiki/Python_(programming_language)
Q , URL: /wiki/Q_(equational_programming_language)
Ruby , URL: /wiki/Ruby_(programming_language)
Scheme , URL: /wiki/Scheme_(programming_language)
",""
"Reaktor , URL: /wiki/Reaktor
","Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
","","",""
"SuperCollider , URL: /wiki/SuperCollider
","Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
FreeBSD , URL: /wiki/FreeBSD
","C , URL: /wiki/C_(programming_language)
C++ , URL: /wiki/C%2B%2B
Objective-C , URL: /wiki/Objective-C
","C++ , URL: /wiki/C%2B%2B
","Client-server , URL: /wiki/Client-server
command-line , URL: /wiki/Command-line
"
"Sporth , URL: /w/index.php?title=Sporth&action=edit&redlink=1
","Linux , URL: /wiki/Linux
Mac OS X , URL: /wiki/Mac_OS_X
","C , URL: /wiki/C_(programming_language)
","C , URL: /wiki/C_(programming_language)
Scheme , URL: /wiki/Scheme_(programming_language)
","Chuck , URL: /w/index.php?title=Chuck_(API)&action=edit&redlink=1
PD , URL: /wiki/Pure_Data
LADSPA , URL: /wiki/LADSPA
"
"SynthEdit , URL: /wiki/SynthEdit
","Windows , URL: /wiki/Windows
MacOS , URL: /wiki/MacOS
","C++ , URL: /wiki/C%2B%2B
","C++ , URL: /wiki/C%2B%2B
",""
"VCV Rack , URL: https://vcvrack.com/
","Mac OS X , URL: /wiki/Mac_OS_X
Linux , URL: /wiki/Linux
Windows , URL: /wiki/Microsoft_Windows
","C++ , URL: /wiki/C%2B%2B
","C++ , URL: /wiki/C%2B%2B
",""
