"Program","ARW Sony","CR2 Canon","DNG , URL: /wiki/Digital_Negative
","NEF Nikon","ORF Olympus","PEF Pentax","RAF Fujifilm","SRW Samsung","X3F Sigma","Others","Notes"
"ACDSee , URL: /wiki/ACDSee
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","cRAW, CRW, DCR, ERF, HDR, MRW, RAW, RWL, sRAW","[1] , URL: http://www.acdsee.com/en/support/file-formats
"
"Aperture , URL: /wiki/Apple_Aperture
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW, MOS, RAW, FFF, 3FR","[2] , URL: https://www.apple.com/aperture/specs/raw.html
"
"digiKam , URL: /wiki/DigiKam
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","Several","[3] , URL: https://web.archive.org/web/20160304201129/https://docs.kde.org/trunk4/en/extragear-graphics/digikam/using-fileformatsupport.html
[4] , URL: https://web.archive.org/web/20161019024525/http://www.cybercom.net/~dcoffin/dcraw/
"
"F-Spot , URL: /wiki/F-Spot
","ARW?","CR2","DNG","NEF","ORF","PEF","RAF","SRW?","X3F?","CRW, MRW, RAW, SRF",""
"FastPictureViewer , URL: /wiki/Fast_Picture_Viewer
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","SR2 , URL: /wiki/.sr2
RWZ , URL: /wiki/Rawzor
","[5] , URL: http://www.fastpictureviewer.com/formats/
"
"FastStone Image Viewer , URL: /wiki/FastStone_Image_Viewer
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CR3, CRW, NRW, RWL, MRW, SR2, SRF, RW2","[6] , URL: https://www.faststone.org/FSViewerDetail.htm
"
"Geeqie , URL: /wiki/Geeqie
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","3FR, CRW, DCR, ERF, K25, KDC, MEF, MOS, MRW, PTX, R3D, RAW, SR2, SRF",""
"IrfanView , URL: /wiki/IrfanView
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW, EEF, DCR, MRW, NRW, RW2, SRF","[7] , URL: http://www.irfanview.com/main_formats.htm
"
"Phase One Media Pro , URL: /wiki/Phase_One_Media_Pro
","ARW?","CR2?","DNG","NEF","ORF?","PEF?","RAF","SRW","X3F?","CRW, MOS, RAW",""
"Picasa , URL: /wiki/Picasa
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","3FR, CRW, DCR, KDC, MRW, NRW, RAW, RW2, SRF, SR2","[8] , URL: https://support.google.com/picasa/answer/15625?hl=en
"
"Shotwell , URL: /wiki/Shotwell_(software)
","ARW?","CR2?","DNG?","NEF?","ORF?","PEF?","RAF?","SRW?","X3F?","","[9] , URL: http://yorba.org/shotwell/help/formats.html
"
"XnView , URL: /wiki/XnView
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW , URL: /wiki/Camera_Image_File_Format
RWZ , URL: /wiki/Rawzor
","[10] , URL: http://www.xnview.com/en/xnview/#formats
"
"Zoner Photo Studio , URL: /wiki/Zoner_Photo_Studio
","ARW","CR2","DNG","NEF","ORF","PEF","RAF","SRW","X3F","CRW , URL: /wiki/Camera_Image_File_Format
RWZ , URL: /wiki/Rawzor
","[11] , URL: https://www.zoner.com/en/system-requirements
"
