"Audio player","HTTP , URL: /wiki/HTTP
","RTSP , URL: /wiki/Real_Time_Streaming_Protocol
","MMS , URL: /wiki/Microsoft_Media_Services
","Podcasting , URL: /wiki/Podcasting
","Other"
"AIMP , URL: /wiki/AIMP
","Yes","No","Yes","No","No"
"Amarok , URL: /wiki/Amarok_(audio)
","Yes","Yes","Yes","Yes","UPNP , URL: /wiki/UPNP
"
"Audacious , URL: /wiki/Audacious_(software)
","Yes","No","Yes","No","?"
"Audion , URL: /wiki/Audion_(software)
","Yes","No","No","No","?"
"cmus , URL: /wiki/Cmus
","Yes","No","No","No","?"
"Cog , URL: /wiki/Cog_(software)
","No","No","No","No","?"
"foobar2000 , URL: /wiki/Foobar2000
","Yes","Partial[protocolnotes 1]","Yes","Partial[protocolnotes 2]","?"
"JuK , URL: /wiki/JuK
","?","?","?","?","?"
"JRiver Media Center , URL: /wiki/JRiver_Media_Center
","Yes","Yes","Yes","Yes","?"
"MediaMonkey , URL: /wiki/MediaMonkey
","Yes","No","No","Yes[protocolnotes 3]","?"
"MusicBee , URL: /wiki/MusicBee
","Yes","?","?","Yes","?"
"Musicmatch Jukebox , URL: /wiki/Musicmatch_Jukebox
","Yes","?","?","?","?"
"musikCube , URL: /wiki/MusikCube
","Yes","No","No","?","?"
"Music Player Daemon , URL: /wiki/Music_Player_Daemon
","Yes[22]","Yes[23]","Yes[24]","Yes","Music Player Daemon , URL: /wiki/Music_Player_Daemon
"
"Rhapsody , URL: /wiki/Rhapsody_(online_music_service)
","Yes","Yes","Yes","Yes","?"
"Rhythmbox , URL: /wiki/Rhythmbox
","Yes","Yes","No","Partial[protocolnotes 4]","UPNP , URL: /wiki/UPNP
"
"Sayonara Player , URL: /wiki/Sayonara_Player
","Yes","?","?","?","?"
"Sonique , URL: /wiki/Sonique_(media_player)
","Yes","?","?","?","?"
"XMMS , URL: /wiki/XMMS
","Yes","?","?","?","?"
"Zinf , URL: /wiki/Zinf
","Yes","Yes","No","No","?"
"Audio player","HTTP","RTSP (RTSPU, RTSPT)","MMS (MMSU, MMST)","Podcasting","Other"
