"Store","Tracks (million)","Geographic restrictions","Purchase platform","FLAC , URL: /wiki/Free_Lossless_Audio_Codec
","ALAC , URL: /wiki/Apple_Lossless_Audio_Codec
","WAV , URL: /wiki/WAV
","AIFF , URL: /wiki/Audio_Interchange_File_Format
","AAC , URL: /wiki/Advanced_Audio_Coding
","MP3 , URL: /wiki/MP3
","WMA , URL: /wiki/Windows_Media_Audio
","Vorbis , URL: /wiki/Vorbis
","DRM , URL: /wiki/Digital_Rights_Management
","Preview (seconds)","Stream purchases"
"7digital , URL: /wiki/7digital
","81[2]","Yes [3]","Web, Android","24-bit","No","No","No","320 kbps","320 kbps","No","No","No","30","Yes"
"Amazon Music , URL: /wiki/Amazon_Music
","75[4]","Yes","Web, Android[5]","No","No","No","No","No","256 kbps","No","No","No","30","Yes"
"Bandcamp , URL: /wiki/Bandcamp
","18.1","No","Web","24-bit","24-bit","24-bit","24-bit","Yes","Yes","No","Yes","No","Full","Yes"
"Beatport , URL: /wiki/Beatport
","9[6]","Yes [7]","Web","No","No","16-bit","16-bit","No","320 kbps","No","No","No","120","Paid service"
"Bleep , URL: /wiki/Bleep_(store)
","?","No","Web","16-bit","No","24-bit","No","No","320 kbps","No","No","No","Full","Yes"
"Classical Archives , URL: /wiki/Classical_Archives
","1.17","Yes","Web","No","No","No","No","No","320 kbps","No","No","No","60","No"
"eMusic , URL: /wiki/EMusic
","17[8]","Yes [9]","Web[10]","No","No","No","No","No","320 kbps","No","No","No","60 [10]","Yes"
"HDtracks , URL: /wiki/HDtracks
","?","Yes US [11]","Web","24-bit","24-bit","24-bit","24-bit","No","No","No","No","No","30","?"
"iTunes Store , URL: /wiki/ITunes_Store
","75[12]","Yes [13]","macOS , URL: /wiki/MacOS
iOS , URL: /wiki/IOS
tvOS , URL: /wiki/TvOS
","No","No","No","No","256 kbps","No","No","No","No (previously FairPlay)","90 [14]","iTunes in the Cloud"
"Jamendo , URL: /wiki/Jamendo
","0.21","No","Web","No","No","No","No","No","Yes","No","Yes","No","Full","?"
"Juno Download , URL: /wiki/Juno_Records
","?","Yes [15]","Web","16-bit","16-bit","16-bit","16-bit","No","320 kbps","No","No","No","60","No"
"Magnatune , URL: /wiki/Magnatune
","0.01","No","Web","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Full","?"
"mora , URL: /wiki/Mora_(music_store)
","4.4","Yes Japan","Web","24-bit","No","No","No","320 kbps","No","No","No","No","30","?"
"NoiseTrade , URL: /wiki/NoiseTrade
","?","No","Web","No","No","No","No","No","320 kbps","No","No","No","Full","?"
"ProStudioMasters","?","Yes","Web","24-bit","No","No","24-bit","No","No","No","No","No","90","No"
"Qobuz , URL: /wiki/Qobuz
","70[16]","Yes","Web, Android, iOS Kindle, Windows 8[17]","24-bit","24-bit","24-bit","24-bit","320 kbps","320 kbps","320 kbps","No","No","30-60","Yes"
"Supraphonline , URL: /wiki/Supraphon
","4.3","No","Web","16+24-bit","No","No","No","No","320 kbps","No","No","No","30+30","?"
"Tidal , URL: /wiki/Tidal_(service)
","70[18]","Yes","Web","16-bit","No","No","No","No","320 kbps","No","No","No","30","No"
"Traxsource , URL: /w/index.php?title=Traxsource&action=edit&redlink=1
","?","?","Web","No","No","Yes","Yes","No","320 kbps","No","No","No","120","?"
