"Presidential candidate","Party","Running mate","Campaign site"
"Gene Amondson","Prohibition , URL: /wiki/United_States_Prohibition_Party
","Leroy Pletten","geneamondson.com , URL: http://www.geneamondson.com/prohibition-party-2004.html
"
"campaign , URL: /wiki/Chuck_Baldwin_2008_presidential_campaign
","Constitution , URL: /wiki/United_States_Constitution_Party
","Darrell Castle","baldwin2008.com , URL: https://web.archive.org/web/20080505061830/http://www.baldwin2008.com/
"
"campaign , URL: /wiki/Bob_Barr_2008_presidential_campaign
","Libertarian , URL: /wiki/United_States_Libertarian_Party
","Wayne Allyn Root","bobbarr2008.com , URL: https://web.archive.org/web/20080827205342/https://www.bobbarr2008.com/
"
"Róger Calero","Socialist Workers , URL: /wiki/Socialist_Workers_Party_(United_States)
","Alyson Kennedy",""
"Charles Jay","Boston Tea , URL: /wiki/Boston_Tea_Party_(political_party)
","Thomas L. Knapp","CJ08.com , URL: http://www.cj08.com/
"
"campaign , URL: /wiki/Alan_Keyes_2008_presidential_campaign
","America's Independent Party","Brian Rohrbough","alankeyes.com , URL: https://web.archive.org/web/20070509093650/http://www.alankeyes.com/
"
"Gloria La Riva","Socialism & Liberation , URL: /wiki/Party_for_Socialism_and_Liberation
","Eugene Puryear","votepsl.org , URL: https://web.archive.org/web/20080522123922/http://www.votepsl.org/
"
"campaign , URL: /wiki/John_McCain_2008_presidential_campaign
","Republican , URL: /wiki/United_States_Republican_Party
","Sarah Palin","johnmccain.com , URL: http://johnmccain.com
"
"Frank McEnulty","New American Independent , URL: /wiki/New_American_Independent_Party
","David Mangan , URL: /w/index.php?title=David_Mangan&action=edit&redlink=1
","frankforpresident.org , URL: http://www.frankforpresident.org/
"
"campaign , URL: /wiki/Cynthia_McKinney_2008_presidential_campaign
","Green , URL: /wiki/United_States_Green_Party
","Rosa Clemente","votetruth08.com , URL: https://web.archive.org/web/20160315140259/http://www.votetruth08.com/
"
"Brian Moore","Socialist , URL: /wiki/Socialist_Party_USA
Liberty Union , URL: /wiki/Liberty_Union_Party
","Stewart Alexander","votesocialist2008.org , URL: http://votesocialist2008.org
"
"campaign , URL: /wiki/Ralph_Nader_2008_presidential_campaign
","Independent , URL: /wiki/Independent_(politician)
Peace and Freedom , URL: /wiki/Peace_and_Freedom_Party
","Matt Gonzalez","votenader.org , URL: https://web.archive.org/web/20041101064500/http://votenader.org/
"
"campaign , URL: /wiki/Barack_Obama_2008_presidential_campaign
","Democratic , URL: /wiki/United_States_Democratic_Party
","Joe Biden","barackobama.com , URL: http://barackobama.com
"
"campaign , URL: /wiki/Ron_Paul_2008_presidential_campaign
","Louisiana Taxpayers Party , URL: /wiki/Louisiana_Taxpayers_Party
Constitution Party of Montana , URL: /wiki/Constitution_Party_of_Montana
","Barry Goldwater, Jr. , URL: /wiki/Barry_Goldwater,_Jr.
Michael Peroutka , URL: /wiki/Michael_Peroutka
","ronpaul2008.com , URL: http://ronpaul2008.com/
"
"Thomas Stevens , URL: /wiki/Tom_Stevens_(Objectivist_Party_politician)
","Objectivist , URL: /wiki/Objectivist_Party
","",""
"Ted Weill","Reform , URL: /wiki/United_States_Reform_Party
","Frank McEnulty",""
