"v t e Constructed languages","v t e Constructed languages","v t e Constructed languages"
"Classification","Artistic Fictional Language game International auxiliary Zonal Engineered Experimental Musical Philosophical","Artistic Fictional Language game International auxiliary Zonal Engineered Experimental Musical Philosophical"
"Specific languages by group","International auxiliary , URL: /wiki/International_auxiliary_language
","Adjuvilo Babm Blissymbols Bolak Communicationssprache Esperanto Arcaicam Esperanto II Ido Mundolinco Reformed Romániço other esperantidos Glosa Interglossa Idiom Neutral Intal Interlingua Interlingue International Sign Kotava Langue nouvelle Latino sine flexione Lingua Franca Nova Lingwa de planeta Mondial Neo Nal Bino Novial Pasilingua Sambahsa Solresol Sona Spokil Unish Universalglot Uropi Volapük"
"Specific languages by group","Zonal , URL: /wiki/Zonal_auxiliary_language
","Pan-Germanic language Folkspraak Tutonish Pan-Romance language Romanid Sabir Pan-Slavic language Interslavic Afrihili Efatese language Eurolengo Guosa N'Ko Runyakitara"
"Specific languages by group","Engineered , URL: /wiki/Engineered_language
","aUI Dutton Speedwords Ithkuil Kalaba-X Astrolinguistics Lincos Loglan Logopandecteision Lojban Real Character Ro Toki Pona"
"Specific languages by group","Fictional , URL: /wiki/Fictional_language
artistic , URL: /wiki/Artistic_language
","Asa'pili Atlantean Belter Creole Brithenig Dritok Dothraki Enchanta Kēlen Kiliki Klingon Kobaïan Láadan Loxian Lydnevi Mänti Middle-earth languages Adûnaic Quenya Sindarin more... Na'vi Nadsat Star Wars languages Syldavian Teonaht Tsolyáni Utopian Valyrian Venedic Verdurian"
"Specific languages by group","Ritual and other","Balaibalan Damin Enochian Eskayan Lingua Ignota Medefaidrin Palawa kani Yerkish Zaum"
"Writing systems","Constructed script Esperanto orthography Tolkien's writing systems Cirth Sarati Tengwar","Constructed script Esperanto orthography Tolkien's writing systems Cirth Sarati Tengwar"
"Related","Conlanging: The Art of Crafting Tongues Grammelot Relexification Zompist.com Langmaker Codes for constructed languages","Conlanging: The Art of Crafting Tongues Grammelot Relexification Zompist.com Langmaker Codes for constructed languages"
"Comparisons","Esperanto/Ido Esperanto/Interlingua Esperanto/Novial Ido/Interlingua Ido/Novial Interlingue/Interlingua Lojban/Loglan","Esperanto/Ido Esperanto/Interlingua Esperanto/Novial Ido/Interlingua Ido/Novial Interlingue/Interlingua Lojban/Loglan"
"Portal List of constructed languages List of language creators","Portal List of constructed languages List of language creators","Portal List of constructed languages List of language creators"
