"null","null","null","null","null","null"
"MusicSync LLC","Media Leap Inc.","YouTube LLC (Google LLC)","iBroadcast Media, LLC","Apple Inc.","Coppertino Inc."
"2020-10-25","2020-12-11","2015-11-12","2012-06-15[9]","2011-10-12","2015-04-15[10]"
"Yes","Yes","Yes","Yes","Yes","Yes"
"No","Yes","Yes","Yes","No","No"
"No","No","No","Yes","No","In beta"
"Yes","Yes","Yes","Yes","No","No"
"","Yes","Yes","Yes","Yes[11]","Yes"
"Chromecast, Android TV, Android Auto","","Google Home, Sonos, Chromecast, Android TV, Android Auto","","Apple TV, other AirPlay","macOS, Apple TV via AirPlay, Chromecast, Sonos[12]"
"Web browser and via Google Drive client","Web browser, in-app upload","Web browser[13]","Windows, macOS, Linux, Web browser","Windows, macOS","VOX Player for Mac, Web browser"
"MP3, MP4/M4A/ALAC/AAC, OGG, OPUS, WMA, FLAC, WAV, APE, WV, TTA, MPC, AIFF, DSD (DFF/DSF), MKA, MPGA, TAK, FLV","MP3, OGG, FLAC .","AAC[14]","AAC, FLAC, MKA, MP3, OGG, PCM","AAC, MP3","AAC, AIFF, ALAC, APE, FLAC, M4A, MP3, OGG, WAV, WMA"
"MP3, MP4/M4A/ALAC/AAC, OGG, OPUS, WMA, FLAC, WAV, APE, WV, TTA, MPC, AIFF, DSD (DFF/DSF), MKA, MPGA, TAK, FLV","None","None[15]","None","AAC, AIFF, ALAC, MP3, WAV","None"
"None","None","FLAC, M4A, MP3, OGG, WMA","","AIFF, ALAC, WAV","None"
"No Limit","No Limit","300 MB","","200 MB or 2 hours[16]","250 MB[17]"
"Original Quality","Original Quality","256 kbit/s[13]","128 kbit/s[18]","None","None"
"Original Quality","Original Quality","256 kbit/s","320 kbit/s or Original[19]","256 kbit/s","Original Quality"
"Limited to Google Drive free plan","1 TB","Unlimited","Unlimited","None[20]","None[21]"
"","Unlimited","Unlimited","Unlimited","100,000 files[b][22]","Unlimited"
"","Unlimited storage","Ads-free, background play, download music offline, use audio-only mode, travel with YouTube Music, shuffle downloads, Apple Carplay & Android Auto compatibility[23]","Higher bitrate streaming, equalizer, Android Auto, Carplay","","Custom Equalizer, Download music offline, Carplay, World Radio Stations, BS2B, Gap/Crossfade, Hog Mode, Sync Sample Rate and more premium audio features [24]"
"Based on Google Drive paid plan [25]","$5 per month","$9.99 per month (YouTube Music Premium) $11.99 per month (YouTube Premium)","Free during Beta, $3.99 per month after launch[26]","Annual fee of $24.99 (US), £21.99 (UK), €24.99 (FR), $39.99 (AU) Included with $9.99 per month Apple Music subscription","$4.99 per month, $49.99 annually (VOX Premium)"
"","Worldwide","94 (YouTube Music Premium)[27] 95 (YouTube Premium)[27]","","117[28]","Worldwide"
