"Client","Message file format","Encrypted database","Virtual folders , URL: /wiki/Virtual_folder
","Scheduled backup","New mail notification","New mail notification","New mail notification","New mail notification","Customizable interface","Customizable keybindings","Fragmented messages [Note 1]","regular expressions , URL: /wiki/Regular_expression
","Indexed search , URL: /wiki/Indexed_search
","Search folders [Note 2]","IMAP","IMAP","IMAP","IMAP"
"Client","Message file format","Encrypted database","Virtual folders , URL: /wiki/Virtual_folder
","Scheduled backup","ticker","tray icon","tooltip","sound","Customizable interface","Customizable keybindings","Fragmented messages [Note 1]","regular expressions , URL: /wiki/Regular_expression
","Indexed search , URL: /wiki/Indexed_search
","Search folders [Note 2]","","","",""
"Alpine , URL: /wiki/Alpine_(email_client)
","mbox , URL: /wiki/Mbox
MIX , URL: /wiki/MIX_(email)
maildir , URL: /wiki/Maildir
MMDF , URL: /wiki/MMDF
MH , URL: /wiki/MH_Message_Handling_System
","?","Yes","Partial","?","?","?","Yes","Yes","No","?","No","Yes","Yes","Yes","No","",""
"Becky! Internet Mail , URL: /wiki/Becky!
","mbox , URL: /wiki/Mbox
","?","?","No","Yes","?","Yes","Yes","?","?","?","Yes","?","Yes","Yes","Yes","",""
"Citadel , URL: /wiki/Citadel/UX
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","",""
"Claws Mail , URL: /wiki/Claws_Mail
","MH , URL: /wiki/MH_Message_Handling_System
mbox , URL: /wiki/Mbox
","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","No","Yes","No","",""
"Courier , URL: /wiki/Courier_(email_client)
","Proprietary , URL: /wiki/Proprietary_format
","Yes (weak)","Yes","?","?","?","?","?","Yes (layout)","No","?","No","No","Yes","No","Yes","",""
"Elm , URL: /wiki/Elm_(email_client)
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","",""
"eM Client , URL: /wiki/EM_Client
","Proprietary , URL: /wiki/Proprietary_format
sqlite , URL: /wiki/Sqlite
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","",""
"EmailTray , URL: /wiki/EmailTray
","Proprietary , URL: /wiki/Proprietary_format
","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","?","?","",""
"Eudora , URL: /wiki/Eudora_(email_client)
","modified mbox , URL: /wiki/Mbox#Modified_mbox
","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes[specify]","Yes","Yes","Yes","?","",""
"Evolution , URL: /wiki/Evolution_(software)
","maildir , URL: /wiki/Maildir
mbox , URL: /wiki/Mbox
MH , URL: /wiki/MH_Message_Handling_System
","No","Yes","No","No","Yes","Yes","Yes","Partial","Yes [Note 3]","Yes","Yes","Yes","Yes","Yes","Yes","",""
"Gnus , URL: /wiki/Gnus
","maildir , URL: /wiki/Maildir
mbox , URL: /wiki/Mbox
MMDF , URL: /wiki/MMDF
","No","Yes","No","No","?","?","?","Yes","Yes","Yes","Yes","Yes[Note 4]","Yes","Yes","?","",""
"GroupWise , URL: /wiki/GroupWise
","Proprietary , URL: /wiki/Proprietary_format
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","?","?","?","Yes","Yes","Yes","No","",""
"Hiri , URL: /wiki/Hiri_(email_client)
","Proprietary","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","",""
"IBM Notes , URL: /wiki/IBM_Lotus_Notes
","Proprietary","Yes[35]","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes [Note 5]","No","Yes","Yes","?","No","",""
"KMail , URL: /wiki/KMail
","mbox , URL: /wiki/Mbox
maildir , URL: /wiki/Maildir
","No","Yes","No","?","?","?","?","Yes","Yes","No","Yes","?","Yes","Yes","Yes","",""
"Mailbird , URL: /wiki/Mailbird
","Proprietary","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Partial","Yes","Yes","Yes","",""
"Mailpile , URL: /wiki/Mailpile
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","",""
"Microsoft Entourage , URL: /wiki/Microsoft_Entourage
","Personal Storage Table , URL: /wiki/Personal_Storage_Table
","?","Yes","Partial [Note 6]","?","?","?","?","Partial","No","No","Partial [Note 7]","Yes","Yes","Yes","Yes","",""
"Microsoft Office Outlook , URL: /wiki/Microsoft_Office_Outlook
","Personal Storage Table , URL: /wiki/Personal_Storage_Table
","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","Yes [Note 8]","Yes","?","Yes","",""
"Mozilla Mail & Newsgroups , URL: /wiki/Mozilla_Mail_%26_Newsgroups
","mbox , URL: /wiki/Mbox
","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","",""
"Mozilla Thunderbird , URL: /wiki/Mozilla_Thunderbird
","mbox , URL: /wiki/Mbox
maildir , URL: /wiki/Maildir
","No","Yes","?","?","Yes","Yes","Yes","Yes [Note 9]","?","No","?","Yes (as of 3.0)","Yes","Yes","Yes","",""
"Mulberry , URL: /wiki/Mulberry_(email_client)
","mbox , URL: /wiki/Mbox
","Partial [Note 11]","Partial [Note 11]","Partial [Note 11]","?","?","?","?","Yes","?","?","Yes[specify]","Partial [Note 11]","No","Yes","No","",""
"Mutt , URL: /wiki/Mutt_(email_client)
","mbox , URL: /wiki/Mbox
MMDF , URL: /wiki/MMDF
MH , URL: /wiki/MH_Message_Handling_System
maildir , URL: /wiki/Maildir
","Yes (with compressed folders patch[36])","? (has limit command)","No","?","?","?","?","Yes","Yes","?","Yes","Yes[Note 12]","Yes[Note 12]","Yes","Yes","",""
