"Software","Latest version","Latest release","Free to use","Free software , URL: /wiki/Free_software
","Software license , URL: /wiki/Software_license
","Windows , URL: /wiki/Microsoft_Windows
","macOS , URL: /wiki/MacOS
","Linux , URL: /wiki/Linux
","Android , URL: /wiki/Android_(operating_system)
","iOS , URL: /wiki/IOS
"
"Agelong Tree , URL: /w/index.php?title=Agelong_Tree&action=edit&redlink=1
","5.5","2020-04-08","No (40 Person Free Trial)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Wine , URL: /wiki/Wine_(software)
","No","No"
"Ahnenblatt , URL: /wiki/Ahnenblatt
","3.36","2022-01-14","No (Free demo, 50 person limit, watermarked reports; latest free version: 2.99p)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","No"
"Ancestral Quest , URL: /wiki/Ancestral_Quest
","16.0.6","2020-08-10","Yes (Basics version)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Wine , URL: /wiki/Wine_(software)
","No","No"
"Ancestris","11","2021-04-29","Yes","Yes","GNU GPL , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","No","No"
"Brother's Keeper , URL: /wiki/Brother%27s_Keeper_(software)
","7.5.9","2021-12-15","Yes (Unreg. ver.)","No","Shareware , URL: /wiki/Shareware
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","No"
"Family Historian , URL: /wiki/Family_Historian
","7.0.11.0","2022-02-26","No (30-Day Free Trial)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","using Crossover","Wine , URL: /wiki/Wine_(software)
","No","No"
"Family Tree Builder , URL: /wiki/MyHeritage#Family_Tree_Builder
","8.0","2016-08-12","Yes (Free ver.)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Wine , URL: /wiki/Wine_(software)
","Yes","Yes"
"Family Tree Maker , URL: /wiki/Family_Tree_Maker
","2019 (24.0.1)","2019-11","No","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","No","No"
"GEDitCOM II , URL: /wiki/GEDitCOM
","2.3","2016-11-17","No (15-Day Free Trial, Read-Only afterwards)","No","Proprietary , URL: /wiki/Proprietary_software
","No","Yes","No","?","Yes"
"Genbox Family History , URL: /wiki/Genbox_Family_History
","3.7.1","2007-11-17","No (30 Day Free Trial)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","No"
"GenealogyJ , URL: /wiki/GenealogyJ
","
URL: https://www.wikidata.org/wiki/Q3062866?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2010-03-17","Yes","Yes","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Java[a]","Java[a]","Java[a]","No","No"
"GenoPro , URL: /wiki/GenoPro
","2016, 3.0.0.7","2016-01-27","No (25 Person Free Trial)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","No"
"Gramps , URL: /wiki/Gramps_(software)
","
URL: https://www.wikidata.org/wiki/Q902166?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2022-02-06","Yes","Yes","GPL-2.0-or-later , URL: /wiki/GNU_General_Public_License
","Yes","Yes","Yes","No","No"
"Heredis , URL: /w/index.php?title=Heredis&action=edit&redlink=1
","2021","2020-09-22","No (50 Person Free Trial)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","No","Yes","Yes"
"Kith and Kin Pro , URL: /wiki/Kith_and_Kin_Pro
","3.3.0","2019-09-14","No (30-Day Free Trial)","No","Shareware , URL: /wiki/Shareware
","Yes","No","No","No","No"
"Legacy Family Tree , URL: /wiki/Legacy_Family_Tree
","9.0.0.393","2021-07-12","Yes (Standard Edition)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","No"
"LifeLines , URL: /wiki/LifeLines
","
URL: https://www.wikidata.org/wiki/Q6544618?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-03-17","Yes","Yes","MIT , URL: /wiki/MIT_License
","Yes","Yes","Yes","No","No"
"MacFamilyTree , URL: /wiki/MacFamilyTree
","9.3.3","2021-12-13","No (Free Trial, but you cannot save or export your entries)","No","Proprietary , URL: /wiki/Proprietary_software
","No","Yes","No","No","Yes"
"Personal Ancestral File , URL: /wiki/Personal_Ancestral_File
","5.2.18.0","2002-07-23 (discontinued 2014)","Yes","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine , URL: /wiki/Wine_(software)
","?","?"
"Reunion , URL: /wiki/Reunion_(genealogy_software)
","13.0 (build 220214)","2022-02-14","No (Free demo, 50 person limit, no import/export, watermarked reports)","No","Proprietary , URL: /wiki/Proprietary_software
","No","Yes","No","No","Yes"
"RootsMagic , URL: /wiki/RootsMagic
","8.1.6.0","2022-02-09","Yes (Essentials)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","Yes","Wine , URL: /wiki/Wine_(software)
","Yes","Yes"
"The Master Genealogist , URL: /wiki/The_Master_Genealogist
","9.05.0000","2014-12-03 (discontinued 2015)","No (30 Day Free Trial)","No","Proprietary , URL: /wiki/Proprietary_software
","Yes","No","Wine , URL: /wiki/Wine_(software)
","No","No"
