"Network Name","Location","Country","Founded","Status"
"24/7 Open AdStream , URL: /wiki/24/7_Media
","New York, NY","USA","1997[7]","Active"
"AdBrite , URL: /wiki/AdBrite
","San Francisco[9]","USA","2002[9]","Defunct"
"Adcash , URL: /wiki/Adcash
","Tallinn","Estonia","2007","Active"
"Atlas Solutions , URL: /wiki/Atlas_Solutions
","USA","USA","2001","Active"
"Bing Ads , URL: /wiki/Bing_Ads
","Seattle","USA","2006","Active"
"Adform , URL: /wiki/Adform
","Copenhagen","Denmark","2002","Active"
"Adsterra , URL: /w/index.php?title=Adsterra&action=edit&redlink=1
","Limassol[citation needed]","Cyprus","2013","Active"
"AdTaily , URL: /wiki/AdTaily
","London[citation needed]","UK","","Active"
"Advertising.com , URL: /wiki/Advertising.com
","Baltimore, Maryland","USA","1998[16]","Active"
"AdWords , URL: /wiki/AdWords
","Ann Arbor, Michigan[18]","USA","2000[19]","Active"
"Chitika , URL: /wiki/Chitika
","Westborough, Massachusetts[21]","USA","2003[22]","Defunct"
"Criteo , URL: /wiki/Criteo
","Paris[24]","France","2005","Active"
"DoubleClick , URL: /wiki/DoubleClick
","Chicago, Illinois[26]","USA","1998[26]","Defunct"
"Baidu , URL: /wiki/Baidu
","Beijing","China","2000","Active"
"ExoClick , URL: /wiki/ExoClick
","Barcelona","Spain","2006","Active"
"Right Media , URL: /wiki/Right_Media
","New York[27][28]","USA","2004[29]","Active"
"Rocket Fuel , URL: /wiki/Rocket_Fuel_Inc.
","Redwood City, California","USA","2008","Defunct"
"ValueClick , URL: /wiki/ValueClick
","Westlake Village, California[31]","USA","1998[32]","Active"
"Yahoo! Publisher Network , URL: /wiki/Yahoo!_Publisher_Network
","Sunnyvale, California","USA","2005","Defunct"
"Yashi , URL: /wiki/Yashi
","Toms River, New Jersey","USA","2007","Defunct"
"Zedo , URL: /wiki/Zedo
","San Francisco, California[36]","USA","1999[37]","Active"
