"Title","Publisher","First published","Latest edition","Year","Pages","Entries (approx.)","Main dialect","Pronunciation guide"
"American Heritage Dictionary (AHD)","Houghton Mifflin Harcourt , URL: /wiki/Houghton_Mifflin_Harcourt
","1969","ISBN , URL: /wiki/ISBN_(identifier)
0-547-04101-2 , URL: /wiki/Special:BookSources/0-547-04101-2
","2011","2,074","70,000","American , URL: /wiki/American_English
","Diacritical , URL: /w/index.php?title=Pronunciation_respelli&action=edit&redlink=1
"
"The Chambers Dictionary","Chambers Harrap , URL: /wiki/Chambers_Harrap_Publishers
","1872","ISBN , URL: /wiki/ISBN_(identifier)
9781473602250 , URL: /wiki/Special:BookSources/9781473602250
","2014","1,920","62,500[1]","British , URL: /wiki/British_English
","Diacritical , URL: /wiki/Pronunciation_respelling_for_English
"
"Collins English Dictionary","HarperCollins , URL: /wiki/HarperCollins_Publishers
","1979","ISBN , URL: /wiki/ISBN_(identifier)
9780008284374 , URL: /wiki/Special:BookSources/9780008284374
","2018","2,340","100,000","British , URL: /wiki/British_English
","IPA , URL: /wiki/International_Phonetic_Alphabet
"
"Concise Oxford English Dictionary (COED)","Oxford University Press , URL: /wiki/Oxford_University_Press
","1911","ISBN , URL: /wiki/ISBN_(identifier)
9780199601080 , URL: /wiki/Special:BookSources/9780199601080
","2011","1,728","240,000","British , URL: /wiki/British_English
","IPA , URL: /wiki/International_Phonetic_Alphabet
"
"Macquarie Dictionary","Macquarie , URL: /wiki/Macmillan_Publishers
","1981","ISBN , URL: /wiki/ISBN_(identifier)
9781760556594 , URL: /wiki/Special:BookSources/9781760556594
","2020","1,792","138,000","Australian , URL: /wiki/Australian_English
","IPA , URL: /wiki/International_Phonetic_Alphabet
"
"The Merriam-Webster Dictionary (MWD)","Merriam-Webster , URL: /wiki/Merriam-Webster
","1828","ISBN , URL: /wiki/ISBN_(identifier)
978-0-87779-668-8 , URL: /wiki/Special:BookSources/978-0-87779-668-8
","2016","720 (trade), 960 (mass-market)","75,000","American , URL: /wiki/American_English
","Diacritical , URL: /wiki/Pronunciation_respelling_for_English
"
"New Oxford American Dictionary (NOAD)","Oxford University Press , URL: /wiki/Oxford_University_Press
","2001","ISBN , URL: /wiki/ISBN_(identifier)
0-19-539288-4 , URL: /wiki/Special:BookSources/0-19-539288-4
","2010","2,096","350,000","American , URL: /wiki/American_English
","Diacritical , URL: /wiki/Pronunciation_respelling_for_English
"
"Oxford Dictionary of English","Oxford University Press , URL: /wiki/Oxford_University_Press
","1998","ISBN , URL: /wiki/ISBN_(identifier)
0-19-957112-0 , URL: /wiki/Special:BookSources/0-19-957112-0
","2010","2,112","355,000","British , URL: /wiki/British_English
","IPA , URL: /wiki/International_Phonetic_Alphabet
"
"Oxford English Dictionary (OED)","Oxford University Press , URL: /wiki/Oxford_University_Press
","1895","ISBN , URL: /wiki/ISBN_(identifier)
0-19-861186-2 , URL: /wiki/Special:BookSources/0-19-861186-2
","1989","21,730","291,500","British , URL: /wiki/British_English
","IPA , URL: /wiki/International_Phonetic_Alphabet
"
"Random House Webster's","Random House , URL: /wiki/Random_House
","1966","ISBN , URL: /wiki/ISBN_(identifier)
978-0375425998 , URL: /wiki/Special:BookSources/978-0375425998
","2002","2,256","315,000","American , URL: /wiki/American_English
","Diacritical , URL: /wiki/Pronunciation_respelling_for_English
"
"Shorter Oxford English Dictionary (SOED)","Oxford University Press , URL: /wiki/Oxford_University_Press
","1933","ISBN , URL: /wiki/ISBN_(identifier)
9780199206872 , URL: /wiki/Special:BookSources/9780199206872
","2007","3,804","125,000","British , URL: /wiki/British_English
","IPA , URL: /wiki/International_Phonetic_Alphabet
"
"Webster's Third New International Dictionary (W3)","Merriam-Webster , URL: /wiki/Merriam-Webster
","1961","ISBN , URL: /wiki/ISBN_(identifier)
0-87-779201-1 , URL: /wiki/Special:BookSources/0-87-779201-1
","2002","2,783","263,000","American , URL: /wiki/American_English
","Diacritical , URL: /wiki/Pronunciation_respelling_for_English
"
