"Product","Paging touch screen","Paging volume key","Backward-forward","Contents table","Bookmarks","Resume","Go to","Search full text","Sync to cloud","Autoscroll by pixel","Autoscroll by line","Autoscroll by page","Scroll speed control","Rolling blind mode","Continuous scrolling"
"Aldiko Book Reader , URL: /wiki/Aldiko
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","?"
"AlReader , URL: /w/index.php?title=AlReader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"Bookari , URL: /w/index.php?title=Bookari_Ebook_Reader_Premium&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes"
"Cool Reader , URL: /wiki/CoolReader
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes"
"EBookDroid , URL: /w/index.php?title=EBookDroid&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","?","Yes"
"Ebook Reader , URL: /w/index.php?title=Ebook_Reader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"eReader Prestigio , URL: /w/index.php?title=EReader_Prestigio&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"FBReader , URL: /wiki/FBReader
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[17]","No","No","No","No","No","No"
"Google Play Books , URL: /wiki/Google_Play_Books
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","No"
"iReader , URL: /w/index.php?title=IReader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","No","?"
"Kindle , URL: /wiki/Amazon_Kindle
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?","?","No"
"Kobo Books","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","No"
"KOReader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes[18]","?","?","?","?","?","Yes"
"Lektz eBook Reader , URL: /wiki/Lektz
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"Librera , URL: /w/index.php?title=Librera&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes"
"Moon+ reader , URL: /w/index.php?title=Moon%2B_reader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MReader , URL: /w/index.php?title=MReader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes"
"PocketBook , URL: /w/index.php?title=PocketBook_reader&action=edit&redlink=1
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes"
"Snapplify[21]","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","?"
"Socio eReader , URL: /w/index.php?title=Socio_eReader&action=edit&redlink=1
","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","No","No","No","?"
"Product","Paging touch screen","Paging volume key","Backward-forward","Contents table","Bookmarks","Resume","Go to","Search full text","Sync to cloud","Autoscroll by pixel","Autoscroll by line","Autoscroll by page","Scroll speed control","Rolling blind mode","Continuous scrolling"
