"Product","Vendor","Edition","Last release","Jakarta EE , URL: /wiki/Jakarta_EE
","Servlet , URL: /wiki/Servlet
","JSP , URL: /wiki/Jakarta_Server_Pages
","HTTP/2 , URL: /wiki/HTTP/2
","License"
"WildFly , URL: /wiki/WildFly
","Red Hat , URL: /wiki/Red_Hat
","26.0.0.Final[2]","2021-12-16","8 full platform","4.0","2.3","Yes","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
"
"ColdFusion , URL: /wiki/ColdFusion
","Adobe Systems , URL: /wiki/Adobe_Systems
","2016.0.1","2016-05-01","7 partial platform","3.1","2.3","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"Enterprise Server , URL: /wiki/Borland_Enterprise_Server
","Borland , URL: /wiki/Borland
","6.7","2007-01","1.4","2.4","2.0","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"Geronimo , URL: /wiki/Apache_Geronimo
","ASF , URL: /wiki/Apache_Software_Foundation
","3.0.1","2013-05-28","6 full platform","3.0","2.2","No","Apache , URL: /wiki/Apache_License
"
"GlassFish , URL: /wiki/GlassFish
","Eclipse Foundation , URL: /wiki/Eclipse_Foundation
","5.1.0","2019-01-28","8 full platform","4.0","2.3","Yes","EPL , URL: /wiki/Eclipse_Public_License
GPL , URL: /wiki/GNU_General_Public_License
classpath exception , URL: /wiki/Classpath_exception
"
"JBoss Enterprise Application Platform , URL: /wiki/JBoss_Enterprise_Application_Platform
","Red Hat , URL: /wiki/Red_Hat
","7.4","2021-07-21","8 full platform","4.0","2.3","Yes","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
"
"Jetty , URL: /wiki/Jetty_(web_server)
","Eclipse Foundation , URL: /wiki/Eclipse_Foundation
","9.4.20","2019-08-14","7 partial platform[3]","3.1","2.3","Yes","Apache , URL: /wiki/Apache_License
EPL , URL: /wiki/Eclipse_Public_License
"
"JEUS , URL: /wiki/JEUS
","TmaxSoft , URL: /wiki/TmaxSoft
","8","2013-08","7 full platform","3.0","2.2","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
"JOnAS , URL: /wiki/JOnAS
","OW2 , URL: /wiki/OW2
","5.3","2013-10-04","6 Web Profile","3.0","2.2","No","LGPL , URL: /wiki/GNU_Lesser_General_Public_License
"
"JRun , URL: /wiki/JRun
","Adobe Systems , URL: /wiki/Adobe_Systems
","4 updater 7","2007-11-06","1.3","3.1","2.3","No","Proprietary , URL: /wiki/Proprietary_software
commercial , URL: /wiki/Commercial_software
"
