"Architecture , URL: /wiki/Microarchitecture
","Fabrication (nm) , URL: /wiki/Semiconductor_device_fabrication
","Family","Release Date","Code name","Model Group","Cores","SMT , URL: /wiki/Simultaneous_multithreading
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Bus , URL: /wiki/Bus_(computing)
","Cache","Cache","Cache","Socket , URL: /wiki/CPU_socket
","Memory Controller","Features","Features","Features"
"Architecture , URL: /wiki/Microarchitecture
","Fabrication (nm) , URL: /wiki/Semiconductor_device_fabrication
","Family","Release Date","Code name","Model Group","Cores","SMT , URL: /wiki/Simultaneous_multithreading
","Clock rate , URL: /wiki/Clock_rate
MHz , URL: /wiki/Hertz
","Bus , URL: /wiki/Bus_(computing)
","L1 , URL: /wiki/CPU_cache
","L2 , URL: /wiki/CPU_cache
","L3 , URL: /wiki/CPU_cache
","Socket , URL: /wiki/CPU_socket
","Memory Controller","SIMD , URL: /wiki/SIMD
","Speed/Power","Other"
"Am386","","Am386 , URL: /wiki/Am386
","","Sx/SxL/SxLV[1]","","1","No","25-40[1]","","","","","100 PQFP[1]","","","",""
"Am486[2]","500, 350","Am486 , URL: /wiki/Am486
","","25-120","PGA , URL: /wiki/Pin_grid_array
","1","No","","","8","","","","","","",""
"Am486[2]","500, 350","Am486 , URL: /wiki/Am486
","","","","1","No","66-120","","8, 8/16","","","PGA , URL: /wiki/Pin_Grid_Array
","","","",""
"Am5x86","350","Am5x86 , URL: /wiki/Am5x86
","","X5-133","","1","No","133","33","16","","","Socket 3 , URL: /wiki/Socket_3
Socket 2 , URL: /wiki/Socket_2
Socket 1 , URL: /wiki/Socket_1
","","","",""
"K5","500, 350","AMD K5 , URL: /wiki/AMD_K5
","","SSA/5, 5k86","","1","No","75–133","50, 60, 66","8+16","0","","Socket 5 , URL: /wiki/Socket_5
Socket 7 , URL: /wiki/Socket_7
","","","",""
"K6","350, 250","AMD K6 , URL: /wiki/AMD_K6
","","Model 6, Littlefoot","","1","No","166-300","50, 60, 66","32+32","0","","Socket 7 , URL: /wiki/Socket_7
","","MMX , URL: /wiki/MMX_(instruction_set)
","",""
"K6","250, 180","AMD K6-2 , URL: /wiki/AMD_K6-2
","","Chomper, Chomper Extended, mobile","","1","No","166-550","66, 95, 97, 100","32+32","0, 128","","Super Socket 7 , URL: /wiki/Super_Socket_7
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow! , URL: /wiki/3DNow!
","",""
"K6","250, 180","K6-3 , URL: /wiki/AMD_K6-III
","","Sharptooth","","1","No","400-550","66, 95, 96.2, 100","32+32","256","512, 1024","Super Socket 7 , URL: /wiki/Super_Socket_7
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow! , URL: /wiki/3DNow!
","",""
"K7","250","Athlon , URL: /wiki/Athlon
","","Argon","","1","No","500-700","100","64+64","512","","Slot A , URL: /wiki/Slot_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow! , URL: /wiki/3DNow!
","",""
"K7","180","Athlon , URL: /wiki/Athlon
","","Pluto/Orion","","1","No","550-1000","100","64+64","512","","Slot A , URL: /wiki/Slot_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow! , URL: /wiki/3DNow!
","",""
"K7","180","Athlon , URL: /wiki/Athlon
","","Thunderbird","","1","No","1000-1400","100","64+64","256","","Slot A , URL: /wiki/Slot_A
Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow! , URL: /wiki/3DNow!
","",""
"K7","180","Athlon XP/MP , URL: /wiki/Athlon_XP
","","Palomino","1500+ - 2100+","1","No","1333-1733","133","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Athlon XP/MP , URL: /wiki/Athlon_XP
","","Thoroughbred","1600+ - 2800+","1","No","1400-2250","133, 166, 200","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Athlon XP/MP , URL: /wiki/Athlon_XP
","","Thorton","2000+ - 3100+","1","No","1667-2200","133, 166, 200","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Athlon XP/MP , URL: /wiki/Athlon_XP
","","Barton","2500+ - 3200+","1","No","1833-2333","133, 166, 200","64+64","512","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","180","Duron , URL: /wiki/Duron
","","Spitfire","","1","No","600-950","100","64+64","64","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","180","Duron , URL: /wiki/Duron
","","Morgan","","1","No","900-1300","100","64+64","64","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Duron , URL: /wiki/Duron
","","Applebred","","1","No","1400, 1600, 1800","133","64+64","64","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","180","Athlon 4","","Corvette","","1","No","850-1400","100","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Athlon XP-M","","Thoroughbred","","1","No","1400-2133","100, 133","64+64","256","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","130","Athlon XP-M","","Barton","","1","No","1667-2200","133","64+64","512","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
"K7","180","Mobile Duron","","Spitfire","","1","No","600, 700","100","64+64","64","","Socket A , URL: /wiki/Socket_A
","","MMX , URL: /wiki/MMX_(instruction_set)
3DNow!+ , URL: /wiki/3DNow!
SSE , URL: /wiki/Streaming_SIMD_Extensions
","",""
