"Name","Creates?","Modifies?","Mounts?","Writes/Burns?","Extracts?","Input format","Output format","OS , URL: /wiki/Operating_system
","License , URL: /wiki/Software_license
"
"7-Zip , URL: /wiki/7-Zip
","Yes","No","No","No","Yes","CramFS , URL: /wiki/CramFS
DMG , URL: /wiki/Apple_Disk_Image
FAT , URL: /wiki/File_Allocation_Table
HFS , URL: /wiki/Hierarchical_File_System
MBR , URL: /wiki/Master_boot_record
NTFS , URL: /wiki/NTFS
ISO , URL: /wiki/ISO_image
SquashFS , URL: /wiki/SquashFS
UDF , URL: /wiki/Universal_Disk_Format
VHD , URL: /wiki/Virtual_Hard_Disk
WIM , URL: /wiki/Windows_Imaging_Format
","WIM","Windows , URL: /wiki/Windows
Linux , URL: /wiki/Linux
Classic Mac OS , URL: /wiki/Classic_Mac_OS
","Free software , URL: /wiki/Free_software
GPL , URL: /wiki/GPL
"
"AcetoneISO , URL: /wiki/AcetoneISO
","Yes","No","Yes","Yes","Yes","ISO , URL: /wiki/ISO_image
MDF+MDS , URL: /wiki/Media_Descriptor_File
","CD, DVD, ISO, BIN","Linux , URL: /wiki/Linux
","Free software , URL: /wiki/Free_software
GPL , URL: /wiki/GPL
"
"Acronis True Image , URL: /wiki/Acronis_True_Image
","Yes","No","Yes","Yes","Yes","TIB, VHD","TIB, VHD","Windows , URL: /wiki/Windows
","Shareware , URL: /wiki/Shareware
"
"Alcohol 120% , URL: /wiki/Alcohol_120%25
","Yes","No","Yes","Yes","No","ISO , URL: /wiki/ISO_image
","MDF+MDS , URL: /wiki/Media_Descriptor_File
","Windows , URL: /wiki/Windows
","Trialware , URL: /wiki/Trialware
"
"Alcohol 52% FE , URL: /wiki/Alcohol_120%25#Alcohol_52%
","Yes","No","Yes","No","No","ISO , URL: /wiki/ISO_image
","N/A","Windows , URL: /wiki/Windows
","Adware , URL: /wiki/Adware
"
"AnyDVD , URL: /wiki/AnyDVD
","Yes","No","No","No","No","N/A","ISO","Windows , URL: /wiki/Windows
","Shareware , URL: /wiki/Shareware
"
"Archive Manager , URL: /wiki/Archive_Manager
","No","No","No","No","Yes","ISO , URL: /wiki/ISO_image
","N/A","Unix-like , URL: /wiki/Unix-like
","Free software , URL: /wiki/Free_software
GPL , URL: /wiki/GPL
"
"Ashampoo Burning Studio , URL: /wiki/Ashampoo_Burning_Studio
","Yes","No","No","Yes","No","ISO , URL: /wiki/ISO_image
","ISO, BIN+CUE","Windows , URL: /wiki/Windows
","Shareware , URL: /wiki/Shareware
"
"BlindWrite , URL: /wiki/BlindWrite
","Yes","No","No","Yes","No","ISO , URL: /wiki/ISO_image
","B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS","Windows , URL: /wiki/Windows
","Shareware , URL: /wiki/Shareware
"
"Brasero , URL: /wiki/Brasero_(software)
","No","No","No","Yes","No","ISO , URL: /wiki/ISO_image
","CD, DVD","Linux , URL: /wiki/Linux
","Free software , URL: /wiki/Free_software
GPL , URL: /wiki/GPL
"
"Burnatonce , URL: /wiki/Burnatonce
","No","No","No","Yes","No","ISO , URL: /wiki/ISO_image
","N/A","Windows , URL: /wiki/Windows
","Freeware , URL: /wiki/Freeware
"
