"File format","OpenXPS","PDF"
"Original author","Microsoft , URL: /wiki/Microsoft
","Adobe Systems , URL: /wiki/Adobe_Systems
"
"Standardized by","Ecma International , URL: /wiki/Ecma_International
","ISO , URL: /wiki/International_Organization_for_Standardization
"
"First public release date","2006[12]","1993[13]"
"Latest stable version","Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition","ISO 32000-1:2008 — Document management — Portable document format — Part 1: PDF 1.7"
"Latest standardised version","Ecma International Standard ECMA-388 — Open XML Paper Specification — 1st Edition","ISO 32000-2:2017 — Document management — Portable document format — Part 2: PDF 2.0"
"Language type","Markup language , URL: /wiki/Markup_language
XML , URL: /wiki/XML
","PostScript , URL: /wiki/PostScript
"
"XML schema representation","XML Schema (W3C) , URL: /wiki/XML_Schema_(W3C)
RELAX NG , URL: /wiki/RELAX_NG
","N/A"
"Compression format","ZIP , URL: /wiki/ZIP_(file_format)
","LZW , URL: /wiki/LZW
JPEG 2000 , URL: /wiki/JPEG_2000
RLE , URL: /wiki/Run-length_encoding
"
"Container structure","Open Packaging Conventions , URL: /wiki/Open_Packaging_Conventions
",""
"3D graphic content , URL: /wiki/3D_computer_graphics
","X3D , URL: /wiki/X3D
","U3D , URL: /wiki/Universal_3D
"
"Full file content compression","Yes[22]","Compression of collections of objects[23]"
"Fast page by page download from web servers","Yes[22]","Yes[22]"
"Multiple documents in one file","Yes[22]","Yes[24]"
"Document bookmarks and outline","Yes[22][25]","Yes[22][26]"
"Reflowable , URL: /wiki/Reflowable_document
","No[27]","With PDF tagging[28]"
"Hyperlinks","Yes[22][29][30]","Yes[22][26]"
"Page thumbnails","Yes[22][29]","Yes[22][31]"
"Annotations , URL: /wiki/Annotations
","Yes[29]","Yes[22][26]"
"Image transparencies","Yes[22]","Yes[22]"
"Gradient fills","Yes[22][30]","Yes[22]"
"Alpha channel , URL: /wiki/Alpha_channel
","Yes[22]","Yes[22]"
"Support for multiple transparency blending modes","?","Yes[23]"
"Change tracking","No[22]","No[22]"
"Password protection","Yes[22]","Yes[22][26]"
"Digital signatures","Yes[15][17][22][29]","Yes[26][32]"
"JPEG , URL: /wiki/JPEG
","Yes[17][22]","Yes[32]"
"JPEG 2000 , URL: /wiki/JPEG_2000
","No[22]","Yes[32]"
"JBIG2 , URL: /wiki/JBIG2
bi-level , URL: /wiki/Binary_image
","No[22]","Yes[23]"
"PNG , URL: /wiki/Portable_Network_Graphics
","Yes[22]","Yes[22]"
"TIFF , URL: /wiki/Tagged_Image_File_Format
","Yes[22]","No[22]"
"JPEG XR , URL: /wiki/JPEG_XR
","Yes[14]","No[22]"
"Gray , URL: /wiki/Grayscale
","Yes[22]","Yes[22]"
"RGB , URL: /wiki/RGB
","Yes[22]","Yes[22]"
"CMYK , URL: /wiki/CMYK
","Yes[22]","Yes[22]"
"Spot color , URL: /wiki/Spot_color
","Yes[22]","Yes[22]"
"Filename extensions","oxps[19]","pdf[33]"
"Internet media types","application/oxps[19]","application/pdf[34]"
"Standard licensing","Non-free content , URL: /wiki/Free_content
","PDF 1.7: Non-free content, downloaded free-of-charge from ISO PDF 2.0: Non-free content, downloaded for a fee from ISO"
"File format","OpenXPS","PDF"
