"","FAT12","FAT16","FAT32","HPFS","ISO 9660","NTFS","exFAT","UDF , URL: /wiki/Universal_Disk_Format#Compatibility
","ReFS"
"Windows NT 3.1 , URL: /wiki/Windows_NT_3.1
3.5 , URL: /wiki/Windows_NT_3.5
3.51 , URL: /wiki/Windows_NT_3.51
","Yes","Yes","No","Yes","Yes","Yes v1.0/v1.1","No","?","No"
"Windows NT 4.0 , URL: /wiki/Windows_NT_4.0
","Yes","Yes","No","Partial","Yes","Yes v1.2","No","?","No"
"Windows 2000 , URL: /wiki/Windows_2000
","Yes","Yes","Yes","No","Yes","Yes v3.0","No","Yes","No"
"Windows XP , URL: /wiki/Windows_XP
","Yes","Yes","Yes","No","Yes","Yes v3.1","Optional","Yes (2.01)","No"
"Windows Server 2003 , URL: /wiki/Windows_Server_2003
","Yes","Yes","Yes","No","Yes","Yes v3.1","Optional","Yes","No"
"Windows Vista , URL: /wiki/Windows_Vista
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","No"
"Windows Server 2008 , URL: /wiki/Windows_Server_2008
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes","No"
"Windows 7 , URL: /wiki/Windows_7
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
"Windows Server 2008 R2 , URL: /wiki/Windows_Server_2008_R2
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
"Windows Server 2012 , URL: /wiki/Windows_Server_2012
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
"Windows 8 , URL: /wiki/Windows_8
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","No"
"Windows 8.1 , URL: /wiki/Windows_8.1
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
"Windows Server 2012 R2 , URL: /wiki/Windows_Server_2012_R2
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
"Windows 10 , URL: /wiki/Windows_10
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
"Windows Server 2016 , URL: /wiki/Windows_Server_2016
","Yes","Yes","Yes","No","Yes","Yes v5","Yes","Yes (2.6)","Yes"
