"File archivers","Data compression , URL: /wiki/Data_compression
","Shell , URL: /wiki/Shell_(computing)
","Password protection","Multiple volumes","Self extraction","File repairing","Batch conversion","Unicode , URL: /wiki/Unicode
","Encryption","Filename Encryption"
"7-Zip , URL: /wiki/7-Zip
","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"ALZip , URL: /wiki/ALZip
","Yes","Yes","Yes","Yes","Yes","Yes","Yes[8]","No","Unknown","Unknown"
"Archive Manager , URL: /wiki/Archive_Manager
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"Archive Utility , URL: /wiki/Archive_Utility
","Yes","Yes","No","Unknown","No","No","Yes","Yes","Unknown","Unknown"
"ARJ , URL: /wiki/ARJ
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown"
"Ark , URL: /wiki/Ark_(software)
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"B1 Free Archiver , URL: /wiki/B1_Free_Archiver
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"BetterZip , URL: /wiki/BetterZip
","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"bsdtar/libarchive , URL: /wiki/Tar_(file_format)#Key_implementations
","non-tar formats[2]","Yes","zip","Yes","No","No","Yes","Yes","7z, zip, rar","7z, zip, rar"
"Commander One , URL: /wiki/Commander_One
","Yes","No","Yes","No","No","No","Yes","Yes","Unknown","Yes for 7z"
"Disk ARchiver , URL: /wiki/DAR_(Disk_Archiver)
","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Filzip , URL: /wiki/Filzip
","Yes","Yes","Yes","Unknown","Yes","No","No","Unknown","Unknown","Unknown"
"FreeArc , URL: /wiki/FreeArc
","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GNU tar , URL: /wiki/Tar_(file_format)#Key_implementations
","No[2]","Yes","No","Yes","No","Separate","Yes","Yes","Unknown","Unknown"
"iArchiver , URL: /wiki/IArchiver
","Yes","No","Yes","Yes","No","No","No","Yes","Unknown","Unknown"
"Info-ZIP , URL: /wiki/Info-ZIP
","Yes","No[11]","Yes","Yes[12]","Yes","Yes","Yes","Yes[12]","ZipCrypto (weak) and AES[12]","No"
"KGB Archiver , URL: /wiki/KGB_Archiver
","Yes","Not enabled by default","Yes","Unknown","Yes","No","No","Yes","Yes","Unknown"
"PeaZip , URL: /wiki/Peazip
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[9]","Yes[10]","Yes"
"PKZIP , URL: /wiki/PKZIP
","Yes","Yes","Yes","No","Separate","Separate","No","Yes","Yes","Unknown"
"PowerArchiver , URL: /wiki/PowerArchiver
","Yes","Yes","Yes","Yes","Yes","Yes","Yes[7]","Yes","Yes","Yes"
"StuffIt , URL: /wiki/StuffIt
","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown"
"The Unarchiver , URL: /wiki/The_Unarchiver
","No[1]","some formats","Yes","Yes","Yes","Yes","Yes","Yes[1]","Yes","Unknown"
"TUGZip , URL: /wiki/TUGZip
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown"
"WinAce , URL: /wiki/WinAce
","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown"
"WinRAR , URL: /wiki/WinRAR
","Yes","Yes","Yes","Yes","Yes","Yes[3]","Yes","Yes[6]","Yes","Yes"
"WinZip , URL: /wiki/WinZip
","Yes","Yes","Yes","Yes","Yes","Yes","Yes[10]","Yes","Yes","Yes"
"XAD , URL: /wiki/XAD_(software)
","No[1]","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Xarchiver , URL: /wiki/Xarchiver
","Yes","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ZipGenius , URL: /wiki/ZipGenius
","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","No","Unknown","Unknown"
"ZPAQ , URL: /wiki/ZPAQ
","Yes","Unknown","Yes","Yes","No","Unknown","Unknown","Yes","Yes","Unknown"
"","Data compression , URL: /wiki/Data_compression
","Shell , URL: /wiki/Operating_system_shell
","Password protection","Multiple volumes","Self extraction","File repairing","Batch conversion","Unicode , URL: /wiki/Unicode
","Encryption","Filename Encryption"
