"Format name","Operating system","Filename extension , URL: /wiki/Filename_extension
","Explicit processor declarations","sections , URL: /wiki/Memory_segmentation
","Metadata , URL: /wiki/Metadata
","Digital signature , URL: /wiki/Code_signing
","String table , URL: /wiki/String_(computer_science)
","Symbol table , URL: /wiki/Symbol_table
","64-bit , URL: /wiki/64-bit
","Fat binaries , URL: /wiki/Fat_binary
","icon , URL: /wiki/Icon_(computing)
"
"OS/360 , URL: /wiki/OS/360_Object_File_Format
","OS/360 and successors , URL: /wiki/OS/360_and_successors
VS/9 , URL: /wiki/VS/9
","none","No","No","No","No","No","Yes","Yes","No","No"
"GOFF , URL: /wiki/GOFF
","MVS , URL: /wiki/MVS
z/OS , URL: /wiki/Z/OS
","none","No","No","Yes","No","Yes","Yes","Yes","No","No"
"a.out , URL: /wiki/A.out
","Unix-like , URL: /wiki/Unix-like
","none","No","No","No","No","Yes[1]","Yes[1]","Extension","No","No"
"COFF , URL: /wiki/COFF
","Unix-like , URL: /wiki/Unix-like
","none","Yes by file","Yes","No","No","Yes","Yes","Extension","No","No"
"ECOFF , URL: /wiki/ECOFF
","Ultrix , URL: /wiki/Ultrix
Tru64 UNIX , URL: /wiki/Tru64_UNIX
IRIX , URL: /wiki/IRIX
","none","Yes by file","Yes","No","No","Yes","Yes","Yes","No","No"
"XCOFF , URL: /wiki/XCOFF
","IBM AIX , URL: /wiki/IBM_AIX
BeOS , URL: /wiki/BeOS
"classic" Mac OS , URL: /wiki/Classic_Mac_OS
","none","Yes by file","Yes","No","No","Yes","Yes[2]","Yes","No","No"
"ELF , URL: /wiki/Executable_and_Linkable_Format
","Unix-like , URL: /wiki/Unix-like
OpenVMS , URL: /wiki/OpenVMS
BeOS , URL: /wiki/BeOS
Haiku , URL: /wiki/Haiku_(operating_system)
SerenityOS , URL: /wiki/SerenityOS
","none (though .elf is sometimes used unofficially[citation needed])","Yes by file","Yes","Yes","Yes[3]","Yes","Yes[4]","Yes","Extension[5]","Extension[6]"
"Mach-O , URL: /wiki/Mach-O
","NeXTSTEP , URL: /wiki/NeXTSTEP
macOS , URL: /wiki/MacOS
iOS , URL: /wiki/IOS
watchOS , URL: /wiki/WatchOS
tvOS , URL: /wiki/TvOS
","none","Yes by section","Some (limited to max. 256 sections)","Yes","Yes","Yes","Yes","Yes","Yes","No"
"SOM , URL: /wiki/System_Object_Model_(file_format)
","HP-UX , URL: /wiki/HP-UX
MPE/ix , URL: /wiki/MPE/ix
","?","Unknown","Unknown","No","No","Unknown","Yes","No","Unknown","No"
