"Name","Release year","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /w/index.php?title=Device_drfiver&action=edit&redlink=1
","Clock rate , URL: /wiki/Clock_rate
","Clock rate , URL: /wiki/Clock_rate
","Core config1","API , URL: /wiki/API
","API , URL: /wiki/API
","API , URL: /wiki/API
","API , URL: /wiki/API
","MB , URL: /wiki/Megabyte
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
"
"Name","Release year","Market","Processor , URL: /wiki/List_of_Intel_microprocessors
","Code name","Device ID , URL: /w/index.php?title=Device_drfiver&action=edit&redlink=1
","MHz , URL: /wiki/Hertz
","MHz , URL: /wiki/Hertz
","Core config1","Direct3D , URL: /wiki/Direct3D
","OpenGL , URL: /wiki/OpenGL
","OpenCL , URL: /wiki/OpenCL
","Vulkan , URL: /wiki/Vulkan_(API)
","MB , URL: /wiki/Megabyte
","Memory bandwidth , URL: /wiki/Memory_bandwidth
GB/s , URL: /wiki/Gigabyte_per_second
"
"HD Graphics 500","2016","Mobile/ Embedded","Atom x5-E3930","Apollo Lake , URL: /wiki/Goldmont
","5A85","400","550","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","68.2"
"HD Graphics 500","2016","Mobile/ Embedded","Atom x5-E3940","Apollo Lake , URL: /wiki/Goldmont
","5A85","400","","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","68.2"
"HD Graphics 500","2016","Mobile","Celeron N3350","Apollo Lake , URL: /wiki/Goldmont
","5A85","200","650","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 500","2016","Mobile","Celeron N3450","Apollo Lake , URL: /wiki/Goldmont
","5A85","200","","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 500","2016","Desktop","Celeron J3355","Apollo Lake , URL: /wiki/Goldmont
","5A85","250","700","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 500","2016","Desktop","Celeron J3455","Apollo Lake , URL: /wiki/Goldmont
","5A85","250","","96:12:2","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 505","2016","Mobile/ Embedded","Atom x7-E3950","Apollo Lake , URL: /wiki/Goldmont
","5A84","500","650","144:18:3","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-","76.8"
"HD Graphics 505","2016","Mobile","Pentium N4200","Apollo Lake , URL: /wiki/Goldmont
","5A84","200","750","144:18:3","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-",""
"HD Graphics 505","2016","Desktop","Pentium J4205","Apollo Lake , URL: /wiki/Goldmont
","5A84","250","800","144:18:3","12","4.6Windows 4.6Linux ES 3.2Linux","3.0Windows 3.0Linux","1.2Windows 1.2Linux","-",""
