"Client","Developer","Initial release","Latest release","Latest release","License , URL: /wiki/Software_license
","Copy files over 2 GB[1]"
"Client","Developer","Initial release","Version","Date","License , URL: /wiki/Software_license
","Copy files over 2 GB[1]"
"ALFTP , URL: /wiki/ALFTP
","ESTsoft , URL: /wiki/ESTsoft
","2000","5.31","2012-02-01","Proprietary , URL: /wiki/Proprietary_software
","?"
"ExpanDrive , URL: /wiki/ExpanDrive
","ExpanDrive, Inc","2005","
URL: https://www.wikidata.org/wiki/Q5420736?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png

URL: https://www.wikidata.org/wiki/Q5420736?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png

URL: https://www.wikidata.org/wiki/Q5420736?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-08-17 2021-08-17 2021-08-17","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"ForkLift , URL: /wiki/ForkLift_(file_manager)
","BinaryNights, LLC","2007","
URL: https://www.wikidata.org/wiki/Q30603625?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2021-09-21","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"FTP Commander , URL: /wiki/FTP_Commander
","Internetsoft Corporation","1997","9.21","2010-11-08","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"FTP Explorer , URL: /wiki/FTP_Explorer
","FTPx Corp.","October, 1996","1.0.1.53","2012-01","Proprietary , URL: /wiki/Proprietary_software
","?"
"Interarchy , URL: /wiki/Interarchy
","Nolobe Software Pty Ltd","1993 (as Anarchie)","10.0.6","2014-08-18","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Steed , URL: /wiki/Steed_(FTP_client)
","French Fry, SAS","2012","1.2.1.1169","2017-06-27","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"Transmit , URL: /wiki/Transmit_(FTP_client)
","Panic, Inc. , URL: /wiki/Panic_(company)
","1998","5.6.4","2020-04-20","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"WISE-FTP , URL: /wiki/WISE-FTP
","AceBIT","1998","7.0 (Build 7.0.4)","2012-03-16","Proprietary , URL: /wiki/Proprietary_software
","?"
"edtFTPj , URL: /wiki/EdtFTPj
","Bruce P. Blackshaw","2000","
URL: https://www.wikidata.org/wiki/Q5340342?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
","2016-07-06","Proprietary , URL: /wiki/Proprietary_software
","Yes"
"edtFTPnet , URL: /wiki/EdtFTPnet
","Bruce P. Blackshaw","2003","2.2.1","2011-08-26","Proprietary , URL: /wiki/Proprietary_software
","Yes"
