"Client","Creator","Software license","Latest release","Latest release"
"BookmarkSync , URL: /wiki/BookmarkSync
","Jack Dean","Proprietary , URL: /wiki/Proprietary_software
","Windows: 3.0.0 (August 2010; 11 years ago (2010-08)) [±] Mac OS X: 1.0.4 (September 14, 2005; 16 years ago (2005-09-14)) [±] BookmarkSync was discontinued some time around 2006.","Windows: 3.0.0 (August 2010; 11 years ago (2010-08)) [±] Mac OS X: 1.0.4 (September 14, 2005; 16 years ago (2005-09-14)) [±] BookmarkSync was discontinued some time around 2006."
"Opera , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","Android","56.1.2254.57583 / 26 May 2021; 9 months ago (2021-05-26)[2]"
"Opera , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","iOS","16.0.14 / 4 October 2018; 3 years ago (2018-10-04)[3]"
"Opera , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","Windows Mobile 10 and Phone 8.1","9.1.0.232 / 16 June 2016; 5 years ago (2016-06-16)[4]"
"Opera , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","BlackBerry","8.0.1 / 10 July 2014; 7 years ago (2014-07-10)[5]"
"Opera , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","Symbian","7.1.32453 / 6 December 2016; 5 years ago (2016-12-06)[6]"
"Opera , URL: /wiki/Opera_(web_browser)
","Opera Software , URL: /wiki/Opera_Software
","Proprietary , URL: /wiki/Proprietary_software
","Java ME","8.0 / 12 March 2014; 8 years ago (2014-03-12)[7]"
"SiteBar , URL: /wiki/SiteBar
","Ondrej Brablc","GPL , URL: /wiki/GPL
","3.4 12 February 2014; 8 years ago (2014-02-12)","3.4 12 February 2014; 8 years ago (2014-02-12)"
"Firefox Sync , URL: /wiki/Firefox_Sync
","Mozilla Foundation , URL: /wiki/Mozilla_Foundation
","Mozilla Public License , URL: /wiki/Mozilla_Public_License
","Standard","
URL: https://www.wikidata.org/wiki/Q698?uselang=en#P348
//upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/10px-OOjs_UI_icon_edit-ltr-progressive.svg.png
"
