"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"Backblaze","Yes","B2 only","Yes","Yes","Yes","Yes[2]","No[2] Company must be given passphrase (to private key) to restore any data.","No","No","Yes","No","No","Backblaze","","","Yes","Yes","Yes","United States, Europe","10 GB[3]","No limit","Yes","No","","","null"
"Baidu Cloud","Yes","Yes","Yes","Yes","Yes","Yes[4]","No","?","No","No","Yes","","Baidu","","Yes","Yes","Yes","","China","2 TB","4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [5]","","?","","","null"
"Barracuda Backup Service","Yes","Yes","Yes","","","Yes[6]","No","?","No fee per computer","No","Yes","","Barracuda Backup Service","Yes[citation needed]","Yes","","No","Yes","United States, Canada, APAC, Europe","No","","","?","","","null"
"Box","Yes","Partial (no offline sync, access through DAV server)[7][8]","Yes","Yes","Yes","Yes[9]","No[9]","?","Yes","No","","","Box","Yes[10]","Yes[11]","Yes","","","United States","10 GB","250 MB (Free) 5 GB (Paid)","","","","","null"
"Carbonite","Yes","No","Yes","Yes","Yes","Yes","Partial, optional for Windows only[12]","?","Yes (Business only)","Yes (Home only)","No[13]","Yes [14]","Carbonite","","Yes","Yes","Yes[15]","","United States","No","4 GB","Yes[16]","Yes","","","null"
"CloudMe","Yes","Yes","Yes","Yes","Yes","No, but 3rd party apps available[citation needed]","","?","","No","","Yes","CloudMe","Yes[17]","Yes","Yes","","","Sweden","3 GB","150 MB (Free Accounts) No limit (Premium Accounts)","No Limit","No","","","null"
"Comodo Backup","Yes","No","No","","","Yes[18]","No","?","Yes","No","Yes (5)","","Comodo Backup","No","No","","No","","United States","No","","","","","","null"
"CrashPlan","Yes","Yes","Yes","Yes","Yes","Yes[19]","Yes, except for web restore[20]","Yes","Yes, 10TB","No","No","Yes[21]","CrashPlan","No","No","Yes[22]","No","No","United States, Australia[23]","No","No Limit","Yes[24]","No","","","null"
"Dropbox","Yes","Does not work on filesystems other than ext4 and btrfs","Yes","Yes","Yes","Yes","No[25]","?","","","Yes","","Dropbox","No","Yes","Yes","Yes","","","2 GB","No Limit[26]","","","","No","null"
"Dropmysite","Yes","Yes","Yes","","","Yes","No","?","Yes","No","No","Yes","Dropmysite","","Yes","Yes","Yes","","Global","2 GB","No limit","","?","","","null"
"Egnyte","Yes","Yes","Yes","","","Optional[27]","Optional[27]","?","","","","","Egnyte","Yes[28]","Yes","Yes","Yes","","United States","No","No limit","","?","","","null"
"ElephantDrive","Yes","Yes[29]","Yes","Yes[30]","","Yes","Optional (off by default)[31]","?","Yes","No","","","ElephantDrive","Yes[32]","Yes[33]","Yes","Yes[34]","","United States","2 GB","","Yes","?","No, Amazon AWS[35][36]","","null"
"Google Drive","Yes","No, no provider-sanctioned Linux support.[37][38][39]","Yes","Yes","Yes","Yes","No","?","","Yes (Enterprise Only)[40]","Yes","Yes","Google Drive","No","Yes","Yes","Yes","","United States, Worldwide","15 GB","5 TB[41]","","","Partial: 34%[42]","No","null"
"iCloud","Yes","Yes, via Storage Made Easy client","Yes","Yes, via Storage Made Easy client","Yes","Yes","No","?","No","No","Yes","","iCloud","?","Yes","?","?","","China for mainland China accounts;[43] unknown for others","1 GB (everyone)[44] 5 GB (Apple users only) [45]","","","","Yes, 94%[35]","No","null"
"iDrive","Yes","Yes, but you have to manually run perl scripts.[46]","Yes","Yes","Yes","Yes[47]","No","","No","No","Yes[48]","","iDrive","","Yes","Yes","Yes","Yes","unknown","5 GB","","Yes","","","","null"
"Infrascale","Yes","Yes","Yes","Yes","Yes","Yes","Optional","Optional","Yes","Yes","No","Yes","Infrascale","No","Yes","Yes","Yes","Yes","United States, Canada, United Kingdom, South Africa, Australia, New Zealand, Jamaica","No","No limit","Yes","Optional","","","null"
"Jumpshare","Yes","No","Yes","No","Yes","Yes[49]","","","Yes","No","No","Yes[50]","Jumpshare","","Yes","Yes","Yes","No","United States, Europe","2 GB","250 MB on free, Unlimited on Jumpshare Plus","","","Yes","","null"
"Jungle Disk","Yes","Yes","Yes","Yes","Yes","Yes[51]","Yes[51]","Yes","","","Yes","Yes","Jungle Disk","Yes[52]","Yes","Yes","Yes","","United States, Europe","No","No limit in Backup Vault","Yes","","Partial, Amazon AWS[35][53] or Rackspace Cloud Files.","","null"
"KeepVault","Yes","No","No","","","Yes[54]","Yes[55]","?","Yes","No","Yes","","KeepVault","","","Yes","","","United States","","20 GB","","","","","null"
"Livedrive","Yes","No","Yes","Yes","Yes","No","No","?","Yes","Online Backup only","No","Yes","Livedrive","Yes (paid-only)[56]","Yes[57]","Yes","Yes","Yes","Yes","United Kingdom","No","No limit","Yes","","",""
"MediaFire","Yes","Upload only [1]","Yes","Yes","Yes","No","No","?","Yes","No","Yes","Yes","MediaFire","No","Yes","Yes","Yes","","United States","10 GB","No Limit","No","No","","","null"
"MEGA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes[58]","Yes","No","Yes","Yes","Mega Ltd.","No","Yes","Yes, using MEGA Desktop App","Yes","No","Europe, New Zealand","20 GB","No limit","No","No","","","null"
"MiMedia","Yes","No","No","","","Yes[59]","No","?","Yes","No","Yes","Yes","MiMedia","No[60]","No","Yes","No","No","United States","7 GB","3 GB","Yes","","","","null"
"OneDrive","Yes","No, see note[61]","Yes","Yes[62]","Yes","Yes[63]","No","?","Yes","No","","","OneDrive","No","Yes","","","","","5 GB for new users, 25 GB for older users","100 GB[64]","","","Partial, 29%[35]","No","null"
"SpiderOak","Yes","Yes","Yes","Download Only","Download Only","Yes[65]","Yes[66]","?","Yes","Business only (min 10 users)","Yes","Yes","SpiderOak","No[67]","Yes","Yes","Yes","","","(2 GB free for 60 days only)","No limit","Yes","Yes[68]","","No","null"
"SugarSync","Yes","No","Yes","Yes","Yes","Yes[69]","No[70]","?","Yes","No","No","","SugarSync","","Yes","Yes","Yes (SugarSync account needed for folders)","","","No","100 MB (web) No limit (client app)[71]","","","","","null"
"Syncplicity","Yes","No","Yes","Yes","Yes","Yes[72]","No[72]","?","","","Yes","","Syncplicity","","Yes","Yes","Yes","","United States","10 GB","","","","","","null"
"Tarsnap","Yes via Cygwin","Yes","Yes","No","No","Yes","Yes[73]","?","No","No","Yes","","Tarsnap","No","","","","","","No","","","","No, Amazon AWS[35][74]","No","null"
