"Software","Version","Operating systems","Developer","License , URL: /wiki/Software_license
"
"BeeOne SMOD/HMS","3.1","Windows , URL: /wiki/Microsoft_Windows
","Hemi-Synths Explorers","Proprietary , URL: /wiki/Proprietary_software
"
"Binaural Beethoven","3.1.4","iOS , URL: /wiki/IOS
","Tomáš Baculák","Proprietary , URL: /wiki/Proprietary_software
"
"Brain Equalizer","3.7.0","iOS , URL: /wiki/IOS
","Tomáš Baculák","Proprietary , URL: /wiki/Proprietary_software
"
"BrainWave Generator","3.1","Windows , URL: /wiki/Microsoft_Windows
","Noromaa Solutions Oy.","Proprietary , URL: /wiki/Proprietary_software
"
"BrainWaveProducer","1.0","Windows , URL: /wiki/Microsoft_Windows
","SaschArt","Proprietary , URL: /wiki/Proprietary_software
"
"Gnaural , URL: /wiki/Gnaural
","1.0.20100707","Android , URL: /wiki/Android_(operating_system)
FreeBSD , URL: /wiki/FreeBSD
Linux , URL: /wiki/Linux
Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
","gnaural","GPL , URL: /wiki/GPL
"
"BrainIgniter Player","6.0","Windows , URL: /wiki/Microsoft_Windows
","Volition","Proprietary , URL: /wiki/Proprietary_software
"
"Neuro Entrainment","2.0","Android , URL: /wiki/Android_(operating_system)
","Tensai","Proprietary , URL: /wiki/Proprietary_software
"
"Neuro-Programmer 3","3.0.9.0","Windows , URL: /wiki/Microsoft_Windows
","Transparent Corp.","Proprietary , URL: /wiki/Proprietary_software
"
"Mind WorkStation","1.2.2.0","Windows , URL: /wiki/Microsoft_Windows
","Transparent Corp.","Proprietary , URL: /wiki/Proprietary_software
"
"SBaGen","1.4.4","DOS , URL: /wiki/DOS
FreeBSD , URL: /wiki/FreeBSD
Linux , URL: /wiki/Linux
Mac OS X , URL: /wiki/Mac_OS_X
Windows , URL: /wiki/Microsoft_Windows
WinCE , URL: /wiki/WinCE
","Uazu","GPL , URL: /wiki/GPL
"
"Brainwave Studio","1.5","Mac OS X , URL: /wiki/Mac_OS_X
iOS , URL: /wiki/IOS
","RCS Software","Proprietary , URL: /wiki/Proprietary_software
"
"Discord","3.2.1","Linux , URL: /wiki/Linux
","Stan Lysiak","GPL , URL: /wiki/GPL
"
"Isochronic Tone Generator","1.8","iOS , URL: /wiki/IOS
","CMLStudio","Proprietary , URL: /wiki/Proprietary_software
"
"Lux VST Brainwave Entrainment Instrument","1.1","Windows , URL: /wiki/Microsoft_Windows
","Steve Duell","GPL , URL: /wiki/GPL
"
"Neuro Sequencer Pro","1.7","Windows , URL: /wiki/Microsoft_Windows
","isone","Proprietary , URL: /wiki/Proprietary_software
"
"SHARM Studio 5","5.3.5","Windows , URL: /wiki/Microsoft_Windows
","CyberTeam Ltd.","Proprietary , URL: /wiki/Proprietary_software
"
